"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","returned_refugees","idps","returned_idps","stateless","ooc","oip","hst"
1,"ci7EM7",1,1,2000,2,"Afghanistan","AFG","AFG",122,"Rep. of Moldova","MDA","MDA","0",14,"0","0","0","0","0","-","0"
1,"ci7EM7",1,2,2001,2,"Afghanistan","AFG","AFG",122,"Rep. of Moldova","MDA","MDA",7,7,"0","0","0","0","0","-","0"
1,"ci7EM7",1,3,2002,2,"Afghanistan","AFG","AFG",122,"Rep. of Moldova","MDA","MDA",5,7,"0","0","0","0","0","-","0"
1,"ci7EM7",1,4,2003,2,"Afghanistan","AFG","AFG",122,"Rep. of Moldova","MDA","MDA",5,5,"0","0","0","0","0","-","0"
1,"ci7EM7",1,5,2004,2,"Afghanistan","AFG","AFG",122,"Rep. of Moldova","MDA","MDA",5,5,"0","0","0","0","0","-","0"
1,"ci7EM7",1,6,2005,2,"Afghanistan","AFG","AFG",122,"Rep. of Moldova","MDA","MDA",8,5,"0","0","0","0","0","-","0"
1,"ci7EM7",1,7,2006,2,"Afghanistan","AFG","AFG",122,"Rep. of Moldova","MDA","MDA",12,"0","0","0","0","0","0","-","0"
1,"ci7EM7",1,8,2007,2,"Afghanistan","AFG","AFG",122,"Rep. of Moldova","MDA","MDA",12,"0","0","0","0","0","0","-","0"
1,"ci7EM7",1,9,2008,2,"Afghanistan","AFG","AFG",122,"Rep. of Moldova","MDA","MDA",10,"0","0","0","0","0","0","-","0"
1,"ci7EM7",1,10,2009,2,"Afghanistan","AFG","AFG",122,"Rep. of Moldova","MDA","MDA",9,7,"0","0","0","0","0","-","0"
1,"ci7EM7",1,11,2010,2,"Afghanistan","AFG","AFG",122,"Rep. of Moldova","MDA","MDA",13,8,"0","0","0","0","0","-","0"
1,"ci7EM7",1,12,2011,2,"Afghanistan","AFG","AFG",122,"Rep. of Moldova","MDA","MDA",21,"0","0","0","0","0","0","-","0"
1,"ci7EM7",1,13,2012,2,"Afghanistan","AFG","AFG",122,"Rep. of Moldova","MDA","MDA",14,"0","0","0","0","0","0","-","0"
1,"ci7EM7",1,14,2013,2,"Afghanistan","AFG","AFG",122,"Rep. of Moldova","MDA","MDA",10,12,"0","0","0","0","0","-","0"
1,"ci7EM7",1,15,2014,2,"Afghanistan","AFG","AFG",122,"Rep. of Moldova","MDA","MDA",18,5,"0","0","0","0","0","-","0"
1,"ci7EM7",1,16,2015,2,"Afghanistan","AFG","AFG",122,"Rep. of Moldova","MDA","MDA",17,9,"0","0","0","0","0","-","0"
1,"ci7EM7",1,17,2016,2,"Afghanistan","AFG","AFG",122,"Rep. of Moldova","MDA","MDA",19,7,"0","0","0","0","0","-","0"
1,"ci7EM7",1,18,2017,2,"Afghanistan","AFG","AFG",122,"Rep. of Moldova","MDA","MDA",18,7,"0","0","0","0","0","-","0"
1,"ci7EM7",1,19,2018,2,"Afghanistan","AFG","AFG",122,"Rep. of Moldova","MDA","MDA",18,6,"0","0","0","0","0","-","0"
1,"ci7EM7",1,20,2019,2,"Afghanistan","AFG","AFG",122,"Rep. of Moldova","MDA","MDA",24,"0","0","0","0","0","0","-","0"
1,"ci7EM7",1,21,2020,2,"Afghanistan","AFG","AFG",122,"Rep. of Moldova","MDA","MDA",24,"0","0","0","0","0","0","-","0"
1,"ci7EM7",1,22,2021,2,"Afghanistan","AFG","AFG",122,"Rep. of Moldova","MDA","MDA",12,"0","0","0","0","0","0","-","0"
1,"ci7EM7",1,23,2022,2,"Afghanistan","AFG","AFG",122,"Rep. of Moldova","MDA","MDA",27,5,"0","0","0","0","0","-","0"
1,"ci7EM7",1,24,2023,2,"Afghanistan","AFG","AFG",122,"Rep. of Moldova","MDA","MDA",16,"0","0","0","0","0","0","-","0"
1,"ci7EM7",1,25,2022,4,"Algeria","ALG","DZA",122,"Rep. of Moldova","MDA","MDA",5,"0","0","0","0","0","0","-","0"
1,"ci7EM7",1,26,2000,6,"Angola","ANG","AGO",122,"Rep. of Moldova","MDA","MDA","0",5,"0","0","0","0","0","-","0"
1,"ci7EM7",1,27,2004,8,"Egypt","ARE","EGY",122,"Rep. of Moldova","MDA","MDA","0",5,"0","0","0","0","0","-","0"
1,"ci7EM7",1,28,2005,8,"Egypt","ARE","EGY",122,"Rep. of Moldova","MDA","MDA","0",5,"0","0","0","0","0","-","0"
1,"ci7EM7",1,29,2006,8,"Egypt","ARE","EGY",122,"Rep. of Moldova","MDA","MDA",5,"0","0","0","0","0","0","-","0"
1,"ci7EM7",1,30,2007,8,"Egypt","ARE","EGY",122,"Rep. of Moldova","MDA","MDA",5,"0","0","0","0","0","0","-","0"
1,"ci7EM7",1,31,2008,8,"Egypt","ARE","EGY",122,"Rep. of Moldova","MDA","MDA",5,"0","0","0","0","0","0","-","0"
1,"ci7EM7",1,32,2012,8,"Egypt","ARE","EGY",122,"Rep. of Moldova","MDA","MDA",5,5,"0","0","0","0","0","-","0"
1,"ci7EM7",1,33,2013,8,"Egypt","ARE","EGY",122,"Rep. of Moldova","MDA","MDA",5,"0","0","0","0","0","0","-","0"
1,"ci7EM7",1,34,2014,8,"Egypt","ARE","EGY",122,"Rep. of Moldova","MDA","MDA",5,"0","0","0","0","0","0","-","0"
1,"ci7EM7",1,35,2015,8,"Egypt","ARE","EGY",122,"Rep. of Moldova","MDA","MDA",5,"0","0","0","0","0","0","-","0"
1,"ci7EM7",1,36,2016,8,"Egypt","ARE","EGY",122,"Rep. of Moldova","MDA","MDA",5,"0","0","0","0","0","0","-","0"
1,"ci7EM7",1,37,2017,8,"Egypt","ARE","EGY",122,"Rep. of Moldova","MDA","MDA",5,"0","0","0","0","0","0","-","0"
1,"ci7EM7",1,38,2018,8,"Egypt","ARE","EGY",122,"Rep. of Moldova","MDA","MDA",5,"0","0","0","0","0","0","-","0"
1,"ci7EM7",1,39,2022,8,"Egypt","ARE","EGY",122,"Rep. of Moldova","MDA","MDA",8,5,"0","0","0","0","0","-","0"
1,"ci7EM7",1,40,2002,10,"Armenia","ARM","ARM",122,"Rep. of Moldova","MDA","MDA","0",5,"0","0","0","0","0","-","0"
1,"ci7EM7",1,41,2003,10,"Armenia","ARM","ARM",122,"Rep. of Moldova","MDA","MDA","0",6,"0","0","0","0","0","-","0"
1,"ci7EM7",1,42,2004,10,"Armenia","ARM","ARM",122,"Rep. of Moldova","MDA","MDA",5,11,"0","0","0","0","0","-","0"
1,"ci7EM7",1,43,2005,10,"Armenia","ARM","ARM",122,"Rep. of Moldova","MDA","MDA",5,22,"0","0","0","0","0","-","0"
1,"ci7EM7",1,44,2006,10,"Armenia","ARM","ARM",122,"Rep. of Moldova","MDA","MDA",23,15,"0","0","0","0","0","-","0"
1,"ci7EM7",1,45,2007,10,"Armenia","ARM","ARM",122,"Rep. of Moldova","MDA","MDA",26,16,"0","0","0","0","0","-","0"
1,"ci7EM7",1,46,2008,10,"Armenia","ARM","ARM",122,"Rep. of Moldova","MDA","MDA",27,8,"0","0","0","0","0","-","0"
1,"ci7EM7",1,47,2009,10,"Armenia","ARM","ARM",122,"Rep. of Moldova","MDA","MDA",21,10,"0","0","0","0","0","-","0"
1,"ci7EM7",1,48,2010,10,"Armenia","ARM","ARM",122,"Rep. of Moldova","MDA","MDA",26,23,"0","0","0","0","0","-","0"
1,"ci7EM7",1,49,2011,10,"Armenia","ARM","ARM",122,"Rep. of Moldova","MDA","MDA",23,12,"0","0","0","0","0","-","0"
1,"ci7EM7",1,50,2012,10,"Armenia","ARM","ARM",122,"Rep. of Moldova","MDA","MDA",28,10,"0","0","0","0","0","-","0"
1,"ci7EM7",1,51,2013,10,"Armenia","ARM","ARM",122,"Rep. of Moldova","MDA","MDA",28,"0","0","0","0","0","0","-","0"
1,"ci7EM7",1,52,2014,10,"Armenia","ARM","ARM",122,"Rep. of Moldova","MDA","MDA",24,"0","0","0","0","0","0","-","0"
1,"ci7EM7",1,53,2015,10,"Armenia","ARM","ARM",122,"Rep. of Moldova","MDA","MDA",20,5,"0","0","0","0","0","-","0"
1,"ci7EM7",1,54,2016,10,"Armenia","ARM","ARM",122,"Rep. of Moldova","MDA","MDA",19,5,"0","0","0","0","0","-","0"
1,"ci7EM7",1,55,2017,10,"Armenia","ARM","ARM",122,"Rep. of Moldova","MDA","MDA",19,"0","0","0","0","0","0","-","0"
1,"ci7EM7",1,56,2018,10,"Armenia","ARM","ARM",122,"Rep. of Moldova","MDA","MDA",19,5,"0","0","0","0","0","-","0"
1,"ci7EM7",1,57,2019,10,"Armenia","ARM","ARM",122,"Rep. of Moldova","MDA","MDA",16,7,"0","0","0","0","0","-","0"
1,"ci7EM7",1,58,2020,10,"Armenia","ARM","ARM",122,"Rep. of Moldova","MDA","MDA",15,7,"0","0","0","0","0","-","0"
1,"ci7EM7",1,59,2021,10,"Armenia","ARM","ARM",122,"Rep. of Moldova","MDA","MDA",11,"0","0","0","0","0","0","-","0"
1,"ci7EM7",1,60,2022,10,"Armenia","ARM","ARM",122,"Rep. of Moldova","MDA","MDA",140,12,"0","0","0","0","0","-","0"
1,"ci7EM7",1,61,2023,10,"Armenia","ARM","ARM",122,"Rep. of Moldova","MDA","MDA",11,5,"0","0","0","0","0","-","0"
1,"ci7EM7",1,62,2022,11,"Australia","AUL","AUS",122,"Rep. of Moldova","MDA","MDA",5,"0","0","0","0","0","0","-","0"
1,"ci7EM7",1,63,2022,12,"Austria","AUS","AUT",122,"Rep. of Moldova","MDA","MDA",13,"0","0","0","0","0","0","-","0"
