"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","returned_refugees","idps","returned_idps","stateless","ooc","oip","hst"
1,"g90rUE",1,1,1993,2,"Afghanistan","AFG","AFG",127,"Malaysia","MLS","MYS",6,"0","0","0","0","0","0","-","0"
1,"g90rUE",1,2,1994,2,"Afghanistan","AFG","AFG",127,"Malaysia","MLS","MYS",12,"0","0","0","0","0","0","-","0"
1,"g90rUE",1,3,1995,2,"Afghanistan","AFG","AFG",127,"Malaysia","MLS","MYS",24,"0","0","0","0","0","0","-","0"
1,"g90rUE",1,4,1996,2,"Afghanistan","AFG","AFG",127,"Malaysia","MLS","MYS",36,"0",6,"0","0","0","0","-","0"
1,"g90rUE",1,5,1997,2,"Afghanistan","AFG","AFG",127,"Malaysia","MLS","MYS",55,"0","0","0","0","0","0","-","0"
1,"g90rUE",1,6,1998,2,"Afghanistan","AFG","AFG",127,"Malaysia","MLS","MYS",66,"0","0","0","0","0","0","-","0"
1,"g90rUE",1,7,1999,2,"Afghanistan","AFG","AFG",127,"Malaysia","MLS","MYS",53,"0","0","0","0","0","0","-","0"
1,"g90rUE",1,8,2000,2,"Afghanistan","AFG","AFG",127,"Malaysia","MLS","MYS",55,7,"0","0","0","0","0","-","0"
1,"g90rUE",1,9,2001,2,"Afghanistan","AFG","AFG",127,"Malaysia","MLS","MYS",77,45,"0","0","0","0","0","-","0"
1,"g90rUE",1,10,2002,2,"Afghanistan","AFG","AFG",127,"Malaysia","MLS","MYS",36,13,"0","0","0","0","0","-","0"
1,"g90rUE",1,11,2003,2,"Afghanistan","AFG","AFG",127,"Malaysia","MLS","MYS",18,6,5,"0","0","0","0","-","0"
1,"g90rUE",1,12,2004,2,"Afghanistan","AFG","AFG",127,"Malaysia","MLS","MYS",26,27,"0","0","0","0","0","-","0"
1,"g90rUE",1,13,2005,2,"Afghanistan","AFG","AFG",127,"Malaysia","MLS","MYS",51,33,"0","0","0","0","0","-","0"
1,"g90rUE",1,14,2006,2,"Afghanistan","AFG","AFG",127,"Malaysia","MLS","MYS",55,30,"0","0","0","0","0","-","0"
1,"g90rUE",1,15,2007,2,"Afghanistan","AFG","AFG",127,"Malaysia","MLS","MYS",68,122,"0","0","0","0","0","-","0"
1,"g90rUE",1,16,2008,2,"Afghanistan","AFG","AFG",127,"Malaysia","MLS","MYS",62,465,"0","0","0","0","0","-","0"
1,"g90rUE",1,17,2009,2,"Afghanistan","AFG","AFG",127,"Malaysia","MLS","MYS",248,296,"0","0","0","0","0","-","0"
1,"g90rUE",1,18,2010,2,"Afghanistan","AFG","AFG",127,"Malaysia","MLS","MYS",430,76,"0","0","0","0","0","-","0"
1,"g90rUE",1,19,2011,2,"Afghanistan","AFG","AFG",127,"Malaysia","MLS","MYS",341,95,"0","0","0","0","0","-","0"
1,"g90rUE",1,20,2012,2,"Afghanistan","AFG","AFG",127,"Malaysia","MLS","MYS",349,115,"0","0","0","0","0","-","0"
1,"g90rUE",1,21,2013,2,"Afghanistan","AFG","AFG",127,"Malaysia","MLS","MYS",187,138,"0","0","0","0","0","-","0"
1,"g90rUE",1,22,2014,2,"Afghanistan","AFG","AFG",127,"Malaysia","MLS","MYS",184,212,"0","0","0","0","0","-","0"
1,"g90rUE",1,23,2015,2,"Afghanistan","AFG","AFG",127,"Malaysia","MLS","MYS",173,336,"0","0","0","0","0","-","0"
1,"g90rUE",1,24,2016,2,"Afghanistan","AFG","AFG",127,"Malaysia","MLS","MYS",252,454,"0","0","0","0","0","-","0"
1,"g90rUE",1,25,2017,2,"Afghanistan","AFG","AFG",127,"Malaysia","MLS","MYS",389,798,"0","0","0","0","0","-","0"
1,"g90rUE",1,26,2018,2,"Afghanistan","AFG","AFG",127,"Malaysia","MLS","MYS",647,1070,"0","0","0","0","0","-","0"
1,"g90rUE",1,27,2019,2,"Afghanistan","AFG","AFG",127,"Malaysia","MLS","MYS",1352,1126,"0","0","0","0","0","-","0"
1,"g90rUE",1,28,2020,2,"Afghanistan","AFG","AFG",127,"Malaysia","MLS","MYS",1517,1153,"0","0","0","0","0","-","0"
1,"g90rUE",1,29,2021,2,"Afghanistan","AFG","AFG",127,"Malaysia","MLS","MYS",1604,1199,"0","0","0","0","0","-","0"
1,"g90rUE",1,30,2022,2,"Afghanistan","AFG","AFG",127,"Malaysia","MLS","MYS",1860,1532,"0","0","0","0","0","-","0"
1,"g90rUE",1,31,2023,2,"Afghanistan","AFG","AFG",127,"Malaysia","MLS","MYS",1512,1394,"0","0","0","0","0","-","0"
1,"g90rUE",1,32,2024,2,"Afghanistan","AFG","AFG",127,"Malaysia","MLS","MYS",1193,1555,"0","0","0","0","0","-","0"
1,"g90rUE",1,33,2025,2,"Afghanistan","AFG","AFG",127,"Malaysia","MLS","MYS",1181,1626,"0","0","0","0","0","-","0"
1,"g90rUE",1,34,2003,4,"Algeria","ALG","DZA",127,"Malaysia","MLS","MYS","0",5,"0","0","0","0","0","-","0"
1,"g90rUE",1,35,2004,4,"Algeria","ALG","DZA",127,"Malaysia","MLS","MYS","0",8,"0","0","0","0","0","-","0"
1,"g90rUE",1,36,2005,4,"Algeria","ALG","DZA",127,"Malaysia","MLS","MYS",6,5,"0","0","0","0","0","-","0"
1,"g90rUE",1,37,2006,4,"Algeria","ALG","DZA",127,"Malaysia","MLS","MYS",6,"0","0","0","0","0","0","-","0"
1,"g90rUE",1,38,2007,4,"Algeria","ALG","DZA",127,"Malaysia","MLS","MYS",6,"0","0","0","0","0","0","-","0"
1,"g90rUE",1,39,2008,4,"Algeria","ALG","DZA",127,"Malaysia","MLS","MYS","0",5,"0","0","0","0","0","-","0"
1,"g90rUE",1,40,2011,4,"Algeria","ALG","DZA",127,"Malaysia","MLS","MYS","0",5,"0","0","0","0","0","-","0"
1,"g90rUE",1,41,2012,4,"Algeria","ALG","DZA",127,"Malaysia","MLS","MYS","0",5,"0","0","0","0","0","-","0"
1,"g90rUE",1,42,2016,4,"Algeria","ALG","DZA",127,"Malaysia","MLS","MYS","0",5,"0","0","0","0","0","-","0"
1,"g90rUE",1,43,2017,4,"Algeria","ALG","DZA",127,"Malaysia","MLS","MYS","0",5,"0","0","0","0","0","-","0"
1,"g90rUE",1,44,2019,4,"Algeria","ALG","DZA",127,"Malaysia","MLS","MYS","0",7,"0","0","0","0","0","-","0"
1,"g90rUE",1,45,2020,4,"Algeria","ALG","DZA",127,"Malaysia","MLS","MYS","0",8,"0","0","0","0","0","-","0"
1,"g90rUE",1,46,2021,4,"Algeria","ALG","DZA",127,"Malaysia","MLS","MYS","0",10,"0","0","0","0","0","-","0"
1,"g90rUE",1,47,2022,4,"Algeria","ALG","DZA",127,"Malaysia","MLS","MYS","0",16,"0","0","0","0","0","-","0"
1,"g90rUE",1,48,2023,4,"Algeria","ALG","DZA",127,"Malaysia","MLS","MYS",6,7,"0","0","0","0","0","-","0"
1,"g90rUE",1,49,2024,4,"Algeria","ALG","DZA",127,"Malaysia","MLS","MYS",9,"0","0","0","0","0","0","-","0"
1,"g90rUE",1,50,2025,4,"Algeria","ALG","DZA",127,"Malaysia","MLS","MYS",9,"0","0","0","0","0","0","-","0"
1,"g90rUE",1,51,2005,8,"Egypt","ARE","EGY",127,"Malaysia","MLS","MYS","0",5,"0","0","0","0","0","-","0"
1,"g90rUE",1,52,2009,8,"Egypt","ARE","EGY",127,"Malaysia","MLS","MYS","0",5,"0","0","0","0","0","-","0"
1,"g90rUE",1,53,2010,8,"Egypt","ARE","EGY",127,"Malaysia","MLS","MYS","0",5,"0","0","0","0","0","-","0"
1,"g90rUE",1,54,2011,8,"Egypt","ARE","EGY",127,"Malaysia","MLS","MYS","0",9,"0","0","0","0","0","-","0"
1,"g90rUE",1,55,2012,8,"Egypt","ARE","EGY",127,"Malaysia","MLS","MYS","0",19,"0","0","0","0","0","-","0"
1,"g90rUE",1,56,2013,8,"Egypt","ARE","EGY",127,"Malaysia","MLS","MYS","0",22,"0","0","0","0","0","-","0"
1,"g90rUE",1,57,2014,8,"Egypt","ARE","EGY",127,"Malaysia","MLS","MYS","0",24,"0","0","0","0","0","-","0"
1,"g90rUE",1,58,2015,8,"Egypt","ARE","EGY",127,"Malaysia","MLS","MYS","0",26,"0","0","0","0","0","-","0"
1,"g90rUE",1,59,2016,8,"Egypt","ARE","EGY",127,"Malaysia","MLS","MYS",5,12,"0","0","0","0","0","-","0"
1,"g90rUE",1,60,2017,8,"Egypt","ARE","EGY",127,"Malaysia","MLS","MYS",5,19,"0","0","0","0","0","-","0"
1,"g90rUE",1,61,2018,8,"Egypt","ARE","EGY",127,"Malaysia","MLS","MYS",8,23,"0","0","0","0","0","-","0"
1,"g90rUE",1,62,2019,8,"Egypt","ARE","EGY",127,"Malaysia","MLS","MYS",15,79,"0","0","0","0","0","-","0"
1,"g90rUE",1,63,2020,8,"Egypt","ARE","EGY",127,"Malaysia","MLS","MYS",14,84,"0","0","0","0","0","-","0"
1,"g90rUE",1,64,2021,8,"Egypt","ARE","EGY",127,"Malaysia","MLS","MYS",18,83,"0","0","0","0","0","-","0"
