"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","returned_refugees","idps","returned_idps","stateless","ooc","oip","hst"
1,"oxj4L7",1,1,1995,6,"Angola","ANG","AGO",128,"Malawi","MLW","MWI",11,"0","0","0","0","0","0","-","-"
1,"oxj4L7",1,2,1993,16,"Burundi","BDI","BDI",128,"Malawi","MLW","MWI",8,"0","0","0","0","0","0","-","-"
1,"oxj4L7",1,3,1995,16,"Burundi","BDI","BDI",128,"Malawi","MLW","MWI",90,"0","0","0","0","0","0","-","-"
1,"oxj4L7",1,4,1996,16,"Burundi","BDI","BDI",128,"Malawi","MLW","MWI",115,"0","0","0","0","0","0","-","-"
1,"oxj4L7",1,5,1997,16,"Burundi","BDI","BDI",128,"Malawi","MLW","MWI",41,"0","0","0","0","0","0","-","-"
1,"oxj4L7",1,6,1998,16,"Burundi","BDI","BDI",128,"Malawi","MLW","MWI",191,"0","0","0","0","0","0","-","-"
1,"oxj4L7",1,7,1999,16,"Burundi","BDI","BDI",128,"Malawi","MLW","MWI",360,"0","0","0","0","0","0","-","-"
1,"oxj4L7",1,8,2000,16,"Burundi","BDI","BDI",128,"Malawi","MLW","MWI",608,"0","0","0","0","0","0","-","-"
1,"oxj4L7",1,9,2001,16,"Burundi","BDI","BDI",128,"Malawi","MLW","MWI",750,"0","0","0","0","0","0","-","-"
1,"oxj4L7",1,10,2002,16,"Burundi","BDI","BDI",128,"Malawi","MLW","MWI",596,2155,"0","0","0","0","0","-","-"
1,"oxj4L7",1,11,2003,16,"Burundi","BDI","BDI",128,"Malawi","MLW","MWI",710,1582,"0","0","0","0","0","-","-"
1,"oxj4L7",1,12,2004,16,"Burundi","BDI","BDI",128,"Malawi","MLW","MWI",980,1059,"0","0","0","0","0","-","-"
1,"oxj4L7",1,13,2005,16,"Burundi","BDI","BDI",128,"Malawi","MLW","MWI",1310,1419,35,"0","0","0","0","-","-"
1,"oxj4L7",1,14,2006,16,"Burundi","BDI","BDI",128,"Malawi","MLW","MWI",1245,1051,35,"0","0","0","0","-","-"
1,"oxj4L7",1,15,2007,16,"Burundi","BDI","BDI",128,"Malawi","MLW","MWI",508,1979,"0","0","0","0","0","-","-"
1,"oxj4L7",1,16,2008,16,"Burundi","BDI","BDI",128,"Malawi","MLW","MWI",805,2044,25,"0","0","0","0","-","-"
1,"oxj4L7",1,17,2009,16,"Burundi","BDI","BDI",128,"Malawi","MLW","MWI",1220,1040,154,"0","0","0","0","-","-"
1,"oxj4L7",1,18,2010,16,"Burundi","BDI","BDI",128,"Malawi","MLW","MWI",1287,2333,64,"0","0","0","0","-","-"
1,"oxj4L7",1,19,2011,16,"Burundi","BDI","BDI",128,"Malawi","MLW","MWI",1394,2092,15,"0","0","0","0","-","-"
1,"oxj4L7",1,20,2012,16,"Burundi","BDI","BDI",128,"Malawi","MLW","MWI",1428,2284,22,"0","0","0","0","-","-"
1,"oxj4L7",1,21,2013,16,"Burundi","BDI","BDI",128,"Malawi","MLW","MWI",1325,2830,54,"0","0","0","0","-","-"
1,"oxj4L7",1,22,2014,16,"Burundi","BDI","BDI",128,"Malawi","MLW","MWI",1335,4093,60,"0","0","0","0","-","-"
1,"oxj4L7",1,23,2015,16,"Burundi","BDI","BDI",128,"Malawi","MLW","MWI",1479,5180,"0","0","0","0","0","-","-"
1,"oxj4L7",1,24,2016,16,"Burundi","BDI","BDI",128,"Malawi","MLW","MWI",1642,4738,16,"0","0","0","0","-","-"
1,"oxj4L7",1,25,2017,16,"Burundi","BDI","BDI",128,"Malawi","MLW","MWI",1649,5490,"0","0","0","0",9,"-","-"
1,"oxj4L7",1,26,2018,16,"Burundi","BDI","BDI",128,"Malawi","MLW","MWI",2514,5589,"0","0","0","0",9,"-","-"
1,"oxj4L7",1,27,2019,16,"Burundi","BDI","BDI",128,"Malawi","MLW","MWI",2592,7487,"0","0","0","0",7,"-","-"
1,"oxj4L7",1,28,2020,16,"Burundi","BDI","BDI",128,"Malawi","MLW","MWI",2701,8281,"0","0","0","0",7,"-","-"
