"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","returned_refugees","idps","returned_idps","stateless","ooc","oip","hst"
1,"3uFp86",1,1,2006,29,"Bosnia and Herzegovina","BSN","BIH",133,"Montenegro","MNE","MNE",5005,5,15,"0","0","0","0","-","0"
1,"3uFp86",1,2,2006,84,"Croatia","HRV","HRV",133,"Montenegro","MNE","MNE",1921,"0",17,"0","0","0","0","-","0"
1,"3uFp86",1,3,2006,133,"Montenegro","MNE","MNE",133,"Montenegro","MNE","MNE","0","0","0",16196,199,"0","0","-","0"
1,"3uFp86",1,4,2006,164,"Serbia and Kosovo: S/RES/1244 (1999)","SRB","SRB",133,"Montenegro","MNE","MNE","0",6,"0","0","0","0","0","-","0"
1,"3uFp86",1,5,2007,29,"Bosnia and Herzegovina","BSN","BIH",133,"Montenegro","MNE","MNE",6166,"0","0","0","0","0","0","-","0"
1,"3uFp86",1,6,2007,84,"Croatia","HRV","HRV",133,"Montenegro","MNE","MNE",2361,"0",7,"0","0","0","0","-","0"
1,"3uFp86",1,7,2007,133,"Montenegro","MNE","MNE",133,"Montenegro","MNE","MNE","0","0","0",16155,137,"0","0","-","0"
1,"3uFp86",1,8,2008,29,"Bosnia and Herzegovina","BSN","BIH",133,"Montenegro","MNE","MNE",6168,"0",5,"0","0","0","0","-","0"
1,"3uFp86",1,9,2008,84,"Croatia","HRV","HRV",133,"Montenegro","MNE","MNE",2361,"0","0","0","0","0","0","-","0"
1,"3uFp86",1,10,2008,164,"Serbia and Kosovo: S/RES/1244 (1999)","SRB","SRB",133,"Montenegro","MNE","MNE",16210,"0",94,"0","0","0","0","-","0"
1,"3uFp86",1,11,2008,216,"Stateless","STA","XXA",133,"Montenegro","MNE","MNE","0","0","0","0","0",1500,"0","-","0"
1,"3uFp86",1,12,2009,29,"Bosnia and Herzegovina","BSN","BIH",133,"Montenegro","MNE","MNE",5636,"0",8,"0","0","0","0","-","0"
1,"3uFp86",1,13,2009,84,"Croatia","HRV","HRV",133,"Montenegro","MNE","MNE",2184,"0","0","0","0","0","0","-","0"
1,"3uFp86",1,14,2009,164,"Serbia and Kosovo: S/RES/1244 (1999)","SRB","SRB",133,"Montenegro","MNE","MNE",16197,7,202,"0","0","0","0","-","0"
1,"3uFp86",1,15,2009,216,"Stateless","STA","XXA",133,"Montenegro","MNE","MNE","0","0","0","0","0",1500,"0","-","0"
1,"3uFp86",1,16,2010,3,"Albania","ALB","ALB",133,"Montenegro","MNE","MNE","0","0","0","0","0","0",36,"-","0"
1,"3uFp86",1,17,2010,4,"Algeria","ALG","DZA",133,"Montenegro","MNE","MNE","0",5,"0","0","0","0","0","-","0"
1,"3uFp86",1,18,2010,29,"Bosnia and Herzegovina","BSN","BIH",133,"Montenegro","MNE","MNE",3858,"0",5,"0","0","0",175,"-","0"
1,"3uFp86",1,19,2010,84,"Croatia","HRV","HRV",133,"Montenegro","MNE","MNE",1557,"0",7,"0","0","0",63,"-","0"
1,"3uFp86",1,20,2010,164,"Serbia and Kosovo: S/RES/1244 (1999)","SRB","SRB",133,"Montenegro","MNE","MNE",10948,"0",201,"0","0","0",99,"-","0"
1,"3uFp86",1,21,2010,216,"Stateless","STA","XXA",133,"Montenegro","MNE","MNE","0","0","0","0","0",1300,"0","-","0"
1,"3uFp86",1,22,2011,3,"Albania","ALB","ALB",133,"Montenegro","MNE","MNE","0","0","0","0","0","0",613,"-","0"
1,"3uFp86",1,23,2011,4,"Algeria","ALG","DZA",133,"Montenegro","MNE","MNE","0",11,"0","0","0","0","0","-","0"
1,"3uFp86",1,24,2011,29,"Bosnia and Herzegovina","BSN","BIH",133,"Montenegro","MNE","MNE",2610,"0",5,"0","0","0",1505,"-","0"
1,"3uFp86",1,25,2011,84,"Croatia","HRV","HRV",133,"Montenegro","MNE","MNE",894,"0",12,"0","0","0",492,"-","0"
1,"3uFp86",1,26,2011,133,"Montenegro","MNE","MNE",133,"Montenegro","MNE","MNE","0","0","0","0","0","0",5,"-","0"
1,"3uFp86",1,27,2011,130,"Morocco","MOR","MAR",133,"Montenegro","MNE","MNE","0",18,"0","0","0","0","0","-","0"
1,"3uFp86",1,28,2011,164,"Serbia and Kosovo: S/RES/1244 (1999)","SRB","SRB",133,"Montenegro","MNE","MNE",9367,"0",71,"0","0","0",1322,"-","0"
1,"3uFp86",1,29,2011,216,"Stateless","STA","XXA",133,"Montenegro","MNE","MNE","0","0","0","0","0",4312,"0","-","0"
1,"3uFp86",1,30,2011,195,"Tunisia","TUN","TUN",133,"Montenegro","MNE","MNE","0",5,"0","0","0","0","0","-","0"
1,"3uFp86",1,31,2012,3,"Albania","ALB","ALB",133,"Montenegro","MNE","MNE","0","0","0","0","0","0",783,"-","0"
1,"3uFp86",1,32,2012,4,"Algeria","ALG","DZA",133,"Montenegro","MNE","MNE","0",56,"0","0","0","0","0","-","0"
1,"3uFp86",1,33,2012,20,"Bangladesh","BGD","BGD",133,"Montenegro","MNE","MNE","0",5,"0","0","0","0","0","-","0"
1,"3uFp86",1,34,2012,29,"Bosnia and Herzegovina","BSN","BIH",133,"Montenegro","MNE","MNE",1976,"0",5,"0","0","0",2075,"-","0"
1,"3uFp86",1,35,2012,84,"Croatia","HRV","HRV",133,"Montenegro","MNE","MNE",713,"0","0","0","0","0",645,"-","0"
1,"3uFp86",1,36,2012,133,"Montenegro","MNE","MNE",133,"Montenegro","MNE","MNE","0","0","0","0","0","0",5,"-","0"
1,"3uFp86",1,37,2012,130,"Morocco","MOR","MAR",133,"Montenegro","MNE","MNE","0",13,"0","0","0","0","0","-","0"
1,"3uFp86",1,38,2012,147,"Pakistan","PAK","PAK",133,"Montenegro","MNE","MNE","0",10,"0","0","0","0","0","-","0"
1,"3uFp86",1,39,2012,164,"Serbia and Kosovo: S/RES/1244 (1999)","SRB","SRB",133,"Montenegro","MNE","MNE",8504,"0",124,"0","0","0",1896,"-","0"
1,"3uFp86",1,40,2012,216,"Stateless","STA","XXA",133,"Montenegro","MNE","MNE","0","0","0","0","0",3383,"0","-","0"
1,"3uFp86",1,41,2012,185,"Syrian Arab Rep.","SYR","SYR",133,"Montenegro","MNE","MNE","0",7,"0","0","0","0","0","-","0"
1,"3uFp86",1,42,2012,195,"Tunisia","TUN","TUN",133,"Montenegro","MNE","MNE","0",17,"0","0","0","0","0","-","0"
1,"3uFp86",1,43,2013,3,"Albania","ALB","ALB",133,"Montenegro","MNE","MNE","0","0","0","0","0","0",1013,"-","0"
1,"3uFp86",1,44,2013,4,"Algeria","ALG","DZA",133,"Montenegro","MNE","MNE","0",5,"0","0","0","0","0","-","0"
1,"3uFp86",1,45,2013,29,"Bosnia and Herzegovina","BSN","BIH",133,"Montenegro","MNE","MNE",1048,"0","0","0","0","0",2797,"-","0"
1,"3uFp86",1,46,2013,41,"Dem. Rep. of the Congo","COD","COD",133,"Montenegro","MNE","MNE","0",7,"0","0","0","0","0","-","0"
1,"3uFp86",1,47,2013,56,"Eritrea","ERT","ERI",133,"Montenegro","MNE","MNE","0",66,"0","0","0","0","0","-","0"
1,"3uFp86",1,48,2013,68,"Gambia","GAM","GMB",133,"Montenegro","MNE","MNE","0",5,"0","0","0","0","0","-","0"
1,"3uFp86",1,49,2013,84,"Croatia","HRV","HRV",133,"Montenegro","MNE","MNE",456,"0",10,"0","0","0",845,"-","0"
1,"3uFp86",1,50,2013,120,"North Macedonia","MCD","MKD",133,"Montenegro","MNE","MNE","0","0","0","0","0","0",7,"-","0"
