"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","returned_refugees","idps","returned_idps","stateless","ooc","oip","hst"
1,"Jr8g8h",1,1,2001,2,"Afghanistan","AFG","AFG",132,"Malta","MTA","MLT",8,"0","0","0","0","0","0","-","0"
1,"Jr8g8h",1,2,2002,2,"Afghanistan","AFG","AFG",132,"Malta","MTA","MLT",8,"0","0","0","0","0","0","-","0"
1,"Jr8g8h",1,3,2003,2,"Afghanistan","AFG","AFG",132,"Malta","MTA","MLT",8,"0","0","0","0","0","0","-","0"
1,"Jr8g8h",1,4,2004,2,"Afghanistan","AFG","AFG",132,"Malta","MTA","MLT",8,"0","0","0","0","0","0","-","0"
1,"Jr8g8h",1,5,2005,2,"Afghanistan","AFG","AFG",132,"Malta","MTA","MLT",8,"0","0","0","0","0","0","-","0"
1,"Jr8g8h",1,6,2006,2,"Afghanistan","AFG","AFG",132,"Malta","MTA","MLT",8,"0","0","0","0","0","0","-","0"
1,"Jr8g8h",1,7,2007,2,"Afghanistan","AFG","AFG",132,"Malta","MTA","MLT",8,"0","0","0","0","0","0","-","0"
1,"Jr8g8h",1,8,2008,2,"Afghanistan","AFG","AFG",132,"Malta","MTA","MLT",8,"0","0","0","0","0","0","-","0"
1,"Jr8g8h",1,9,2009,2,"Afghanistan","AFG","AFG",132,"Malta","MTA","MLT",8,"0","0","0","0","0","0","-","0"
1,"Jr8g8h",1,10,2010,2,"Afghanistan","AFG","AFG",132,"Malta","MTA","MLT",8,"0","0","0","0","0","0","-","0"
1,"Jr8g8h",1,11,2016,2,"Afghanistan","AFG","AFG",132,"Malta","MTA","MLT","0",7,"0","0","0","0","0","-","0"
1,"Jr8g8h",1,12,2017,2,"Afghanistan","AFG","AFG",132,"Malta","MTA","MLT","0",6,"0","0","0","0","0","-","0"
1,"Jr8g8h",1,13,2018,2,"Afghanistan","AFG","AFG",132,"Malta","MTA","MLT","0",5,"0","0","0","0","0","-","0"
1,"Jr8g8h",1,14,2019,2,"Afghanistan","AFG","AFG",132,"Malta","MTA","MLT","0",5,"0","0","0","0","0","-","0"
1,"Jr8g8h",1,15,2021,2,"Afghanistan","AFG","AFG",132,"Malta","MTA","MLT","0",5,"0","0","0","0","0","-","0"
1,"Jr8g8h",1,16,2022,2,"Afghanistan","AFG","AFG",132,"Malta","MTA","MLT","0",10,"0","0","0","0","0","-","0"
1,"Jr8g8h",1,17,2023,2,"Afghanistan","AFG","AFG",132,"Malta","MTA","MLT",5,"0","0","0","0","0","0","-","0"
1,"Jr8g8h",1,18,2022,3,"Albania","ALB","ALB",132,"Malta","MTA","MLT","0",5,"0","0","0","0","0","-","0"
1,"Jr8g8h",1,19,2024,3,"Albania","ALB","ALB",132,"Malta","MTA","MLT","0",5,"0","0","0","0","0","-","0"
1,"Jr8g8h",1,20,2025,3,"Albania","ALB","ALB",132,"Malta","MTA","MLT","0",5,"0","0","0","0","0","-","0"
1,"Jr8g8h",1,21,1994,4,"Algeria","ALG","DZA",132,"Malta","MTA","MLT",5,"0","0","0","0","0","0","-","0"
1,"Jr8g8h",1,22,1995,4,"Algeria","ALG","DZA",132,"Malta","MTA","MLT",22,"0","0","0","0","0","0","-","0"
1,"Jr8g8h",1,23,1996,4,"Algeria","ALG","DZA",132,"Malta","MTA","MLT",38,"0",14,"0","0","0","0","-","0"
1,"Jr8g8h",1,24,1997,4,"Algeria","ALG","DZA",132,"Malta","MTA","MLT",41,"0","0","0","0","0","0","-","0"
1,"Jr8g8h",1,25,1998,4,"Algeria","ALG","DZA",132,"Malta","MTA","MLT",20,"0","0","0","0","0","0","-","0"
1,"Jr8g8h",1,26,1999,4,"Algeria","ALG","DZA",132,"Malta","MTA","MLT",28,"0","0","0","0","0","0","-","0"
1,"Jr8g8h",1,27,2000,4,"Algeria","ALG","DZA",132,"Malta","MTA","MLT",25,"0","0","0","0","0","0","-","0"
1,"Jr8g8h",1,28,2001,4,"Algeria","ALG","DZA",132,"Malta","MTA","MLT",22,"0","0","0","0","0","0","-","0"
1,"Jr8g8h",1,29,2002,4,"Algeria","ALG","DZA",132,"Malta","MTA","MLT",22,"0","0","0","0","0","0","-","0"
1,"Jr8g8h",1,30,2003,4,"Algeria","ALG","DZA",132,"Malta","MTA","MLT",22,"0","0","0","0","0","0","-","0"
