"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","idps","oip","stateless","hst","ooc"
1,"VJJ0s1",1,1,2024,16,"Burundi","BDI","BDI",134,"Mauritius","MTS","MUS","0",20,"0","-","0","0","0"
1,"VJJ0s1",1,2,2025,16,"Burundi","BDI","BDI",134,"Mauritius","MTS","MUS","0",76,"0","-","0","0","0"
1,"VJJ0s1",1,3,2023,34,"Central African Rep.","CAR","CAF",134,"Mauritius","MTS","MUS",5,"0","0","-","0","0","0"
1,"VJJ0s1",1,4,2024,34,"Central African Rep.","CAR","CAF",134,"Mauritius","MTS","MUS",5,"0","0","-","0","0","0"
1,"VJJ0s1",1,5,2025,34,"Central African Rep.","CAR","CAF",134,"Mauritius","MTS","MUS",5,"0","0","-","0","0","0"
1,"VJJ0s1",1,6,2024,39,"Cameroon","CMR","CMR",134,"Mauritius","MTS","MUS","0",5,"0","-","0","0","0"
1,"VJJ0s1",1,7,2025,39,"Cameroon","CMR","CMR",134,"Mauritius","MTS","MUS","0",13,"0","-","0","0","0"
1,"VJJ0s1",1,8,2001,41,"Dem. Rep. of the Congo","COD","COD",134,"Mauritius","MTS","MUS",14,"0","0","-","0","0","0"
1,"VJJ0s1",1,9,2018,41,"Dem. Rep. of the Congo","COD","COD",134,"Mauritius","MTS","MUS",11,"0","0","-","0","0","0"
1,"VJJ0s1",1,10,2019,41,"Dem. Rep. of the Congo","COD","COD",134,"Mauritius","MTS","MUS",10,"0","0","-","0","0","0"
1,"VJJ0s1",1,11,2020,41,"Dem. Rep. of the Congo","COD","COD",134,"Mauritius","MTS","MUS",10,"0","0","-","0","0","0"
1,"VJJ0s1",1,12,2023,41,"Dem. Rep. of the Congo","COD","COD",134,"Mauritius","MTS","MUS","0",9,"0","-","0","0","0"
1,"VJJ0s1",1,13,2024,41,"Dem. Rep. of the Congo","COD","COD",134,"Mauritius","MTS","MUS",5,27,"0","-","0","0","0"
1,"VJJ0s1",1,14,2025,41,"Dem. Rep. of the Congo","COD","COD",134,"Mauritius","MTS","MUS",12,34,"0","-","0","0","0"
1,"VJJ0s1",1,15,2025,99,"Kenya","KEN","KEN",134,"Mauritius","MTS","MUS","0",5,"0","-","0","0","0"
1,"VJJ0s1",1,16,2023,117,"Madagascar","MAD","MDG",134,"Mauritius","MTS","MUS","0",5,"0","-","0","0","0"
1,"VJJ0s1",1,17,2024,117,"Madagascar","MAD","MDG",134,"Mauritius","MTS","MUS","0",5,"0","-","0","0","0"
1,"VJJ0s1",1,18,2025,117,"Madagascar","MAD","MDG",134,"Mauritius","MTS","MUS","0",5,"0","-","0","0","0"
1,"VJJ0s1",1,19,2024,141,"Nigeria","NIG","NGA",134,"Mauritius","MTS","MUS","0",5,"0","-","0","0","0"
1,"VJJ0s1",1,20,2025,141,"Nigeria","NIG","NGA",134,"Mauritius","MTS","MUS","0",5,"0","-","0","0","0"
1,"VJJ0s1",1,21,2019,147,"Pakistan","PAK","PAK",134,"Mauritius","MTS","MUS",5,"0","0","-","0","0","0"
1,"VJJ0s1",1,22,2020,147,"Pakistan","PAK","PAK",134,"Mauritius","MTS","MUS",5,"0","0","-","0","0","0"
1,"VJJ0s1",1,23,2021,147,"Pakistan","PAK","PAK",134,"Mauritius","MTS","MUS",5,"0","0","-","0","0","0"
1,"VJJ0s1",1,24,2019,151,"Philippines","PHI","PHL",134,"Mauritius","MTS","MUS","0",5,"0","-","0","0","0"
1,"VJJ0s1",1,25,2019,159,"South Africa","RSA","ZAF",134,"Mauritius","MTS","MUS",5,"0","0","-","0","0","0"
1,"VJJ0s1",1,26,2020,159,"South Africa","RSA","ZAF",134,"Mauritius","MTS","MUS",5,"0","0","-","0","0","0"
1,"VJJ0s1",1,27,2021,159,"South Africa","RSA","ZAF",134,"Mauritius","MTS","MUS",5,"0","0","-","0","0","0"
1,"VJJ0s1",1,28,2025,161,"Rwanda","RWA","RWA",134,"Mauritius","MTS","MUS","0",8,"0","-","0","0","0"
1,"VJJ0s1",1,29,2016,185,"Syrian Arab Rep.","SYR","SYR",134,"Mauritius","MTS","MUS","0",5,"0","-","0","0","0"
1,"VJJ0s1",1,30,2017,185,"Syrian Arab Rep.","SYR","SYR",134,"Mauritius","MTS","MUS",5,"0","0","-","0","0","0"
1,"VJJ0s1",1,31,2018,185,"Syrian Arab Rep.","SYR","SYR",134,"Mauritius","MTS","MUS",5,"0","0","-","0","0","0"
1,"VJJ0s1",1,32,2023,185,"Syrian Arab Rep.","SYR","SYR",134,"Mauritius","MTS","MUS","0",5,"0","-","0","0","0"
1,"VJJ0s1",1,33,2024,185,"Syrian Arab Rep.","SYR","SYR",134,"Mauritius","MTS","MUS","0",5,"0","-","0","0","0"
1,"VJJ0s1",1,34,2025,185,"Syrian Arab Rep.","SYR","SYR",134,"Mauritius","MTS","MUS",6,"0","0","-","0","0","0"
1,"VJJ0s1",1,35,2024,199,"Uganda","UGA","UGA",134,"Mauritius","MTS","MUS","0",5,"0","-","0","0","0"
1,"VJJ0s1",1,36,2025,199,"Uganda","UGA","UGA",134,"Mauritius","MTS","MUS","0",5,"0","-","0","0","0"
1,"VJJ0s1",1,37,2025,214,"Zimbabwe","ZIM","ZWE",134,"Mauritius","MTS","MUS","0",5,"0","-","0","0","0"
1,"VJJ0s1",1,38,1999,262,"Unknown ","UKN","UNK",134,"Mauritius","MTS","MUS",43,"0","0","-","0","0","0"
