"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","returned_refugees","idps","returned_idps","stateless","ooc","oip","hst"
1,"bvG8Fg",1,1,2006,135,"Myanmar","MYA","MMR",135,"Myanmar","MYA","MMR","0","0","0",58500,"0","0","0","-","0"
1,"bvG8Fg",1,2,2007,135,"Myanmar","MYA","MMR",135,"Myanmar","MYA","MMR","0","0","0",67290,"0","0","0","-","0"
1,"bvG8Fg",1,3,2008,135,"Myanmar","MYA","MMR",135,"Myanmar","MYA","MMR","0","0","0",67290,"0","0","0","-","0"
1,"bvG8Fg",1,4,2009,135,"Myanmar","MYA","MMR",135,"Myanmar","MYA","MMR","0","0","0",67290,"0","0","0","-","0"
1,"bvG8Fg",1,5,2010,135,"Myanmar","MYA","MMR",135,"Myanmar","MYA","MMR","0","0","0",62015,"0","0","0","-","0"
1,"bvG8Fg",1,6,2011,135,"Myanmar","MYA","MMR",135,"Myanmar","MYA","MMR","0","0","0",339200,"0","0","0","-","0"
1,"bvG8Fg",1,7,2012,135,"Myanmar","MYA","MMR",135,"Myanmar","MYA","MMR","0","0","0",430400,"0","0","0","-","0"
1,"bvG8Fg",1,8,2013,135,"Myanmar","MYA","MMR",135,"Myanmar","MYA","MMR","0","0","0",372000,27383,"0","0","-","0"
1,"bvG8Fg",1,9,2014,135,"Myanmar","MYA","MMR",135,"Myanmar","MYA","MMR","0","0","0",376500,"0","0","0","-","0"
1,"bvG8Fg",1,10,2015,135,"Myanmar","MYA","MMR",135,"Myanmar","MYA","MMR","0","0","0",451089,25265,"0","0","-","0"
1,"bvG8Fg",1,11,2016,135,"Myanmar","MYA","MMR",135,"Myanmar","MYA","MMR","0","0","0",375016,1346,"0","0","-","0"
1,"bvG8Fg",1,12,2017,135,"Myanmar","MYA","MMR",135,"Myanmar","MYA","MMR","0","0","0",353108,684,"0","0","-","0"
1,"bvG8Fg",1,13,2018,135,"Myanmar","MYA","MMR",135,"Myanmar","MYA","MMR","0","0","0",370306,379,"0","0","-","0"
1,"bvG8Fg",1,14,2019,135,"Myanmar","MYA","MMR",135,"Myanmar","MYA","MMR","0","0","0",312018,1641,"0","0","-","0"
1,"bvG8Fg",1,15,2020,135,"Myanmar","MYA","MMR",135,"Myanmar","MYA","MMR","0","0","0",370320,2992,"0","0","-","0"
