"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","idps","oip","stateless","hst","ooc"
1,"2eIpU1",1,1,1991,6,"Angola","ANG","AGO",136,"Namibia","NAM","NAM",70,"0","0","-","0","0","0"
1,"2eIpU1",1,2,1992,6,"Angola","ANG","AGO",136,"Namibia","NAM","NAM",90,"0","0","-","0","0","0"
1,"2eIpU1",1,3,1993,6,"Angola","ANG","AGO",136,"Namibia","NAM","NAM",553,"0","0","-","0","0","0"
1,"2eIpU1",1,4,1994,6,"Angola","ANG","AGO",136,"Namibia","NAM","NAM",1087,"0","0","-","0","0","0"
1,"2eIpU1",1,5,1995,6,"Angola","ANG","AGO",136,"Namibia","NAM","NAM",1580,"0","0","-","0","0","0"
1,"2eIpU1",1,6,1996,6,"Angola","ANG","AGO",136,"Namibia","NAM","NAM",2069,"0","0","-","0","0","0"
1,"2eIpU1",1,7,1997,6,"Angola","ANG","AGO",136,"Namibia","NAM","NAM",2188,"0","0","-","0","0","0"
1,"2eIpU1",1,8,1998,6,"Angola","ANG","AGO",136,"Namibia","NAM","NAM",2818,"0","0","-","0","0","0"
1,"2eIpU1",1,9,1999,6,"Angola","ANG","AGO",136,"Namibia","NAM","NAM",7612,"0","0","-","0","0","0"
1,"2eIpU1",1,10,2000,6,"Angola","ANG","AGO",136,"Namibia","NAM","NAM",27263,"0","0","-","0","0","0"
1,"2eIpU1",1,11,2001,6,"Angola","ANG","AGO",136,"Namibia","NAM","NAM",30881,"0","0","-","0","0","0"
1,"2eIpU1",1,12,2002,6,"Angola","ANG","AGO",136,"Namibia","NAM","NAM",21636,"0","0","-","0","0","0"
1,"2eIpU1",1,13,2003,6,"Angola","ANG","AGO",136,"Namibia","NAM","NAM",17814,"0","0","-","0","0","0"
1,"2eIpU1",1,14,2004,6,"Angola","ANG","AGO",136,"Namibia","NAM","NAM",12618,"0","0","-","0","0","0"
1,"2eIpU1",1,15,2005,6,"Angola","ANG","AGO",136,"Namibia","NAM","NAM",4666,"0","0","-","0","0","0"
1,"2eIpU1",1,16,2006,6,"Angola","ANG","AGO",136,"Namibia","NAM","NAM",4738,"0","0","-","0","0","0"
1,"2eIpU1",1,17,2007,6,"Angola","ANG","AGO",136,"Namibia","NAM","NAM",5705,"0","0","-","0","0","0"
1,"2eIpU1",1,18,2008,6,"Angola","ANG","AGO",136,"Namibia","NAM","NAM",5916,"0","0","-","0","0","0"
1,"2eIpU1",1,19,2009,6,"Angola","ANG","AGO",136,"Namibia","NAM","NAM",5924,"0","0","-","0","0","0"
1,"2eIpU1",1,20,2010,6,"Angola","ANG","AGO",136,"Namibia","NAM","NAM",5904,"0","0","-","0","0","0"
1,"2eIpU1",1,21,2011,6,"Angola","ANG","AGO",136,"Namibia","NAM","NAM",4322,"0","0","-","0","0","0"
1,"2eIpU1",1,22,2013,6,"Angola","ANG","AGO",136,"Namibia","NAM","NAM","0","0","0","-","0","0",1660
1,"2eIpU1",1,23,2014,6,"Angola","ANG","AGO",136,"Namibia","NAM","NAM","0","0","0","-","0","0",1660
1,"2eIpU1",1,24,2015,6,"Angola","ANG","AGO",136,"Namibia","NAM","NAM","0","0","0","-","0","0",1660
1,"2eIpU1",1,25,2021,6,"Angola","ANG","AGO",136,"Namibia","NAM","NAM",5,"0","0","-","0","0",19
1,"2eIpU1",1,26,2022,6,"Angola","ANG","AGO",136,"Namibia","NAM","NAM",5,"0","0","-","0","0",25
1,"2eIpU1",1,27,2023,6,"Angola","ANG","AGO",136,"Namibia","NAM","NAM","0","0","0","-","0","0",21
1,"2eIpU1",1,28,2024,6,"Angola","ANG","AGO",136,"Namibia","NAM","NAM",5,"0","0","-","0","0",10
1,"2eIpU1",1,29,2025,6,"Angola","ANG","AGO",136,"Namibia","NAM","NAM",5,"0","0","-","0","0",10
1,"2eIpU1",1,30,1994,16,"Burundi","BDI","BDI",136,"Namibia","NAM","NAM",5,"0","0","-","0","0","0"
1,"2eIpU1",1,31,1995,16,"Burundi","BDI","BDI",136,"Namibia","NAM","NAM",36,"0","0","-","0","0","0"
1,"2eIpU1",1,32,1996,16,"Burundi","BDI","BDI",136,"Namibia","NAM","NAM",49,"0","0","-","0","0","0"
1,"2eIpU1",1,33,1997,16,"Burundi","BDI","BDI",136,"Namibia","NAM","NAM",82,"0","0","-","0","0","0"
1,"2eIpU1",1,34,1998,16,"Burundi","BDI","BDI",136,"Namibia","NAM","NAM",69,"0","0","-","0","0","0"
1,"2eIpU1",1,35,2000,16,"Burundi","BDI","BDI",136,"Namibia","NAM","NAM","0",256,"0","-","0","0","0"
1,"2eIpU1",1,36,2001,16,"Burundi","BDI","BDI",136,"Namibia","NAM","NAM","0",357,"0","-","0","0","0"
1,"2eIpU1",1,37,2002,16,"Burundi","BDI","BDI",136,"Namibia","NAM","NAM",5,175,"0","-","0","0","0"
1,"2eIpU1",1,38,2003,16,"Burundi","BDI","BDI",136,"Namibia","NAM","NAM",315,344,"0","-","0","0","0"
1,"2eIpU1",1,39,2004,16,"Burundi","BDI","BDI",136,"Namibia","NAM","NAM",344,319,"0","-","0","0","0"
1,"2eIpU1",1,40,2005,16,"Burundi","BDI","BDI",136,"Namibia","NAM","NAM",61,124,"0","-","0","0","0"
1,"2eIpU1",1,41,2006,16,"Burundi","BDI","BDI",136,"Namibia","NAM","NAM",68,145,"0","-","0","0","0"
1,"2eIpU1",1,42,2007,16,"Burundi","BDI","BDI",136,"Namibia","NAM","NAM",109,136,"0","-","0","0","0"
1,"2eIpU1",1,43,2008,16,"Burundi","BDI","BDI",136,"Namibia","NAM","NAM",127,121,"0","-","0","0","0"
