"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","idps","oip","stateless","hst","ooc"
1,"e7mW3Q",1,1,1995,4,"Algeria","ALG","DZA",139,"Niger","NGR","NER",5,"0","0","-","0","0","0"
1,"e7mW3Q",1,2,1996,4,"Algeria","ALG","DZA",139,"Niger","NGR","NER",7,"0","0","-","0","0","0"
1,"e7mW3Q",1,3,1997,4,"Algeria","ALG","DZA",139,"Niger","NGR","NER",10,"0","0","-","0","0","0"
1,"e7mW3Q",1,4,1998,4,"Algeria","ALG","DZA",139,"Niger","NGR","NER",12,"0","0","-","0","0","0"
1,"e7mW3Q",1,5,1999,4,"Algeria","ALG","DZA",139,"Niger","NGR","NER",14,"0","0","-","0","0","0"
1,"e7mW3Q",1,6,2000,4,"Algeria","ALG","DZA",139,"Niger","NGR","NER","0",5,"0","-","0","0","0"
1,"e7mW3Q",1,7,2001,4,"Algeria","ALG","DZA",139,"Niger","NGR","NER","0",5,"0","-","0","0","0"
1,"e7mW3Q",1,8,1993,16,"Burundi","BDI","BDI",139,"Niger","NGR","NER",5,"0","0","-","0","0","0"
1,"e7mW3Q",1,9,1995,16,"Burundi","BDI","BDI",139,"Niger","NGR","NER",7,"0","0","-","0","0","0"
1,"e7mW3Q",1,10,1996,16,"Burundi","BDI","BDI",139,"Niger","NGR","NER",7,"0","0","-","0","0","0"
1,"e7mW3Q",1,11,1997,16,"Burundi","BDI","BDI",139,"Niger","NGR","NER",5,"0","0","-","0","0","0"
1,"e7mW3Q",1,12,1998,16,"Burundi","BDI","BDI",139,"Niger","NGR","NER",5,"0","0","-","0","0","0"
1,"e7mW3Q",1,13,1999,16,"Burundi","BDI","BDI",139,"Niger","NGR","NER",5,"0","0","-","0","0","0"
1,"e7mW3Q",1,14,2024,16,"Burundi","BDI","BDI",139,"Niger","NGR","NER","0",9,"0","-","0","0","0"
1,"e7mW3Q",1,15,2025,16,"Burundi","BDI","BDI",139,"Niger","NGR","NER","0",8,"0","-","0","0","0"
1,"e7mW3Q",1,16,2022,18,"Benin","BEN","BEN",139,"Niger","NGR","NER","0",5,"0","-","0","0","0"
1,"e7mW3Q",1,17,2023,18,"Benin","BEN","BEN",139,"Niger","NGR","NER","0",5,"0","-","0","0","0"
1,"e7mW3Q",1,18,2019,23,"Burkina Faso","BKF","BFA",139,"Niger","NGR","NER","0","0","0","-","0","0",2190
1,"e7mW3Q",1,19,2020,23,"Burkina Faso","BKF","BFA",139,"Niger","NGR","NER","0","0","0","-","0","0",3803
1,"e7mW3Q",1,20,2021,23,"Burkina Faso","BKF","BFA",139,"Niger","NGR","NER","0","0","0","-","0","0",13079
1,"e7mW3Q",1,21,2022,23,"Burkina Faso","BKF","BFA",139,"Niger","NGR","NER","0",24981,"0","-","0","0","0"
1,"e7mW3Q",1,22,2023,23,"Burkina Faso","BKF","BFA",139,"Niger","NGR","NER","0",31063,"0","-","0","0","0"
1,"e7mW3Q",1,23,2024,23,"Burkina Faso","BKF","BFA",139,"Niger","NGR","NER","0",38262,"0","-","0","0","0"
1,"e7mW3Q",1,24,2025,23,"Burkina Faso","BKF","BFA",139,"Niger","NGR","NER","0",38815,"0","-","0","0","0"
1,"e7mW3Q",1,25,1997,32,"Cambodia","CAM","KHM",139,"Niger","NGR","NER",6,"0","0","-","0","0","0"
1,"e7mW3Q",1,26,1998,32,"Cambodia","CAM","KHM",139,"Niger","NGR","NER",12,"0","0","-","0","0","0"
1,"e7mW3Q",1,27,1999,32,"Cambodia","CAM","KHM",139,"Niger","NGR","NER",18,"0","0","-","0","0","0"
1,"e7mW3Q",1,28,2003,34,"Central African Rep.","CAR","CAF",139,"Niger","NGR","NER",5,"0","0","-","0","0","0"
1,"e7mW3Q",1,29,2006,34,"Central African Rep.","CAR","CAF",139,"Niger","NGR","NER","0",5,"0","-","0","0","0"
1,"e7mW3Q",1,30,2007,34,"Central African Rep.","CAR","CAF",139,"Niger","NGR","NER",5,5,"0","-","0","0","0"
1,"e7mW3Q",1,31,2008,34,"Central African Rep.","CAR","CAF",139,"Niger","NGR","NER",5,"0","0","-","0","0","0"
1,"e7mW3Q",1,32,2009,34,"Central African Rep.","CAR","CAF",139,"Niger","NGR","NER",5,"0","0","-","0","0","0"
1,"e7mW3Q",1,33,2010,34,"Central African Rep.","CAR","CAF",139,"Niger","NGR","NER",5,"0","0","-","0","0","0"
1,"e7mW3Q",1,34,2011,34,"Central African Rep.","CAR","CAF",139,"Niger","NGR","NER",5,"0","0","-","0","0","0"
1,"e7mW3Q",1,35,2012,34,"Central African Rep.","CAR","CAF",139,"Niger","NGR","NER",5,"0","0","-","0","0","0"
1,"e7mW3Q",1,36,2013,34,"Central African Rep.","CAR","CAF",139,"Niger","NGR","NER",11,8,"0","-","0","0","0"
1,"e7mW3Q",1,37,2014,34,"Central African Rep.","CAR","CAF",139,"Niger","NGR","NER",11,83,"0","-","0","0","0"
1,"e7mW3Q",1,38,2015,34,"Central African Rep.","CAR","CAF",139,"Niger","NGR","NER",29,63,"0","-","0","0","0"
1,"e7mW3Q",1,39,2016,34,"Central African Rep.","CAR","CAF",139,"Niger","NGR","NER",67,41,"0","-","0","0","0"
1,"e7mW3Q",1,40,2017,34,"Central African Rep.","CAR","CAF",139,"Niger","NGR","NER",65,31,"0","-","0","0","0"
1,"e7mW3Q",1,41,2018,34,"Central African Rep.","CAR","CAF",139,"Niger","NGR","NER",59,91,"0","-","0","0","0"
1,"e7mW3Q",1,42,2019,34,"Central African Rep.","CAR","CAF",139,"Niger","NGR","NER",145,23,"0","-","0","0","0"
1,"e7mW3Q",1,43,2020,34,"Central African Rep.","CAR","CAF",139,"Niger","NGR","NER",159,32,"0","-","0","0","0"
1,"e7mW3Q",1,44,2021,34,"Central African Rep.","CAR","CAF",139,"Niger","NGR","NER",142,64,"0","-","0","0","0"
1,"e7mW3Q",1,45,2022,34,"Central African Rep.","CAR","CAF",139,"Niger","NGR","NER",138,89,"0","-","0","0","0"
1,"e7mW3Q",1,46,2023,34,"Central African Rep.","CAR","CAF",139,"Niger","NGR","NER",147,111,"0","-","0","0","0"
1,"e7mW3Q",1,47,2024,34,"Central African Rep.","CAR","CAF",139,"Niger","NGR","NER",140,86,"0","-","0","0","0"
1,"e7mW3Q",1,48,2025,34,"Central African Rep.","CAR","CAF",139,"Niger","NGR","NER",103,29,"0","-","0","0","0"
1,"e7mW3Q",1,49,1990,36,"Chad","CHD","TCD",139,"Niger","NGR","NER",775,"0","0","-","0","0","0"
1,"e7mW3Q",1,50,1991,36,"Chad","CHD","TCD",139,"Niger","NGR","NER",1375,"0","0","-","0","0","0"
1,"e7mW3Q",1,51,1992,36,"Chad","CHD","TCD",139,"Niger","NGR","NER",3397,"0","0","-","0","0","0"
1,"e7mW3Q",1,52,1993,36,"Chad","CHD","TCD",139,"Niger","NGR","NER",3622,"0","0","-","0","0","0"
1,"e7mW3Q",1,53,1994,36,"Chad","CHD","TCD",139,"Niger","NGR","NER",2000,"0","0","-","0","0","0"
1,"e7mW3Q",1,54,1995,36,"Chad","CHD","TCD",139,"Niger","NGR","NER",2433,"0","0","-","0","0","0"
1,"e7mW3Q",1,55,1996,36,"Chad","CHD","TCD",139,"Niger","NGR","NER",1609,"0","0","-","0","0","0"
1,"e7mW3Q",1,56,1997,36,"Chad","CHD","TCD",139,"Niger","NGR","NER",225,"0","0","-","0","0","0"
1,"e7mW3Q",1,57,1998,36,"Chad","CHD","TCD",139,"Niger","NGR","NER",159,"0","0","-","0","0","0"
1,"e7mW3Q",1,58,1999,36,"Chad","CHD","TCD",139,"Niger","NGR","NER",50,"0","0","-","0","0","0"
1,"e7mW3Q",1,59,2000,36,"Chad","CHD","TCD",139,"Niger","NGR","NER",7,12,"0","-","0","0","0"
