"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","idps","oip","stateless","hst","ooc"
1,"PMBmS0",1,1,2010,40,"Congo","COB","COG",140,"Nicaragua","NIC","NIC","0",5,"0","-","0","0","0"
1,"PMBmS0",1,2,2002,44,"Colombia","COL","COL",140,"Nicaragua","NIC","NIC","0",8,"0","-","0","0","0"
1,"PMBmS0",1,3,2003,44,"Colombia","COL","COL",140,"Nicaragua","NIC","NIC","0",9,"0","-","0","0","0"
1,"PMBmS0",1,4,2004,44,"Colombia","COL","COL",140,"Nicaragua","NIC","NIC",8,"0","0","-","0","0","0"
1,"PMBmS0",1,5,2005,44,"Colombia","COL","COL",140,"Nicaragua","NIC","NIC",12,"0","0","-","0","0","0"
1,"PMBmS0",1,6,2006,44,"Colombia","COL","COL",140,"Nicaragua","NIC","NIC",12,"0","0","-","0","0","0"
1,"PMBmS0",1,7,2007,44,"Colombia","COL","COL",140,"Nicaragua","NIC","NIC",17,"0","0","-","0","0","0"
1,"PMBmS0",1,8,2008,44,"Colombia","COL","COL",140,"Nicaragua","NIC","NIC",13,"0","0","-","0","0","0"
1,"PMBmS0",1,9,2009,44,"Colombia","COL","COL",140,"Nicaragua","NIC","NIC",7,"0","0","-","0","0","0"
1,"PMBmS0",1,10,2010,44,"Colombia","COL","COL",140,"Nicaragua","NIC","NIC",6,"0","0","-","0","0","0"
1,"PMBmS0",1,11,2011,44,"Colombia","COL","COL",140,"Nicaragua","NIC","NIC",8,"0","0","-","0","0","0"
1,"PMBmS0",1,12,2012,44,"Colombia","COL","COL",140,"Nicaragua","NIC","NIC",8,"0","0","-","0","0","0"
1,"PMBmS0",1,13,2013,44,"Colombia","COL","COL",140,"Nicaragua","NIC","NIC",9,"0","0","-","0","0","0"
1,"PMBmS0",1,14,2014,44,"Colombia","COL","COL",140,"Nicaragua","NIC","NIC",10,"0","0","-","0","0","0"
1,"PMBmS0",1,15,2015,44,"Colombia","COL","COL",140,"Nicaragua","NIC","NIC",6,"0","0","-","0","0","0"
1,"PMBmS0",1,16,2016,44,"Colombia","COL","COL",140,"Nicaragua","NIC","NIC",6,5,"0","-","0","0","0"
1,"PMBmS0",1,17,2017,44,"Colombia","COL","COL",140,"Nicaragua","NIC","NIC",6,"0","0","-","0","0","0"
1,"PMBmS0",1,18,2018,44,"Colombia","COL","COL",140,"Nicaragua","NIC","NIC",6,"0","0","-","0","0","0"
1,"PMBmS0",1,19,2019,44,"Colombia","COL","COL",140,"Nicaragua","NIC","NIC",6,"0","0","-","0","0","0"
1,"PMBmS0",1,20,2020,44,"Colombia","COL","COL",140,"Nicaragua","NIC","NIC",6,"0","0","-","0","0","0"
1,"PMBmS0",1,21,2021,44,"Colombia","COL","COL",140,"Nicaragua","NIC","NIC",6,"0","0","-","0","0","0"
1,"PMBmS0",1,22,2022,44,"Colombia","COL","COL",140,"Nicaragua","NIC","NIC",6,"0","0","-","0","0","0"
1,"PMBmS0",1,23,2023,44,"Colombia","COL","COL",140,"Nicaragua","NIC","NIC",6,"0","0","-","0","0","0"
1,"PMBmS0",1,24,1993,46,"Cuba","CUB","CUB",140,"Nicaragua","NIC","NIC",21,"0","0","-","0","0","0"
1,"PMBmS0",1,25,1994,46,"Cuba","CUB","CUB",140,"Nicaragua","NIC","NIC",11,"0","0","-","0","0","0"
1,"PMBmS0",1,26,1995,46,"Cuba","CUB","CUB",140,"Nicaragua","NIC","NIC",18,"0","0","-","0","0","0"
1,"PMBmS0",1,27,1996,46,"Cuba","CUB","CUB",140,"Nicaragua","NIC","NIC",5,"0","0","-","0","0","0"
1,"PMBmS0",1,28,1997,46,"Cuba","CUB","CUB",140,"Nicaragua","NIC","NIC",5,"0","0","-","0","0","0"
1,"PMBmS0",1,29,1998,46,"Cuba","CUB","CUB",140,"Nicaragua","NIC","NIC",6,"0","0","-","0","0","0"
1,"PMBmS0",1,30,1999,46,"Cuba","CUB","CUB",140,"Nicaragua","NIC","NIC",6,"0","0","-","0","0","0"
1,"PMBmS0",1,31,2002,46,"Cuba","CUB","CUB",140,"Nicaragua","NIC","NIC","0",7,"0","-","0","0","0"
1,"PMBmS0",1,32,2003,46,"Cuba","CUB","CUB",140,"Nicaragua","NIC","NIC","0",6,"0","-","0","0","0"
1,"PMBmS0",1,33,2004,46,"Cuba","CUB","CUB",140,"Nicaragua","NIC","NIC",5,"0","0","-","0","0","0"
1,"PMBmS0",1,34,2005,46,"Cuba","CUB","CUB",140,"Nicaragua","NIC","NIC",8,"0","0","-","0","0","0"
1,"PMBmS0",1,35,2006,46,"Cuba","CUB","CUB",140,"Nicaragua","NIC","NIC",12,"0","0","-","0","0","0"
1,"PMBmS0",1,36,2007,46,"Cuba","CUB","CUB",140,"Nicaragua","NIC","NIC",10,"0","0","-","0","0","0"
1,"PMBmS0",1,37,2008,46,"Cuba","CUB","CUB",140,"Nicaragua","NIC","NIC",5,"0","0","-","0","0","0"
1,"PMBmS0",1,38,2009,46,"Cuba","CUB","CUB",140,"Nicaragua","NIC","NIC",6,"0","0","-","0","0","0"
1,"PMBmS0",1,39,2010,46,"Cuba","CUB","CUB",140,"Nicaragua","NIC","NIC",6,"0","0","-","0","0","0"
1,"PMBmS0",1,40,2011,46,"Cuba","CUB","CUB",140,"Nicaragua","NIC","NIC",6,"0","0","-","0","0","0"
1,"PMBmS0",1,41,2012,46,"Cuba","CUB","CUB",140,"Nicaragua","NIC","NIC",6,"0","0","-","0","0","0"
1,"PMBmS0",1,42,2013,46,"Cuba","CUB","CUB",140,"Nicaragua","NIC","NIC",11,"0","0","-","0","0","0"
1,"PMBmS0",1,43,2014,46,"Cuba","CUB","CUB",140,"Nicaragua","NIC","NIC",16,"0","0","-","0","0","0"
1,"PMBmS0",1,44,2015,46,"Cuba","CUB","CUB",140,"Nicaragua","NIC","NIC",15,"0","0","-","0","0","0"
1,"PMBmS0",1,45,2016,46,"Cuba","CUB","CUB",140,"Nicaragua","NIC","NIC",15,"0","0","-","0","0","0"
1,"PMBmS0",1,46,2017,46,"Cuba","CUB","CUB",140,"Nicaragua","NIC","NIC",15,"0","0","-","0","0","0"
1,"PMBmS0",1,47,2018,46,"Cuba","CUB","CUB",140,"Nicaragua","NIC","NIC",15,"0","0","-","0","0","0"
1,"PMBmS0",1,48,2019,46,"Cuba","CUB","CUB",140,"Nicaragua","NIC","NIC",15,"0","0","-","0","0","0"
1,"PMBmS0",1,49,2020,46,"Cuba","CUB","CUB",140,"Nicaragua","NIC","NIC",14,"0","0","-","0","0","0"
1,"PMBmS0",1,50,2021,46,"Cuba","CUB","CUB",140,"Nicaragua","NIC","NIC",14,"0","0","-","0","0",5
