"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","returned_refugees","idps","returned_idps","stateless","ooc","oip","hst"
1,"ZkVt3a",1,1,2013,2,"Afghanistan","AFG","AFG",141,"Nigeria","NIG","NGA",5,"0","0","0","0","0","0","-","0"
1,"ZkVt3a",1,2,2014,2,"Afghanistan","AFG","AFG",141,"Nigeria","NIG","NGA",5,"0","0","0","0","0","0","-","0"
1,"ZkVt3a",1,3,2015,2,"Afghanistan","AFG","AFG",141,"Nigeria","NIG","NGA",5,"0","0","0","0","0","0","-","0"
1,"ZkVt3a",1,4,2016,2,"Afghanistan","AFG","AFG",141,"Nigeria","NIG","NGA",5,"0","0","0","0","0","0","-","0"
1,"ZkVt3a",1,5,2017,2,"Afghanistan","AFG","AFG",141,"Nigeria","NIG","NGA",5,"0","0","0","0","0","0","-","0"
1,"ZkVt3a",1,6,2018,2,"Afghanistan","AFG","AFG",141,"Nigeria","NIG","NGA",5,"0","0","0","0","0","0","-","0"
1,"ZkVt3a",1,7,2019,2,"Afghanistan","AFG","AFG",141,"Nigeria","NIG","NGA",5,"0","0","0","0","0","0","-","0"
1,"ZkVt3a",1,8,2020,2,"Afghanistan","AFG","AFG",141,"Nigeria","NIG","NGA",5,"0","0","0","0","0","0","-","0"
1,"ZkVt3a",1,9,2021,2,"Afghanistan","AFG","AFG",141,"Nigeria","NIG","NGA",5,"0","0","0","0","0","0","-","0"
1,"ZkVt3a",1,10,2022,2,"Afghanistan","AFG","AFG",141,"Nigeria","NIG","NGA",5,"0","0","0","0","0","0","-","0"
1,"ZkVt3a",1,11,2023,2,"Afghanistan","AFG","AFG",141,"Nigeria","NIG","NGA",5,"0","0","0","0","0","0","-","0"
1,"ZkVt3a",1,12,2024,2,"Afghanistan","AFG","AFG",141,"Nigeria","NIG","NGA",5,"0","0","0","0","0","0","-","0"
1,"ZkVt3a",1,13,2025,2,"Afghanistan","AFG","AFG",141,"Nigeria","NIG","NGA",5,"0","0","0","0","0","0","-","0"
1,"ZkVt3a",1,14,1993,6,"Angola","ANG","AGO",141,"Nigeria","NIG","NGA",10,"0","0","0","0","0","0","-","0"
1,"ZkVt3a",1,15,1994,6,"Angola","ANG","AGO",141,"Nigeria","NIG","NGA",10,"0","0","0","0","0","0","-","0"
1,"ZkVt3a",1,16,1997,6,"Angola","ANG","AGO",141,"Nigeria","NIG","NGA",13,"0","0","0","0","0","0","-","0"
1,"ZkVt3a",1,17,1998,6,"Angola","ANG","AGO",141,"Nigeria","NIG","NGA",13,"0","0","0","0","0","0","-","0"
1,"ZkVt3a",1,18,1999,6,"Angola","ANG","AGO",141,"Nigeria","NIG","NGA",13,"0","0","0","0","0","0","-","0"
1,"ZkVt3a",1,19,2000,6,"Angola","ANG","AGO",141,"Nigeria","NIG","NGA",14,"0","0","0","0","0","0","-","0"
1,"ZkVt3a",1,20,2001,6,"Angola","ANG","AGO",141,"Nigeria","NIG","NGA",14,"0","0","0","0","0","0","-","0"
1,"ZkVt3a",1,21,2002,6,"Angola","ANG","AGO",141,"Nigeria","NIG","NGA",14,"0","0","0","0","0","0","-","0"
1,"ZkVt3a",1,22,2003,6,"Angola","ANG","AGO",141,"Nigeria","NIG","NGA",13,5,"0","0","0","0","0","-","0"
1,"ZkVt3a",1,23,2004,6,"Angola","ANG","AGO",141,"Nigeria","NIG","NGA",13,5,"0","0","0","0","0","-","0"
1,"ZkVt3a",1,24,2005,6,"Angola","ANG","AGO",141,"Nigeria","NIG","NGA",8,"0","0","0","0","0","0","-","0"
1,"ZkVt3a",1,25,2006,6,"Angola","ANG","AGO",141,"Nigeria","NIG","NGA",8,"0","0","0","0","0","0","-","0"
1,"ZkVt3a",1,26,2007,6,"Angola","ANG","AGO",141,"Nigeria","NIG","NGA",8,"0","0","0","0","0","0","-","0"
1,"ZkVt3a",1,27,2008,6,"Angola","ANG","AGO",141,"Nigeria","NIG","NGA",8,"0","0","0","0","0","0","-","0"
1,"ZkVt3a",1,28,2009,6,"Angola","ANG","AGO",141,"Nigeria","NIG","NGA",8,"0","0","0","0","0","0","-","0"
1,"ZkVt3a",1,29,2010,6,"Angola","ANG","AGO",141,"Nigeria","NIG","NGA",7,"0","0","0","0","0","0","-","0"
1,"ZkVt3a",1,30,2011,6,"Angola","ANG","AGO",141,"Nigeria","NIG","NGA",7,"0","0","0","0","0","0","-","0"
1,"ZkVt3a",1,31,2012,6,"Angola","ANG","AGO",141,"Nigeria","NIG","NGA",7,"0","0","0","0","0","0","-","0"
1,"ZkVt3a",1,32,2011,8,"Egypt","ARE","EGY",141,"Nigeria","NIG","NGA","0",5,"0","0","0","0","0","-","0"
1,"ZkVt3a",1,33,2012,8,"Egypt","ARE","EGY",141,"Nigeria","NIG","NGA",5,"0","0","0","0","0","0","-","0"
1,"ZkVt3a",1,34,2020,8,"Egypt","ARE","EGY",141,"Nigeria","NIG","NGA","0",5,"0","0","0","0","0","-","0"
1,"ZkVt3a",1,35,2021,8,"Egypt","ARE","EGY",141,"Nigeria","NIG","NGA","0",8,"0","0","0","0","0","-","0"
1,"ZkVt3a",1,36,2022,8,"Egypt","ARE","EGY",141,"Nigeria","NIG","NGA","0",9,"0","0","0","0","0","-","0"
1,"ZkVt3a",1,37,2023,8,"Egypt","ARE","EGY",141,"Nigeria","NIG","NGA","0",5,"0","0","0","0","0","-","0"
1,"ZkVt3a",1,38,2024,8,"Egypt","ARE","EGY",141,"Nigeria","NIG","NGA","0",6,"0","0","0","0","0","-","0"
1,"ZkVt3a",1,39,2025,8,"Egypt","ARE","EGY",141,"Nigeria","NIG","NGA","0",5,"0","0","0","0","0","-","0"
1,"ZkVt3a",1,40,2005,16,"Burundi","BDI","BDI",141,"Nigeria","NIG","NGA",6,"0","0","0","0","0","0","-","0"
1,"ZkVt3a",1,41,2006,16,"Burundi","BDI","BDI",141,"Nigeria","NIG","NGA",6,"0","0","0","0","0","0","-","0"
1,"ZkVt3a",1,42,2007,16,"Burundi","BDI","BDI",141,"Nigeria","NIG","NGA",6,"0","0","0","0","0","0","-","0"
1,"ZkVt3a",1,43,2008,16,"Burundi","BDI","BDI",141,"Nigeria","NIG","NGA",6,"0","0","0","0","0","0","-","0"
1,"ZkVt3a",1,44,2009,16,"Burundi","BDI","BDI",141,"Nigeria","NIG","NGA",6,"0","0","0","0","0","0","-","0"
1,"ZkVt3a",1,45,2010,16,"Burundi","BDI","BDI",141,"Nigeria","NIG","NGA",6,"0","0","0","0","0","0","-","0"
1,"ZkVt3a",1,46,2011,16,"Burundi","BDI","BDI",141,"Nigeria","NIG","NGA",6,"0","0","0","0","0","0","-","0"
