"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","returned_refugees","idps","returned_idps","stateless","ooc","oip","hst"
1,"Hatg9h",1,1,2012,2,"Afghanistan","AFG","AFG",144,"Nauru","NRU","NRU","0",66,"0","0","0","0","0","-","0"
1,"Hatg9h",1,2,2013,2,"Afghanistan","AFG","AFG",144,"Nauru","NRU","NRU","0",72,"0","0","0","0","0","-","0"
1,"Hatg9h",1,3,2014,2,"Afghanistan","AFG","AFG",144,"Nauru","NRU","NRU",29,52,"0","0","0","0","0","-","0"
1,"Hatg9h",1,4,2015,2,"Afghanistan","AFG","AFG",144,"Nauru","NRU","NRU",41,7,"0","0","0","0","0","-","0"
1,"Hatg9h",1,5,2016,2,"Afghanistan","AFG","AFG",144,"Nauru","NRU","NRU",41,7,"0","0","0","0","0","-","0"
1,"Hatg9h",1,6,2017,2,"Afghanistan","AFG","AFG",144,"Nauru","NRU","NRU",81,"0","0","0","0","0","0","-","0"
1,"Hatg9h",1,7,2018,2,"Afghanistan","AFG","AFG",144,"Nauru","NRU","NRU",81,5,"0","0","0","0","0","-","0"
1,"Hatg9h",1,8,2019,2,"Afghanistan","AFG","AFG",144,"Nauru","NRU","NRU",25,5,"0","0","0","0","0","-","0"
1,"Hatg9h",1,9,2020,2,"Afghanistan","AFG","AFG",144,"Nauru","NRU","NRU",29,"0","0","0","0","0","0","-","0"
1,"Hatg9h",1,10,2021,2,"Afghanistan","AFG","AFG",144,"Nauru","NRU","NRU",28,"0","0","0","0","0","0","-","0"
1,"Hatg9h",1,11,2022,2,"Afghanistan","AFG","AFG",144,"Nauru","NRU","NRU",5,"0","0","0","0","0","0","-","0"
1,"Hatg9h",1,12,2014,20,"Bangladesh","BGD","BGD",144,"Nauru","NRU","NRU","0",35,"0","0","0","0","0","-","0"
1,"Hatg9h",1,13,2015,20,"Bangladesh","BGD","BGD",144,"Nauru","NRU","NRU",5,5,"0","0","0","0","0","-","0"
1,"Hatg9h",1,14,2016,20,"Bangladesh","BGD","BGD",144,"Nauru","NRU","NRU",5,5,"0","0","0","0","0","-","0"
1,"Hatg9h",1,15,2017,20,"Bangladesh","BGD","BGD",144,"Nauru","NRU","NRU",9,33,"0","0","0","0","0","-","0"
1,"Hatg9h",1,16,2018,20,"Bangladesh","BGD","BGD",144,"Nauru","NRU","NRU",9,33,"0","0","0","0","0","-","0"
1,"Hatg9h",1,17,2019,20,"Bangladesh","BGD","BGD",144,"Nauru","NRU","NRU",14,27,"0","0","0","0","0","-","0"
1,"Hatg9h",1,18,2020,20,"Bangladesh","BGD","BGD",144,"Nauru","NRU","NRU",19,20,"0","0","0","0","0","-","0"
1,"Hatg9h",1,19,2021,20,"Bangladesh","BGD","BGD",144,"Nauru","NRU","NRU",17,19,"0","0","0","0","0","-","0"
1,"Hatg9h",1,20,2022,20,"Bangladesh","BGD","BGD",144,"Nauru","NRU","NRU",5,9,"0","0","0","0","0","-","0"
1,"Hatg9h",1,21,2023,20,"Bangladesh","BGD","BGD",144,"Nauru","NRU","NRU","0",8,"0","0","0","0","0","-","0"
1,"Hatg9h",1,22,2024,20,"Bangladesh","BGD","BGD",144,"Nauru","NRU","NRU","0",72,"0","0","0","0","0","-","0"
1,"Hatg9h",1,23,2025,20,"Bangladesh","BGD","BGD",144,"Nauru","NRU","NRU","0",70,"0","0","0","0","0","-","0"
1,"Hatg9h",1,24,2024,37,"China","CHI","CHN",144,"Nauru","NRU","NRU","0",7,"0","0","0","0","0","-","0"
1,"Hatg9h",1,25,2025,37,"China","CHI","CHN",144,"Nauru","NRU","NRU","0",10,"0","0","0","0","0","-","0"
1,"Hatg9h",1,26,2013,69,"Palestinian","GAZ","PSE",144,"Nauru","NRU","NRU","0",25,"0","0","0","0","0","-","0"
1,"Hatg9h",1,27,2014,88,"India","IND","IND",144,"Nauru","NRU","NRU","0",21,"0","0","0","0","0","-","0"
1,"Hatg9h",1,28,2015,88,"India","IND","IND",144,"Nauru","NRU","NRU","0",5,"0","0","0","0","0","-","0"
1,"Hatg9h",1,29,2016,88,"India","IND","IND",144,"Nauru","NRU","NRU","0",5,"0","0","0","0","0","-","0"
1,"Hatg9h",1,30,2017,88,"India","IND","IND",144,"Nauru","NRU","NRU",11,8,"0","0","0","0","0","-","0"
1,"Hatg9h",1,31,2018,88,"India","IND","IND",144,"Nauru","NRU","NRU",11,11,"0","0","0","0","0","-","0"
1,"Hatg9h",1,32,2019,88,"India","IND","IND",144,"Nauru","NRU","NRU","0",11,"0","0","0","0","0","-","0"
1,"Hatg9h",1,33,2020,88,"India","IND","IND",144,"Nauru","NRU","NRU",9,5,"0","0","0","0","0","-","0"
1,"Hatg9h",1,34,2021,88,"India","IND","IND",144,"Nauru","NRU","NRU",7,5,"0","0","0","0","0","-","0"
1,"Hatg9h",1,35,2024,88,"India","IND","IND",144,"Nauru","NRU","NRU","0",5,"0","0","0","0","0","-","0"
1,"Hatg9h",1,36,2025,88,"India","IND","IND",144,"Nauru","NRU","NRU","0",5,"0","0","0","0","0","-","0"
1,"Hatg9h",1,37,2014,89,"Indonesia","INS","IDN",144,"Nauru","NRU","NRU","0",5,"0","0","0","0","0","-","0"
1,"Hatg9h",1,38,2015,89,"Indonesia","INS","IDN",144,"Nauru","NRU","NRU",5,"0","0","0","0","0","0","-","0"
1,"Hatg9h",1,39,2016,89,"Indonesia","INS","IDN",144,"Nauru","NRU","NRU",5,"0","0","0","0","0","0","-","0"
1,"Hatg9h",1,40,2017,89,"Indonesia","INS","IDN",144,"Nauru","NRU","NRU",5,"0","0","0","0","0","0","-","0"
1,"Hatg9h",1,41,2018,89,"Indonesia","INS","IDN",144,"Nauru","NRU","NRU",5,5,"0","0","0","0","0","-","0"
1,"Hatg9h",1,42,2019,89,"Indonesia","INS","IDN",144,"Nauru","NRU","NRU","0",5,"0","0","0","0","0","-","0"
1,"Hatg9h",1,43,2020,89,"Indonesia","INS","IDN",144,"Nauru","NRU","NRU",5,5,"0","0","0","0","0","-","0"
1,"Hatg9h",1,44,2021,89,"Indonesia","INS","IDN",144,"Nauru","NRU","NRU",5,5,"0","0","0","0","0","-","0"
1,"Hatg9h",1,45,2012,91,"Iran (Islamic Rep. of)","IRN","IRN",144,"Nauru","NRU","NRU","0",31,"0","0","0","0","0","-","0"
1,"Hatg9h",1,46,2013,91,"Iran (Islamic Rep. of)","IRN","IRN",144,"Nauru","NRU","NRU","0",55,"0","0","0","0","0","-","0"
1,"Hatg9h",1,47,2014,91,"Iran (Islamic Rep. of)","IRN","IRN",144,"Nauru","NRU","NRU",168,196,"0","0","0","0","0","-","0"
1,"Hatg9h",1,48,2015,91,"Iran (Islamic Rep. of)","IRN","IRN",144,"Nauru","NRU","NRU",191,181,"0","0","0","0","0","-","0"
1,"Hatg9h",1,49,2016,91,"Iran (Islamic Rep. of)","IRN","IRN",144,"Nauru","NRU","NRU",191,181,"0","0","0","0","0","-","0"
1,"Hatg9h",1,50,2017,91,"Iran (Islamic Rep. of)","IRN","IRN",144,"Nauru","NRU","NRU",316,26,"0","0","0","0","0","-","0"
1,"Hatg9h",1,51,2018,91,"Iran (Islamic Rep. of)","IRN","IRN",144,"Nauru","NRU","NRU",316,203,"0","0","0","0","0","-","0"
1,"Hatg9h",1,52,2019,91,"Iran (Islamic Rep. of)","IRN","IRN",144,"Nauru","NRU","NRU",345,209,"0","0","0","0","0","-","0"
1,"Hatg9h",1,53,2020,91,"Iran (Islamic Rep. of)","IRN","IRN",144,"Nauru","NRU","NRU",561,6,"0","0","0","0","0","-","0"
1,"Hatg9h",1,54,2021,91,"Iran (Islamic Rep. of)","IRN","IRN",144,"Nauru","NRU","NRU",508,7,"0","0","0","0","0","-","0"
1,"Hatg9h",1,55,2022,91,"Iran (Islamic Rep. of)","IRN","IRN",144,"Nauru","NRU","NRU",8,"0","0","0","0","0","0","-","0"
1,"Hatg9h",1,56,2012,92,"Iraq","IRQ","IRQ",144,"Nauru","NRU","NRU","0",23,"0","0","0","0","0","-","0"
1,"Hatg9h",1,57,2013,92,"Iraq","IRQ","IRQ",144,"Nauru","NRU","NRU","0",38,"0","0","0","0","0","-","0"
1,"Hatg9h",1,58,2014,92,"Iraq","IRQ","IRQ",144,"Nauru","NRU","NRU",9,33,"0","0","0","0","0","-","0"
1,"Hatg9h",1,59,2015,92,"Iraq","IRQ","IRQ",144,"Nauru","NRU","NRU",19,13,"0","0","0","0","0","-","0"
1,"Hatg9h",1,60,2016,92,"Iraq","IRQ","IRQ",144,"Nauru","NRU","NRU",19,13,"0","0","0","0","0","-","0"
1,"Hatg9h",1,61,2017,92,"Iraq","IRQ","IRQ",144,"Nauru","NRU","NRU",43,"0","0","0","0","0","0","-","0"
1,"Hatg9h",1,62,2018,92,"Iraq","IRQ","IRQ",144,"Nauru","NRU","NRU",43,13,"0","0","0","0","0","-","0"
1,"Hatg9h",1,63,2019,92,"Iraq","IRQ","IRQ",144,"Nauru","NRU","NRU",39,13,"0","0","0","0","0","-","0"
1,"Hatg9h",1,64,2020,92,"Iraq","IRQ","IRQ",144,"Nauru","NRU","NRU",48,"0","0","0","0","0","0","-","0"
1,"Hatg9h",1,65,2021,92,"Iraq","IRQ","IRQ",144,"Nauru","NRU","NRU",42,"0","0","0","0","0","0","-","0"
1,"Hatg9h",1,66,2017,104,"Kuwait","KUW","KWT",144,"Nauru","NRU","NRU",5,"0","0","0","0","0","0","-","0"
1,"Hatg9h",1,67,2018,104,"Kuwait","KUW","KWT",144,"Nauru","NRU","NRU",5,"0","0","0","0","0","0","-","0"
1,"Hatg9h",1,68,2019,104,"Kuwait","KUW","KWT",144,"Nauru","NRU","NRU",5,"0","0","0","0","0","0","-","0"
1,"Hatg9h",1,69,2020,104,"Kuwait","KUW","KWT",144,"Nauru","NRU","NRU",5,"0","0","0","0","0","0","-","0"
1,"Hatg9h",1,70,2021,104,"Kuwait","KUW","KWT",144,"Nauru","NRU","NRU",5,"0","0","0","0","0","0","-","0"
1,"Hatg9h",1,71,2013,109,"Lebanon","LEB","LBN",144,"Nauru","NRU","NRU","0",15,"0","0","0","0","0","-","0"
1,"Hatg9h",1,72,2014,109,"Lebanon","LEB","LBN",144,"Nauru","NRU","NRU",10,5,"0","0","0","0","0","-","0"
1,"Hatg9h",1,73,2015,109,"Lebanon","LEB","LBN",144,"Nauru","NRU","NRU",10,5,"0","0","0","0","0","-","0"
1,"Hatg9h",1,74,2016,109,"Lebanon","LEB","LBN",144,"Nauru","NRU","NRU",10,5,"0","0","0","0","0","-","0"
1,"Hatg9h",1,75,2017,109,"Lebanon","LEB","LBN",144,"Nauru","NRU","NRU",14,"0","0","0","0","0","0","-","0"
1,"Hatg9h",1,76,2018,109,"Lebanon","LEB","LBN",144,"Nauru","NRU","NRU",14,"0","0","0","0","0","0","-","0"
1,"Hatg9h",1,77,2019,109,"Lebanon","LEB","LBN",144,"Nauru","NRU","NRU",14,"0","0","0","0","0","0","-","0"
1,"Hatg9h",1,78,2020,109,"Lebanon","LEB","LBN",144,"Nauru","NRU","NRU",14,"0","0","0","0","0","0","-","0"
1,"Hatg9h",1,79,2021,109,"Lebanon","LEB","LBN",144,"Nauru","NRU","NRU",12,"0","0","0","0","0","0","-","0"
1,"Hatg9h",1,80,2012,112,"Sri Lanka","LKA","LKA",144,"Nauru","NRU","NRU","0",216,"0","0","0","0","0","-","0"
1,"Hatg9h",1,81,2013,112,"Sri Lanka","LKA","LKA",144,"Nauru","NRU","NRU","0",219,"0","0","0","0","0","-","0"
1,"Hatg9h",1,82,2014,112,"Sri Lanka","LKA","LKA",144,"Nauru","NRU","NRU","0",121,"0","0","0","0","0","-","0"
1,"Hatg9h",1,83,2015,112,"Sri Lanka","LKA","LKA",144,"Nauru","NRU","NRU",5,34,"0","0","0","0","0","-","0"
1,"Hatg9h",1,84,2016,112,"Sri Lanka","LKA","LKA",144,"Nauru","NRU","NRU",5,34,"0","0","0","0","0","-","0"
1,"Hatg9h",1,85,2017,112,"Sri Lanka","LKA","LKA",144,"Nauru","NRU","NRU",101,28,"0","0","0","0","0","-","0"
1,"Hatg9h",1,86,2018,112,"Sri Lanka","LKA","LKA",144,"Nauru","NRU","NRU",101,55,"0","0","0","0","0","-","0"
1,"Hatg9h",1,87,2019,112,"Sri Lanka","LKA","LKA",144,"Nauru","NRU","NRU",73,51,"0","0","0","0","0","-","0"
1,"Hatg9h",1,88,2020,112,"Sri Lanka","LKA","LKA",144,"Nauru","NRU","NRU",102,18,"0","0","0","0","0","-","0"
1,"Hatg9h",1,89,2021,112,"Sri Lanka","LKA","LKA",144,"Nauru","NRU","NRU",77,12,"0","0","0","0",6,"-","0"
1,"Hatg9h",1,90,2022,112,"Sri Lanka","LKA","LKA",144,"Nauru","NRU","NRU",11,"0","0","0","0","0","0","-","0"
1,"Hatg9h",1,91,2015,127,"Malaysia","MLS","MYS",144,"Nauru","NRU","NRU","0",5,"0","0","0","0","0","-","0"
1,"Hatg9h",1,92,2016,127,"Malaysia","MLS","MYS",144,"Nauru","NRU","NRU","0",5,"0","0","0","0","0","-","0"
1,"Hatg9h",1,93,2017,127,"Malaysia","MLS","MYS",144,"Nauru","NRU","NRU",5,"0","0","0","0","0","0","-","0"
1,"Hatg9h",1,94,2018,127,"Malaysia","MLS","MYS",144,"Nauru","NRU","NRU",5,5,"0","0","0","0","0","-","0"
1,"Hatg9h",1,95,2019,127,"Malaysia","MLS","MYS",144,"Nauru","NRU","NRU","0",5,"0","0","0","0","0","-","0"
1,"Hatg9h",1,96,2020,127,"Malaysia","MLS","MYS",144,"Nauru","NRU","NRU",5,"0","0","0","0","0","0","-","0"
1,"Hatg9h",1,97,2021,127,"Malaysia","MLS","MYS",144,"Nauru","NRU","NRU",5,"0","0","0","0","0","0","-","0"
1,"Hatg9h",1,98,2014,135,"Myanmar","MYA","MMR",144,"Nauru","NRU","NRU",5,19,"0","0","0","0","0","-","0"
1,"Hatg9h",1,99,2015,135,"Myanmar","MYA","MMR",144,"Nauru","NRU","NRU",5,5,"0","0","0","0","0","-","0"
1,"Hatg9h",1,100,2016,135,"Myanmar","MYA","MMR",144,"Nauru","NRU","NRU",5,5,"0","0","0","0","0","-","0"
1,"Hatg9h",1,101,2017,135,"Myanmar","MYA","MMR",144,"Nauru","NRU","NRU",115,"0","0","0","0","0","0","-","0"
1,"Hatg9h",1,102,2018,135,"Myanmar","MYA","MMR",144,"Nauru","NRU","NRU",115,13,"0","0","0","0","0","-","0"
1,"Hatg9h",1,103,2019,135,"Myanmar","MYA","MMR",144,"Nauru","NRU","NRU",66,13,"0","0","0","0","0","-","0"
1,"Hatg9h",1,104,2020,135,"Myanmar","MYA","MMR",144,"Nauru","NRU","NRU",74,"0","0","0","0","0","0","-","0"
1,"Hatg9h",1,105,2021,135,"Myanmar","MYA","MMR",144,"Nauru","NRU","NRU",71,"0","0","0","0","0","0","-","0"
1,"Hatg9h",1,106,2022,135,"Myanmar","MYA","MMR",144,"Nauru","NRU","NRU",5,"0","0","0","0","0","0","-","0"
1,"Hatg9h",1,107,2014,137,"Nepal","NEP","NPL",144,"Nauru","NRU","NRU","0",11,"0","0","0","0","0","-","0"
1,"Hatg9h",1,108,2015,137,"Nepal","NEP","NPL",144,"Nauru","NRU","NRU",5,5,"0","0","0","0","0","-","0"
1,"Hatg9h",1,109,2016,137,"Nepal","NEP","NPL",144,"Nauru","NRU","NRU",5,5,"0","0","0","0","0","-","0"
1,"Hatg9h",1,110,2017,137,"Nepal","NEP","NPL",144,"Nauru","NRU","NRU",5,9,"0","0","0","0","0","-","0"
1,"Hatg9h",1,111,2018,137,"Nepal","NEP","NPL",144,"Nauru","NRU","NRU",5,14,"0","0","0","0","0","-","0"
1,"Hatg9h",1,112,2019,137,"Nepal","NEP","NPL",144,"Nauru","NRU","NRU","0",15,"0","0","0","0","0","-","0"
1,"Hatg9h",1,113,2020,137,"Nepal","NEP","NPL",144,"Nauru","NRU","NRU",11,6,"0","0","0","0","0","-","0"
1,"Hatg9h",1,114,2021,137,"Nepal","NEP","NPL",144,"Nauru","NRU","NRU",10,6,"0","0","0","0","0","-","0"
1,"Hatg9h",1,115,2022,137,"Nepal","NEP","NPL",144,"Nauru","NRU","NRU","0",5,"0","0","0","0","0","-","0"
1,"Hatg9h",1,116,2012,147,"Pakistan","PAK","PAK",144,"Nauru","NRU","NRU","0",43,"0","0","0","0","0","-","0"
1,"Hatg9h",1,117,2013,147,"Pakistan","PAK","PAK",144,"Nauru","NRU","NRU","0",59,"0","0","0","0","0","-","0"
1,"Hatg9h",1,118,2014,147,"Pakistan","PAK","PAK",144,"Nauru","NRU","NRU",62,64,"0","0","0","0","0","-","0"
1,"Hatg9h",1,119,2015,147,"Pakistan","PAK","PAK",144,"Nauru","NRU","NRU",71,6,"0","0","0","0","0","-","0"
1,"Hatg9h",1,120,2016,147,"Pakistan","PAK","PAK",144,"Nauru","NRU","NRU",71,6,"0","0","0","0","0","-","0"
1,"Hatg9h",1,121,2017,147,"Pakistan","PAK","PAK",144,"Nauru","NRU","NRU",120,22,"0","0","0","0","0","-","0"
1,"Hatg9h",1,122,2018,147,"Pakistan","PAK","PAK",144,"Nauru","NRU","NRU",120,26,"0","0","0","0","0","-","0"
1,"Hatg9h",1,123,2019,147,"Pakistan","PAK","PAK",144,"Nauru","NRU","NRU",42,26,"0","0","0","0","0","-","0"
1,"Hatg9h",1,124,2020,147,"Pakistan","PAK","PAK",144,"Nauru","NRU","NRU",36,20,"0","0","0","0","0","-","0"
1,"Hatg9h",1,125,2021,147,"Pakistan","PAK","PAK",144,"Nauru","NRU","NRU",29,17,"0","0","0","0","0","-","0"
1,"Hatg9h",1,126,2022,147,"Pakistan","PAK","PAK",144,"Nauru","NRU","NRU",6,8,"0","0","0","0","0","-","0"
1,"Hatg9h",1,127,2023,147,"Pakistan","PAK","PAK",144,"Nauru","NRU","NRU","0",5,"0","0","0","0","0","-","0"
1,"Hatg9h",1,128,2024,147,"Pakistan","PAK","PAK",144,"Nauru","NRU","NRU",5,6,"0","0","0","0","0","-","0"
1,"Hatg9h",1,129,2025,147,"Pakistan","PAK","PAK",144,"Nauru","NRU","NRU",5,6,"0","0","0","0","0","-","0"
1,"Hatg9h",1,130,2014,172,"Somalia","SOM","SOM",144,"Nauru","NRU","NRU",43,26,"0","0","0","0","0","-","0"
1,"Hatg9h",1,131,2015,172,"Somalia","SOM","SOM",144,"Nauru","NRU","NRU",60,5,"0","0","0","0","0","-","0"
1,"Hatg9h",1,132,2016,172,"Somalia","SOM","SOM",144,"Nauru","NRU","NRU",60,5,"0","0","0","0","0","-","0"
1,"Hatg9h",1,133,2017,172,"Somalia","SOM","SOM",144,"Nauru","NRU","NRU",56,"0","0","0","0","0","0","-","0"
1,"Hatg9h",1,134,2018,172,"Somalia","SOM","SOM",144,"Nauru","NRU","NRU",56,9,"0","0","0","0","0","-","0"
1,"Hatg9h",1,135,2019,172,"Somalia","SOM","SOM",144,"Nauru","NRU","NRU",78,10,"0","0","0","0","0","-","0"
1,"Hatg9h",1,136,2020,172,"Somalia","SOM","SOM",144,"Nauru","NRU","NRU",82,5,"0","0","0","0","0","-","0"
1,"Hatg9h",1,137,2021,172,"Somalia","SOM","SOM",144,"Nauru","NRU","NRU",73,"0","0","0","0","0","0","-","0"
1,"Hatg9h",1,138,2022,172,"Somalia","SOM","SOM",144,"Nauru","NRU","NRU",5,"0","0","0","0","0","0","-","0"
1,"Hatg9h",1,139,2013,174,"Viet Nam","SRV","VNM",144,"Nauru","NRU","NRU","0",19,"0","0","0","0","0","-","0"
1,"Hatg9h",1,140,2013,177,"Sudan","SUD","SDN",144,"Nauru","NRU","NRU","0",31,"0","0","0","0","0","-","0"
1,"Hatg9h",1,141,2014,177,"Sudan","SUD","SDN",144,"Nauru","NRU","NRU",11,"0","0","0","0","0","0","-","0"
1,"Hatg9h",1,142,2015,177,"Sudan","SUD","SDN",144,"Nauru","NRU","NRU",13,"0","0","0","0","0","0","-","0"
1,"Hatg9h",1,143,2016,177,"Sudan","SUD","SDN",144,"Nauru","NRU","NRU",13,"0","0","0","0","0","0","-","0"
1,"Hatg9h",1,144,2017,177,"Sudan","SUD","SDN",144,"Nauru","NRU","NRU",13,"0","0","0","0","0","0","-","0"
1,"Hatg9h",1,145,2018,177,"Sudan","SUD","SDN",144,"Nauru","NRU","NRU",13,"0","0","0","0","0","0","-","0"
1,"Hatg9h",1,146,2019,177,"Sudan","SUD","SDN",144,"Nauru","NRU","NRU",11,"0","0","0","0","0","0","-","0"
1,"Hatg9h",1,147,2020,177,"Sudan","SUD","SDN",144,"Nauru","NRU","NRU",8,"0","0","0","0","0","0","-","0"
1,"Hatg9h",1,148,2021,177,"Sudan","SUD","SDN",144,"Nauru","NRU","NRU",5,"0","0","0","0","0","0","-","0"
1,"Hatg9h",1,149,2014,185,"Syrian Arab Rep.","SYR","SYR",144,"Nauru","NRU","NRU","0",5,"0","0","0","0","0","-","0"
1,"Hatg9h",1,150,2015,185,"Syrian Arab Rep.","SYR","SYR",144,"Nauru","NRU","NRU","0",5,"0","0","0","0","0","-","0"
1,"Hatg9h",1,151,2016,185,"Syrian Arab Rep.","SYR","SYR",144,"Nauru","NRU","NRU","0",5,"0","0","0","0","0","-","0"
