"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","returned_refugees","idps","returned_idps","stateless","ooc","oip","hst"
1,"8odZnW",1,1,2001,2,"Afghanistan","AFG","AFG",146,"Oman","OMN","OMN","0",16,"0","0","0","0","0","-","0"
1,"8odZnW",1,2,2002,2,"Afghanistan","AFG","AFG",146,"Oman","OMN","OMN","0",16,"0","0","0","0","0","-","0"
1,"8odZnW",1,3,2003,2,"Afghanistan","AFG","AFG",146,"Oman","OMN","OMN","0",16,"0","0","0","0","0","-","0"
1,"8odZnW",1,4,2004,2,"Afghanistan","AFG","AFG",146,"Oman","OMN","OMN","0",16,"0","0","0","0","0","-","0"
1,"8odZnW",1,5,2023,2,"Afghanistan","AFG","AFG",146,"Oman","OMN","OMN",5,"0","0","0","0","0","0","-","0"
1,"8odZnW",1,6,2020,91,"Iran (Islamic Rep. of)","IRN","IRN",146,"Oman","OMN","OMN","0",5,"0","0","0","0","0","-","0"
1,"8odZnW",1,7,2021,91,"Iran (Islamic Rep. of)","IRN","IRN",146,"Oman","OMN","OMN","0",5,"0","0","0","0","0","-","0"
1,"8odZnW",1,8,2002,92,"Iraq","IRQ","IRQ",146,"Oman","OMN","OMN","0",5,"0","0","0","0","0","-","0"
1,"8odZnW",1,9,2004,92,"Iraq","IRQ","IRQ",146,"Oman","OMN","OMN",7,"0","0","0","0","0","0","-","0"
1,"8odZnW",1,10,2007,92,"Iraq","IRQ","IRQ",146,"Oman","OMN","OMN","0",35,"0","0","0","0","0","-","0"
1,"8odZnW",1,11,2008,92,"Iraq","IRQ","IRQ",146,"Oman","OMN","OMN","0",38,"0","0","0","0","0","-","0"
1,"8odZnW",1,12,2009,92,"Iraq","IRQ","IRQ",146,"Oman","OMN","OMN",19,12,"0","0","0","0","0","-","0"
1,"8odZnW",1,13,2010,92,"Iraq","IRQ","IRQ",146,"Oman","OMN","OMN",71,13,"0","0","0","0","0","-","0"
1,"8odZnW",1,14,2011,92,"Iraq","IRQ","IRQ",146,"Oman","OMN","OMN",76,35,220,"0","0","0","0","-","0"
1,"8odZnW",1,15,2012,92,"Iraq","IRQ","IRQ",146,"Oman","OMN","OMN",131,11,255,"0","0","0","0","-","0"
1,"8odZnW",1,16,2013,92,"Iraq","IRQ","IRQ",146,"Oman","OMN","OMN",131,70,250,"0","0","0","0","-","0"
1,"8odZnW",1,17,2014,92,"Iraq","IRQ","IRQ",146,"Oman","OMN","OMN",143,221,32,"0","0","0","0","-","0"
1,"8odZnW",1,18,2015,92,"Iraq","IRQ","IRQ",146,"Oman","OMN","OMN",237,180,22,"0","0","0","0","-","0"
1,"8odZnW",1,19,2016,92,"Iraq","IRQ","IRQ",146,"Oman","OMN","OMN",309,354,"0","0","0","0","0","-","0"
1,"8odZnW",1,20,2017,92,"Iraq","IRQ","IRQ",146,"Oman","OMN","OMN",301,387,"0","0","0","0","0","-","0"
1,"8odZnW",1,21,2018,92,"Iraq","IRQ","IRQ",146,"Oman","OMN","OMN",298,254,"0","0","0","0","0","-","0"
