"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","returned_refugees","idps","returned_idps","stateless","ooc","oip","hst"
1,"K0pT7v",1,1,2009,2,"Afghanistan","AFG","AFG",148,"Panama","PAN","PAN","0",5,"0","0","0","0","0","-","-"
1,"K0pT7v",1,2,2010,2,"Afghanistan","AFG","AFG",148,"Panama","PAN","PAN","0",5,"0","0","0","0","0","-","-"
1,"K0pT7v",1,3,2011,2,"Afghanistan","AFG","AFG",148,"Panama","PAN","PAN","0",5,"0","0","0","0","0","-","-"
1,"K0pT7v",1,4,2013,2,"Afghanistan","AFG","AFG",148,"Panama","PAN","PAN","0",9,"0","0","0","0","0","-","-"
1,"K0pT7v",1,5,2014,2,"Afghanistan","AFG","AFG",148,"Panama","PAN","PAN","0",8,"0","0","0","0","0","-","-"
1,"K0pT7v",1,6,2015,2,"Afghanistan","AFG","AFG",148,"Panama","PAN","PAN","0",8,"0","0","0","0","0","-","-"
1,"K0pT7v",1,7,2016,2,"Afghanistan","AFG","AFG",148,"Panama","PAN","PAN","0",8,"0","0","0","0","0","-","-"
1,"K0pT7v",1,8,2017,2,"Afghanistan","AFG","AFG",148,"Panama","PAN","PAN",5,6,"0","0","0","0","0","-","-"
1,"K0pT7v",1,9,2018,2,"Afghanistan","AFG","AFG",148,"Panama","PAN","PAN",5,6,"0","0","0","0","0","-","-"
1,"K0pT7v",1,10,2019,2,"Afghanistan","AFG","AFG",148,"Panama","PAN","PAN",5,6,"0","0","0","0","0","-","-"
1,"K0pT7v",1,11,2020,2,"Afghanistan","AFG","AFG",148,"Panama","PAN","PAN",5,6,"0","0","0","0","0","-","-"
1,"K0pT7v",1,12,2021,2,"Afghanistan","AFG","AFG",148,"Panama","PAN","PAN",5,6,"0","0","0","0","0","-","-"
1,"K0pT7v",1,13,2022,2,"Afghanistan","AFG","AFG",148,"Panama","PAN","PAN",5,6,"0","0","0","0","0","-","0"
1,"K0pT7v",1,14,2023,2,"Afghanistan","AFG","AFG",148,"Panama","PAN","PAN",5,6,"0","0","0","0","0","-","0"
1,"K0pT7v",1,15,2000,3,"Albania","ALB","ALB",148,"Panama","PAN","PAN","0",5,"0","0","0","0","0","-","-"
1,"K0pT7v",1,16,2001,3,"Albania","ALB","ALB",148,"Panama","PAN","PAN",5,"0","0","0","0","0","0","-","-"
1,"K0pT7v",1,17,2002,3,"Albania","ALB","ALB",148,"Panama","PAN","PAN",5,"0","0","0","0","0","0","-","-"
1,"K0pT7v",1,18,2003,3,"Albania","ALB","ALB",148,"Panama","PAN","PAN",5,"0","0","0","0","0","0","-","-"
1,"K0pT7v",1,19,2017,6,"Angola","ANG","AGO",148,"Panama","PAN","PAN","0",7,"0","0","0","0","0","-","-"
1,"K0pT7v",1,20,2016,10,"Armenia","ARM","ARM",148,"Panama","PAN","PAN","0",7,"0","0","0","0","0","-","-"
1,"K0pT7v",1,21,2017,10,"Armenia","ARM","ARM",148,"Panama","PAN","PAN","0",7,"0","0","0","0","0","-","-"
1,"K0pT7v",1,22,2018,10,"Armenia","ARM","ARM",148,"Panama","PAN","PAN","0",6,"0","0","0","0","0","-","-"
1,"K0pT7v",1,23,2019,10,"Armenia","ARM","ARM",148,"Panama","PAN","PAN","0",5,"0","0","0","0","0","-","-"
1,"K0pT7v",1,24,2020,10,"Armenia","ARM","ARM",148,"Panama","PAN","PAN","0",5,"0","0","0","0","0","-","-"
1,"K0pT7v",1,25,2021,10,"Armenia","ARM","ARM",148,"Panama","PAN","PAN","0",5,"0","0","0","0","0","-","-"
1,"K0pT7v",1,26,2022,10,"Armenia","ARM","ARM",148,"Panama","PAN","PAN","0",5,"0","0","0","0","0","-","0"
1,"K0pT7v",1,27,2023,10,"Armenia","ARM","ARM",148,"Panama","PAN","PAN","0",5,"0","0","0","0","0","-","0"
1,"K0pT7v",1,28,2009,20,"Bangladesh","BGD","BGD",148,"Panama","PAN","PAN","0",28,"0","0","0","0","0","-","-"
1,"K0pT7v",1,29,2010,20,"Bangladesh","BGD","BGD",148,"Panama","PAN","PAN","0",29,"0","0","0","0","0","-","-"
1,"K0pT7v",1,30,2011,20,"Bangladesh","BGD","BGD",148,"Panama","PAN","PAN","0",20,"0","0","0","0","0","-","-"
1,"K0pT7v",1,31,2012,20,"Bangladesh","BGD","BGD",148,"Panama","PAN","PAN","0",15,"0","0","0","0","0","-","-"
1,"K0pT7v",1,32,2013,20,"Bangladesh","BGD","BGD",148,"Panama","PAN","PAN","0",20,"0","0","0","0","0","-","-"
1,"K0pT7v",1,33,2014,20,"Bangladesh","BGD","BGD",148,"Panama","PAN","PAN","0",18,"0","0","0","0","0","-","-"
1,"K0pT7v",1,34,2015,20,"Bangladesh","BGD","BGD",148,"Panama","PAN","PAN","0",18,"0","0","0","0","0","-","-"
1,"K0pT7v",1,35,2016,20,"Bangladesh","BGD","BGD",148,"Panama","PAN","PAN","0",18,"0","0","0","0","0","-","-"
1,"K0pT7v",1,36,2017,20,"Bangladesh","BGD","BGD",148,"Panama","PAN","PAN","0",18,"0","0","0","0","0","-","-"
1,"K0pT7v",1,37,2018,20,"Bangladesh","BGD","BGD",148,"Panama","PAN","PAN","0",18,"0","0","0","0","0","-","-"
1,"K0pT7v",1,38,2019,20,"Bangladesh","BGD","BGD",148,"Panama","PAN","PAN","0",18,"0","0","0","0","0","-","-"
1,"K0pT7v",1,39,2020,20,"Bangladesh","BGD","BGD",148,"Panama","PAN","PAN","0",15,"0","0","0","0","0","-","-"
1,"K0pT7v",1,40,2021,20,"Bangladesh","BGD","BGD",148,"Panama","PAN","PAN","0",15,"0","0","0","0","0","-","-"
1,"K0pT7v",1,41,2022,20,"Bangladesh","BGD","BGD",148,"Panama","PAN","PAN","0",15,"0","0","0","0","0","-","0"
1,"K0pT7v",1,42,2023,20,"Bangladesh","BGD","BGD",148,"Panama","PAN","PAN","0",15,"0","0","0","0","0","-","0"
1,"K0pT7v",1,43,2008,24,"Belarus","BLR","BLR",148,"Panama","PAN","PAN","0",7,"0","0","0","0","0","-","-"
1,"K0pT7v",1,44,2009,24,"Belarus","BLR","BLR",148,"Panama","PAN","PAN","0",7,"0","0","0","0","0","-","-"
1,"K0pT7v",1,45,2010,24,"Belarus","BLR","BLR",148,"Panama","PAN","PAN",7,"0","0","0","0","0","0","-","-"
1,"K0pT7v",1,46,2011,24,"Belarus","BLR","BLR",148,"Panama","PAN","PAN",7,"0","0","0","0","0","0","-","-"
1,"K0pT7v",1,47,2012,24,"Belarus","BLR","BLR",148,"Panama","PAN","PAN",7,"0","0","0","0","0","0","-","-"
1,"K0pT7v",1,48,2013,24,"Belarus","BLR","BLR",148,"Panama","PAN","PAN",7,"0","0","0","0","0","0","-","-"
1,"K0pT7v",1,49,2014,24,"Belarus","BLR","BLR",148,"Panama","PAN","PAN",7,"0","0","0","0","0","0","-","-"
1,"K0pT7v",1,50,2015,24,"Belarus","BLR","BLR",148,"Panama","PAN","PAN",7,5,"0","0","0","0","0","-","-"
1,"K0pT7v",1,51,2016,24,"Belarus","BLR","BLR",148,"Panama","PAN","PAN",7,5,"0","0","0","0","0","-","-"
1,"K0pT7v",1,52,2017,24,"Belarus","BLR","BLR",148,"Panama","PAN","PAN",7,5,"0","0","0","0","0","-","-"
1,"K0pT7v",1,53,2018,24,"Belarus","BLR","BLR",148,"Panama","PAN","PAN",7,5,"0","0","0","0","0","-","-"
1,"K0pT7v",1,54,2019,24,"Belarus","BLR","BLR",148,"Panama","PAN","PAN",7,5,"0","0","0","0","0","-","-"
1,"K0pT7v",1,55,2020,24,"Belarus","BLR","BLR",148,"Panama","PAN","PAN",7,"0","0","0","0","0","0","-","-"
1,"K0pT7v",1,56,2021,24,"Belarus","BLR","BLR",148,"Panama","PAN","PAN",7,"0","0","0","0","0","0","-","-"
1,"K0pT7v",1,57,2022,24,"Belarus","BLR","BLR",148,"Panama","PAN","PAN",7,"0","0","0","0","0","0","-","0"
1,"K0pT7v",1,58,2023,24,"Belarus","BLR","BLR",148,"Panama","PAN","PAN",7,"0","0","0","0","0","0","-","0"
1,"K0pT7v",1,59,2016,27,"Brazil","BRA","BRA",148,"Panama","PAN","PAN","0",5,"0","0","0","0","0","-","-"
1,"K0pT7v",1,60,2017,27,"Brazil","BRA","BRA",148,"Panama","PAN","PAN","0",5,"0","0","0","0","0","-","-"
1,"K0pT7v",1,61,2018,27,"Brazil","BRA","BRA",148,"Panama","PAN","PAN","0",6,"0","0","0","0","0","-","-"
1,"K0pT7v",1,62,2019,27,"Brazil","BRA","BRA",148,"Panama","PAN","PAN","0",6,"0","0","0","0","0","-","-"
1,"K0pT7v",1,63,2008,29,"Bosnia and Herzegovina","BSN","BIH",148,"Panama","PAN","PAN",5,"0","0","0","0","0","0","-","-"
1,"K0pT7v",1,64,2009,29,"Bosnia and Herzegovina","BSN","BIH",148,"Panama","PAN","PAN",5,"0","0","0","0","0","0","-","-"
1,"K0pT7v",1,65,2010,29,"Bosnia and Herzegovina","BSN","BIH",148,"Panama","PAN","PAN",5,"0","0","0","0","0","0","-","-"
1,"K0pT7v",1,66,2011,29,"Bosnia and Herzegovina","BSN","BIH",148,"Panama","PAN","PAN",5,"0","0","0","0","0","0","-","-"
1,"K0pT7v",1,67,2012,29,"Bosnia and Herzegovina","BSN","BIH",148,"Panama","PAN","PAN",5,"0","0","0","0","0","0","-","-"
1,"K0pT7v",1,68,2013,29,"Bosnia and Herzegovina","BSN","BIH",148,"Panama","PAN","PAN",5,"0","0","0","0","0","0","-","-"
1,"K0pT7v",1,69,2014,29,"Bosnia and Herzegovina","BSN","BIH",148,"Panama","PAN","PAN",5,"0","0","0","0","0","0","-","-"
1,"K0pT7v",1,70,2015,29,"Bosnia and Herzegovina","BSN","BIH",148,"Panama","PAN","PAN",5,"0","0","0","0","0","0","-","-"
1,"K0pT7v",1,71,2016,29,"Bosnia and Herzegovina","BSN","BIH",148,"Panama","PAN","PAN",5,"0","0","0","0","0","0","-","-"
1,"K0pT7v",1,72,2017,29,"Bosnia and Herzegovina","BSN","BIH",148,"Panama","PAN","PAN",5,"0","0","0","0","0","0","-","-"
1,"K0pT7v",1,73,2018,29,"Bosnia and Herzegovina","BSN","BIH",148,"Panama","PAN","PAN",5,"0","0","0","0","0","0","-","-"
1,"K0pT7v",1,74,2019,29,"Bosnia and Herzegovina","BSN","BIH",148,"Panama","PAN","PAN",5,"0","0","0","0","0","0","-","-"
1,"K0pT7v",1,75,2020,29,"Bosnia and Herzegovina","BSN","BIH",148,"Panama","PAN","PAN",5,"0","0","0","0","0","0","-","-"
1,"K0pT7v",1,76,2021,29,"Bosnia and Herzegovina","BSN","BIH",148,"Panama","PAN","PAN",5,"0","0","0","0","0","0","-","-"
1,"K0pT7v",1,77,2022,29,"Bosnia and Herzegovina","BSN","BIH",148,"Panama","PAN","PAN",5,"0","0","0","0","0","0","-","0"
1,"K0pT7v",1,78,2023,29,"Bosnia and Herzegovina","BSN","BIH",148,"Panama","PAN","PAN",5,"0","0","0","0","0","0","-","0"
