"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","idps","oip","stateless","hst","ooc"
1,"S3R4qq",1,1,2022,2,"Afghanistan","AFG","AFG",149,"Paraguay","PAR","PRY","0",15,"0","-","0","0","0"
1,"S3R4qq",1,2,2023,2,"Afghanistan","AFG","AFG",149,"Paraguay","PAR","PRY",15,"0","0","-","0","0","0"
1,"S3R4qq",1,3,2024,2,"Afghanistan","AFG","AFG",149,"Paraguay","PAR","PRY",15,"0","0","-","0","0","0"
1,"S3R4qq",1,4,2025,2,"Afghanistan","AFG","AFG",149,"Paraguay","PAR","PRY",15,"0","0","-","0","0","0"
1,"S3R4qq",1,5,2019,9,"Argentina","ARG","ARG",149,"Paraguay","PAR","PRY","0",6,"0","-","0","0","0"
1,"S3R4qq",1,6,2020,9,"Argentina","ARG","ARG",149,"Paraguay","PAR","PRY","0",6,"0","-","0","0","0"
1,"S3R4qq",1,7,2021,9,"Argentina","ARG","ARG",149,"Paraguay","PAR","PRY","0",16,"0","-","0","0","0"
1,"S3R4qq",1,8,2022,9,"Argentina","ARG","ARG",149,"Paraguay","PAR","PRY","0",17,"0","-","0","0","0"
1,"S3R4qq",1,9,2023,9,"Argentina","ARG","ARG",149,"Paraguay","PAR","PRY","0",25,"0","-","0","0","0"
1,"S3R4qq",1,10,2024,9,"Argentina","ARG","ARG",149,"Paraguay","PAR","PRY","0",5,"0","-","0","0","0"
1,"S3R4qq",1,11,2025,9,"Argentina","ARG","ARG",149,"Paraguay","PAR","PRY","0",6,"0","-","0","0","0"
1,"S3R4qq",1,12,2021,20,"Bangladesh","BGD","BGD",149,"Paraguay","PAR","PRY","0",5,"0","-","0","0","0"
1,"S3R4qq",1,13,2022,20,"Bangladesh","BGD","BGD",149,"Paraguay","PAR","PRY","0",5,"0","-","0","0","0"
1,"S3R4qq",1,14,1971,25,"Bolivia (Plurinational State of)","BOL","BOL",149,"Paraguay","PAR","PRY",1300,"0","0","-","0","0","0"
1,"S3R4qq",1,15,1972,25,"Bolivia (Plurinational State of)","BOL","BOL",149,"Paraguay","PAR","PRY",200,"0","0","-","0","0","0"
1,"S3R4qq",1,16,2011,25,"Bolivia (Plurinational State of)","BOL","BOL",149,"Paraguay","PAR","PRY",6,"0","0","-","0","0","0"
1,"S3R4qq",1,17,2012,25,"Bolivia (Plurinational State of)","BOL","BOL",149,"Paraguay","PAR","PRY",13,"0","0","-","0","0","0"
1,"S3R4qq",1,18,2013,25,"Bolivia (Plurinational State of)","BOL","BOL",149,"Paraguay","PAR","PRY",13,"0","0","-","0","0","0"
1,"S3R4qq",1,19,2014,25,"Bolivia (Plurinational State of)","BOL","BOL",149,"Paraguay","PAR","PRY",17,"0","0","-","0","0","0"
1,"S3R4qq",1,20,2015,25,"Bolivia (Plurinational State of)","BOL","BOL",149,"Paraguay","PAR","PRY",17,"0","0","-","0","0","0"
1,"S3R4qq",1,21,2016,25,"Bolivia (Plurinational State of)","BOL","BOL",149,"Paraguay","PAR","PRY",17,"0","0","-","0","0","0"
1,"S3R4qq",1,22,2017,25,"Bolivia (Plurinational State of)","BOL","BOL",149,"Paraguay","PAR","PRY",17,"0","0","-","0","0","0"
