"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","returned_refugees","idps","returned_idps","stateless","ooc","oip","hst"
1,"7G4c6U",1,1,2020,2,"Afghanistan","AFG","AFG",150,"Peru","PER","PER","0",5,"0","0","0","0","0","-","-"
1,"7G4c6U",1,2,2021,2,"Afghanistan","AFG","AFG",150,"Peru","PER","PER","0",5,"0","0","0","0","0","-","-"
1,"7G4c6U",1,3,2022,2,"Afghanistan","AFG","AFG",150,"Peru","PER","PER","0",5,"0","0","0","0","0","-","0"
1,"7G4c6U",1,4,2023,2,"Afghanistan","AFG","AFG",150,"Peru","PER","PER","0",5,"0","0","0","0","0","-","0"
1,"7G4c6U",1,5,2018,6,"Angola","ANG","AGO",150,"Peru","PER","PER","0",5,"0","0","0","0","0","-","-"
1,"7G4c6U",1,6,2019,6,"Angola","ANG","AGO",150,"Peru","PER","PER","0",7,"0","0","0","0","0","-","-"
1,"7G4c6U",1,7,2020,6,"Angola","ANG","AGO",150,"Peru","PER","PER","0",10,"0","0","0","0","0","-","-"
1,"7G4c6U",1,8,2021,6,"Angola","ANG","AGO",150,"Peru","PER","PER","0",10,"0","0","0","0","0","-","-"
1,"7G4c6U",1,9,2022,6,"Angola","ANG","AGO",150,"Peru","PER","PER","0",11,"0","0","0","0","0","-","0"
1,"7G4c6U",1,10,2023,6,"Angola","ANG","AGO",150,"Peru","PER","PER","0",11,"0","0","0","0","0","-","0"
1,"7G4c6U",1,11,2023,8,"Egypt","ARE","EGY",150,"Peru","PER","PER","0",5,"0","0","0","0","0","-","0"
1,"7G4c6U",1,12,2002,9,"Argentina","ARG","ARG",150,"Peru","PER","PER","0",5,"0","0","0","0","0","-","-"
1,"7G4c6U",1,13,2013,9,"Argentina","ARG","ARG",150,"Peru","PER","PER","0",8,"0","0","0","0","0","-","-"
1,"7G4c6U",1,14,2018,9,"Argentina","ARG","ARG",150,"Peru","PER","PER","0",11,"0","0","0","0","0","-","-"
1,"7G4c6U",1,15,2019,9,"Argentina","ARG","ARG",150,"Peru","PER","PER","0",12,"0","0","0","0","0","-","-"
1,"7G4c6U",1,16,2020,9,"Argentina","ARG","ARG",150,"Peru","PER","PER","0",14,"0","0","0","0","0","-","-"
1,"7G4c6U",1,17,2021,9,"Argentina","ARG","ARG",150,"Peru","PER","PER","0",15,"0","0","0","0","0","-","-"
1,"7G4c6U",1,18,2022,9,"Argentina","ARG","ARG",150,"Peru","PER","PER","0",15,"0","0","0","0","0","-","0"
1,"7G4c6U",1,19,2023,9,"Argentina","ARG","ARG",150,"Peru","PER","PER","0",17,"0","0","0","0","0","-","0"
1,"7G4c6U",1,20,2011,20,"Bangladesh","BGD","BGD",150,"Peru","PER","PER","0",17,"0","0","0","0","0","-","-"
1,"7G4c6U",1,21,2012,20,"Bangladesh","BGD","BGD",150,"Peru","PER","PER",6,6,"0","0","0","0","0","-","-"
1,"7G4c6U",1,22,2013,20,"Bangladesh","BGD","BGD",150,"Peru","PER","PER",6,16,"0","0","0","0","0","-","-"
1,"7G4c6U",1,23,2014,20,"Bangladesh","BGD","BGD",150,"Peru","PER","PER",12,5,"0","0","0","0","0","-","-"
1,"7G4c6U",1,24,2015,20,"Bangladesh","BGD","BGD",150,"Peru","PER","PER",16,"0","0","0","0","0","0","-","-"
1,"7G4c6U",1,25,2016,20,"Bangladesh","BGD","BGD",150,"Peru","PER","PER",17,"0","0","0","0","0","0","-","-"
1,"7G4c6U",1,26,2017,20,"Bangladesh","BGD","BGD",150,"Peru","PER","PER",20,8,"0","0","0","0","0","-","-"
1,"7G4c6U",1,27,2018,20,"Bangladesh","BGD","BGD",150,"Peru","PER","PER",20,"0","0","0","0","0","0","-","-"
1,"7G4c6U",1,28,2019,20,"Bangladesh","BGD","BGD",150,"Peru","PER","PER",26,"0","0","0","0","0","0","-","-"
1,"7G4c6U",1,29,2020,20,"Bangladesh","BGD","BGD",150,"Peru","PER","PER",26,"0","0","0","0","0","0","-","-"
1,"7G4c6U",1,30,2021,20,"Bangladesh","BGD","BGD",150,"Peru","PER","PER",26,"0","0","0","0","0","0","-","-"
1,"7G4c6U",1,31,2022,20,"Bangladesh","BGD","BGD",150,"Peru","PER","PER",26,"0","0","0","0","0","0","-","0"
1,"7G4c6U",1,32,2023,20,"Bangladesh","BGD","BGD",150,"Peru","PER","PER",26,"0","0","0","0","0","0","-","0"
1,"7G4c6U",1,33,1970,25,"Bolivia (Plurinational State of)","BOL","BOL",150,"Peru","PER","PER",1400,"0","0","0","0","0","0","-","-"
1,"7G4c6U",1,34,1971,25,"Bolivia (Plurinational State of)","BOL","BOL",150,"Peru","PER","PER",1400,"0","0","0","0","0","0","-","-"
1,"7G4c6U",1,35,1972,25,"Bolivia (Plurinational State of)","BOL","BOL",150,"Peru","PER","PER",200,"0","0","0","0","0","0","-","-"
1,"7G4c6U",1,36,1980,25,"Bolivia (Plurinational State of)","BOL","BOL",150,"Peru","PER","PER",170,"0","0","0","0","0","0","-","-"
1,"7G4c6U",1,37,1982,25,"Bolivia (Plurinational State of)","BOL","BOL",150,"Peru","PER","PER","0","0",190,"0","0","0","0","-","-"
1,"7G4c6U",1,38,2007,25,"Bolivia (Plurinational State of)","BOL","BOL",150,"Peru","PER","PER",5,"0","0","0","0","0","0","-","-"
1,"7G4c6U",1,39,2010,25,"Bolivia (Plurinational State of)","BOL","BOL",150,"Peru","PER","PER","0",5,"0","0","0","0","0","-","-"
1,"7G4c6U",1,40,2011,25,"Bolivia (Plurinational State of)","BOL","BOL",150,"Peru","PER","PER",5,5,"0","0","0","0","0","-","-"
1,"7G4c6U",1,41,2012,25,"Bolivia (Plurinational State of)","BOL","BOL",150,"Peru","PER","PER",7,5,"0","0","0","0","0","-","-"
1,"7G4c6U",1,42,2013,25,"Bolivia (Plurinational State of)","BOL","BOL",150,"Peru","PER","PER",7,"0","0","0","0","0","0","-","-"
1,"7G4c6U",1,43,2014,25,"Bolivia (Plurinational State of)","BOL","BOL",150,"Peru","PER","PER",7,"0","0","0","0","0","0","-","-"
1,"7G4c6U",1,44,2015,25,"Bolivia (Plurinational State of)","BOL","BOL",150,"Peru","PER","PER",7,"0","0","0","0","0","0","-","-"
1,"7G4c6U",1,45,2016,25,"Bolivia (Plurinational State of)","BOL","BOL",150,"Peru","PER","PER",9,"0","0","0","0","0","0","-","-"
1,"7G4c6U",1,46,2017,25,"Bolivia (Plurinational State of)","BOL","BOL",150,"Peru","PER","PER",9,5,"0","0","0","0","0","-","-"
1,"7G4c6U",1,47,2018,25,"Bolivia (Plurinational State of)","BOL","BOL",150,"Peru","PER","PER",12,12,"0","0","0","0","0","-","-"
1,"7G4c6U",1,48,2019,25,"Bolivia (Plurinational State of)","BOL","BOL",150,"Peru","PER","PER",20,18,"0","0","0","0","0","-","-"
1,"7G4c6U",1,49,2020,25,"Bolivia (Plurinational State of)","BOL","BOL",150,"Peru","PER","PER",20,22,"0","0","0","0","0","-","-"
1,"7G4c6U",1,50,2021,25,"Bolivia (Plurinational State of)","BOL","BOL",150,"Peru","PER","PER",20,30,"0","0","0","0","0","-","-"
