"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","returned_refugees","idps","returned_idps","stateless","ooc","oip","hst"
1,"qWI3aL",1,1,1997,2,"Afghanistan","AFG","AFG",154,"Poland","POL","POL",36,"0","0","0","0","0","0","-","-"
1,"qWI3aL",1,2,1998,2,"Afghanistan","AFG","AFG",154,"Poland","POL","POL",47,"0","0","0","0","0","0","-","-"
1,"qWI3aL",1,3,1999,2,"Afghanistan","AFG","AFG",154,"Poland","POL","POL",51,"0","0","0","0","0","0","-","-"
1,"qWI3aL",1,4,2000,2,"Afghanistan","AFG","AFG",154,"Poland","POL","POL",51,"0","0","0","0","0","0","-","-"
1,"qWI3aL",1,5,2001,2,"Afghanistan","AFG","AFG",154,"Poland","POL","POL",64,"0","0","0","0","0","0","-","-"
1,"qWI3aL",1,6,2002,2,"Afghanistan","AFG","AFG",154,"Poland","POL","POL",65,252,"0","0","0","0","0","-","-"
1,"qWI3aL",1,7,2003,2,"Afghanistan","AFG","AFG",154,"Poland","POL","POL",70,85,"0","0","0","0","0","-","-"
1,"qWI3aL",1,8,2004,2,"Afghanistan","AFG","AFG",154,"Poland","POL","POL",90,17,"0","0","0","0","0","-","-"
1,"qWI3aL",1,9,2005,2,"Afghanistan","AFG","AFG",154,"Poland","POL","POL",87,"0","0","0","0","0","0","-","-"
1,"qWI3aL",1,10,2006,2,"Afghanistan","AFG","AFG",154,"Poland","POL","POL",79,"0","0","0","0","0","0","-","-"
1,"qWI3aL",1,11,2007,2,"Afghanistan","AFG","AFG",154,"Poland","POL","POL",76,5,"0","0","0","0","0","-","-"
1,"qWI3aL",1,12,2008,2,"Afghanistan","AFG","AFG",154,"Poland","POL","POL",68,5,"0","0","0","0","0","-","-"
1,"qWI3aL",1,13,2009,2,"Afghanistan","AFG","AFG",154,"Poland","POL","POL",67,10,"0","0","0","0","0","-","-"
1,"qWI3aL",1,14,2010,2,"Afghanistan","AFG","AFG",154,"Poland","POL","POL",76,15,"0","0","0","0","0","-","-"
1,"qWI3aL",1,15,2011,2,"Afghanistan","AFG","AFG",154,"Poland","POL","POL",68,34,"0","0","0","0","0","-","-"
