"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","idps","oip","stateless","hst","ooc"
1,"Z4QwXr",1,1,2001,2,"Afghanistan","AFG","AFG",155,"Portugal","POR","PRT",5,"0","0","-","0","0","0"
1,"Z4QwXr",1,2,2002,2,"Afghanistan","AFG","AFG",155,"Portugal","POR","PRT",5,"0","0","-","0","0","0"
1,"Z4QwXr",1,3,2003,2,"Afghanistan","AFG","AFG",155,"Portugal","POR","PRT",5,"0","0","-","0","0","0"
1,"Z4QwXr",1,4,2004,2,"Afghanistan","AFG","AFG",155,"Portugal","POR","PRT",5,"0","0","-","0","0","0"
1,"Z4QwXr",1,5,2005,2,"Afghanistan","AFG","AFG",155,"Portugal","POR","PRT",5,"0","0","-","0","0","0"
1,"Z4QwXr",1,6,2006,2,"Afghanistan","AFG","AFG",155,"Portugal","POR","PRT",5,"0","0","-","0","0","0"
1,"Z4QwXr",1,7,2007,2,"Afghanistan","AFG","AFG",155,"Portugal","POR","PRT",6,"0","0","-","0","0","0"
1,"Z4QwXr",1,8,2008,2,"Afghanistan","AFG","AFG",155,"Portugal","POR","PRT",8,"0","0","-","0","0","0"
1,"Z4QwXr",1,9,2009,2,"Afghanistan","AFG","AFG",155,"Portugal","POR","PRT",7,"0","0","-","0","0","0"
1,"Z4QwXr",1,10,2010,2,"Afghanistan","AFG","AFG",155,"Portugal","POR","PRT",6,"0","0","-","0","0","0"
1,"Z4QwXr",1,11,2011,2,"Afghanistan","AFG","AFG",155,"Portugal","POR","PRT",5,5,"0","-","0","0","0"
1,"Z4QwXr",1,12,2012,2,"Afghanistan","AFG","AFG",155,"Portugal","POR","PRT",6,5,"0","-","0","0","0"
1,"Z4QwXr",1,13,2013,2,"Afghanistan","AFG","AFG",155,"Portugal","POR","PRT",9,"0","0","-","0","0","0"
1,"Z4QwXr",1,14,2014,2,"Afghanistan","AFG","AFG",155,"Portugal","POR","PRT",10,"0","0","-","0","0","0"
1,"Z4QwXr",1,15,2015,2,"Afghanistan","AFG","AFG",155,"Portugal","POR","PRT",11,"0","0","-","0","0","0"
1,"Z4QwXr",1,16,2016,2,"Afghanistan","AFG","AFG",155,"Portugal","POR","PRT",14,11,"0","-","0","0","0"
1,"Z4QwXr",1,17,2017,2,"Afghanistan","AFG","AFG",155,"Portugal","POR","PRT",18,"0","0","-","0","0","0"
1,"Z4QwXr",1,18,2018,2,"Afghanistan","AFG","AFG",155,"Portugal","POR","PRT",16,5,"0","-","0","0","0"
1,"Z4QwXr",1,19,2019,2,"Afghanistan","AFG","AFG",155,"Portugal","POR","PRT",20,5,"0","-","0","0","0"
1,"Z4QwXr",1,20,2020,2,"Afghanistan","AFG","AFG",155,"Portugal","POR","PRT",21,30,"0","-","0","0","0"
1,"Z4QwXr",1,21,2021,2,"Afghanistan","AFG","AFG",155,"Portugal","POR","PRT",121,594,"0","-","0","0","0"
1,"Z4QwXr",1,22,2022,2,"Afghanistan","AFG","AFG",155,"Portugal","POR","PRT",679,201,"0","-","0","0","0"
1,"Z4QwXr",1,23,2023,2,"Afghanistan","AFG","AFG",155,"Portugal","POR","PRT",919,218,"0","-","0","0","0"
1,"Z4QwXr",1,24,2024,2,"Afghanistan","AFG","AFG",155,"Portugal","POR","PRT",916,386,"0","-","0","0","0"
1,"Z4QwXr",1,25,2025,2,"Afghanistan","AFG","AFG",155,"Portugal","POR","PRT",930,400,"0","-","0","0","0"
1,"Z4QwXr",1,26,2019,3,"Albania","ALB","ALB",155,"Portugal","POR","PRT","0",5,"0","-","0","0","0"
1,"Z4QwXr",1,27,2020,3,"Albania","ALB","ALB",155,"Portugal","POR","PRT","0",5,"0","-","0","0","0"
1,"Z4QwXr",1,28,2021,3,"Albania","ALB","ALB",155,"Portugal","POR","PRT","0",5,"0","-","0","0","0"
1,"Z4QwXr",1,29,2023,3,"Albania","ALB","ALB",155,"Portugal","POR","PRT",5,"0","0","-","0","0","0"
1,"Z4QwXr",1,30,2024,3,"Albania","ALB","ALB",155,"Portugal","POR","PRT",5,"0","0","-","0","0","0"
1,"Z4QwXr",1,31,2025,3,"Albania","ALB","ALB",155,"Portugal","POR","PRT",5,5,"0","-","0","0","0"
1,"Z4QwXr",1,32,2000,4,"Algeria","ALG","DZA",155,"Portugal","POR","PRT",5,"0","0","-","0","0","0"
1,"Z4QwXr",1,33,2001,4,"Algeria","ALG","DZA",155,"Portugal","POR","PRT",5,"0","0","-","0","0","0"
