"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","idps","oip","stateless","hst","ooc"
1,"EW2Va6",1,1,2001,2,"Afghanistan","AFG","AFG",157,"Qatar","QAT","QAT",40,"0","0","-","0","0","0"
1,"EW2Va6",1,2,2002,2,"Afghanistan","AFG","AFG",157,"Qatar","QAT","QAT",40,"0","0","-","0","0","0"
1,"EW2Va6",1,3,2003,2,"Afghanistan","AFG","AFG",157,"Qatar","QAT","QAT",40,"0","0","-","0","0","0"
1,"EW2Va6",1,4,2004,2,"Afghanistan","AFG","AFG",157,"Qatar","QAT","QAT",40,"0","0","-","0","0","0"
1,"EW2Va6",1,5,2005,2,"Afghanistan","AFG","AFG",157,"Qatar","QAT","QAT",40,"0","0","-","0","0","0"
1,"EW2Va6",1,6,2006,2,"Afghanistan","AFG","AFG",157,"Qatar","QAT","QAT",40,"0","0","-","0","0","0"
1,"EW2Va6",1,7,2007,2,"Afghanistan","AFG","AFG",157,"Qatar","QAT","QAT",40,"0","0","-","0","0","0"
1,"EW2Va6",1,8,2021,2,"Afghanistan","AFG","AFG",157,"Qatar","QAT","QAT","0",7,"0","-","0","0","0"
1,"EW2Va6",1,9,2016,8,"Egypt","ARE","EGY",157,"Qatar","QAT","QAT","0",9,"0","-","0","0","0"
1,"EW2Va6",1,10,2017,8,"Egypt","ARE","EGY",157,"Qatar","QAT","QAT",9,"0","0","-","0","0","0"
1,"EW2Va6",1,11,2018,8,"Egypt","ARE","EGY",157,"Qatar","QAT","QAT",9,"0","0","-","0","0","0"
1,"EW2Va6",1,12,2019,8,"Egypt","ARE","EGY",157,"Qatar","QAT","QAT",13,8,"0","-","0","0","0"
1,"EW2Va6",1,13,2020,8,"Egypt","ARE","EGY",157,"Qatar","QAT","QAT",13,21,"0","-","0","0","0"
1,"EW2Va6",1,14,2021,8,"Egypt","ARE","EGY",157,"Qatar","QAT","QAT",13,22,"0","-","0","0","0"
1,"EW2Va6",1,15,2022,8,"Egypt","ARE","EGY",157,"Qatar","QAT","QAT",13,10,"0","-","0","0","0"
1,"EW2Va6",1,16,2023,8,"Egypt","ARE","EGY",157,"Qatar","QAT","QAT",18,10,"0","-","0","0","0"
1,"EW2Va6",1,17,2024,8,"Egypt","ARE","EGY",157,"Qatar","QAT","QAT",18,10,"0","-","0","0","0"
1,"EW2Va6",1,18,2025,8,"Egypt","ARE","EGY",157,"Qatar","QAT","QAT",18,10,"0","-","0","0","0"
1,"EW2Va6",1,19,2016,56,"Eritrea","ERT","ERI",157,"Qatar","QAT","QAT","0",5,"0","-","0","0","0"
1,"EW2Va6",1,20,2017,56,"Eritrea","ERT","ERI",157,"Qatar","QAT","QAT","0",5,"0","-","0","0","0"
1,"EW2Va6",1,21,2018,56,"Eritrea","ERT","ERI",157,"Qatar","QAT","QAT","0",5,"0","-","0","0","0"
1,"EW2Va6",1,22,2019,56,"Eritrea","ERT","ERI",157,"Qatar","QAT","QAT","0",5,"0","-","0","0","0"
1,"EW2Va6",1,23,2020,56,"Eritrea","ERT","ERI",157,"Qatar","QAT","QAT","0",5,"0","-","0","0","0"
1,"EW2Va6",1,24,2021,56,"Eritrea","ERT","ERI",157,"Qatar","QAT","QAT","0",5,"0","-","0","0","0"
1,"EW2Va6",1,25,2022,56,"Eritrea","ERT","ERI",157,"Qatar","QAT","QAT","0",5,"0","-","0","0","0"
1,"EW2Va6",1,26,2023,56,"Eritrea","ERT","ERI",157,"Qatar","QAT","QAT","0",5,"0","-","0","0","0"
1,"EW2Va6",1,27,2024,56,"Eritrea","ERT","ERI",157,"Qatar","QAT","QAT","0",5,"0","-","0","0","0"
1,"EW2Va6",1,28,2025,56,"Eritrea","ERT","ERI",157,"Qatar","QAT","QAT","0",10,"0","-","0","0","0"
1,"EW2Va6",1,29,1980,58,"Ethiopia","ETH","ETH",157,"Qatar","QAT","QAT",200,"0","0","-","0","0","0"
1,"EW2Va6",1,30,1981,58,"Ethiopia","ETH","ETH",157,"Qatar","QAT","QAT",200,"0","0","-","0","0","0"
1,"EW2Va6",1,31,1982,58,"Ethiopia","ETH","ETH",157,"Qatar","QAT","QAT",200,"0","0","-","0","0","0"
1,"EW2Va6",1,32,1983,58,"Ethiopia","ETH","ETH",157,"Qatar","QAT","QAT",200,"0","0","-","0","0","0"
1,"EW2Va6",1,33,1984,58,"Ethiopia","ETH","ETH",157,"Qatar","QAT","QAT",200,"0","0","-","0","0","0"
1,"EW2Va6",1,34,1985,58,"Ethiopia","ETH","ETH",157,"Qatar","QAT","QAT",200,"0","0","-","0","0","0"
1,"EW2Va6",1,35,2003,69,"Palestinian","GAZ","PSE",157,"Qatar","QAT","QAT","0",15,"0","-","0","0","0"
1,"EW2Va6",1,36,2004,69,"Palestinian","GAZ","PSE",157,"Qatar","QAT","QAT","0",7,"0","-","0","0","0"
1,"EW2Va6",1,37,2005,69,"Palestinian","GAZ","PSE",157,"Qatar","QAT","QAT","0",7,"0","-","0","0","0"
1,"EW2Va6",1,38,2006,69,"Palestinian","GAZ","PSE",157,"Qatar","QAT","QAT","0",7,"0","-","0","0","0"
1,"EW2Va6",1,39,2007,69,"Palestinian","GAZ","PSE",157,"Qatar","QAT","QAT","0",7,"0","-","0","0","0"
1,"EW2Va6",1,40,2020,69,"Palestinian","GAZ","PSE",157,"Qatar","QAT","QAT","0",7,"0","-","0","0","0"
1,"EW2Va6",1,41,2021,69,"Palestinian","GAZ","PSE",157,"Qatar","QAT","QAT","0",7,"0","-","0","0","0"
1,"EW2Va6",1,42,2011,88,"India","IND","IND",157,"Qatar","QAT","QAT","0",5,"0","-","0","0","0"
1,"EW2Va6",1,43,2012,88,"India","IND","IND",157,"Qatar","QAT","QAT","0",5,"0","-","0","0","0"
1,"EW2Va6",1,44,1999,92,"Iraq","IRQ","IRQ",157,"Qatar","QAT","QAT",6,"0","0","-","0","0","0"
1,"EW2Va6",1,45,2000,92,"Iraq","IRQ","IRQ",157,"Qatar","QAT","QAT",10,"0","0","-","0","0","0"
1,"EW2Va6",1,46,2001,92,"Iraq","IRQ","IRQ",157,"Qatar","QAT","QAT",6,"0","0","-","0","0","0"
1,"EW2Va6",1,47,2002,92,"Iraq","IRQ","IRQ",157,"Qatar","QAT","QAT",6,"0","0","-","0","0","0"
1,"EW2Va6",1,48,2003,92,"Iraq","IRQ","IRQ",157,"Qatar","QAT","QAT",6,"0","0","-","0","0","0"
1,"EW2Va6",1,49,2004,92,"Iraq","IRQ","IRQ",157,"Qatar","QAT","QAT",6,"0","0","-","0","0","0"
1,"EW2Va6",1,50,2005,92,"Iraq","IRQ","IRQ",157,"Qatar","QAT","QAT",6,"0","0","-","0","0","0"
1,"EW2Va6",1,51,2006,92,"Iraq","IRQ","IRQ",157,"Qatar","QAT","QAT",6,"0","0","-","0","0","0"
1,"EW2Va6",1,52,2007,92,"Iraq","IRQ","IRQ",157,"Qatar","QAT","QAT",6,9,"0","-","0","0","0"
1,"EW2Va6",1,53,2008,92,"Iraq","IRQ","IRQ",157,"Qatar","QAT","QAT",6,17,"0","-","0","0","0"
1,"EW2Va6",1,54,2009,92,"Iraq","IRQ","IRQ",157,"Qatar","QAT","QAT",22,"0","0","-","0","0","0"
1,"EW2Va6",1,55,2010,92,"Iraq","IRQ","IRQ",157,"Qatar","QAT","QAT",38,15,"0","-","0","0","0"
1,"EW2Va6",1,56,2011,92,"Iraq","IRQ","IRQ",157,"Qatar","QAT","QAT",64,38,"0","-","0","0","0"
1,"EW2Va6",1,57,2012,92,"Iraq","IRQ","IRQ",157,"Qatar","QAT","QAT",64,44,"0","-","0","0","0"
1,"EW2Va6",1,58,2013,92,"Iraq","IRQ","IRQ",157,"Qatar","QAT","QAT",114,10,"0","-","0","0","0"
1,"EW2Va6",1,59,2014,92,"Iraq","IRQ","IRQ",157,"Qatar","QAT","QAT",110,86,"0","-","0","0","0"
1,"EW2Va6",1,60,2015,92,"Iraq","IRQ","IRQ",157,"Qatar","QAT","QAT",95,107,"0","-","0","0","0"
1,"EW2Va6",1,61,2016,92,"Iraq","IRQ","IRQ",157,"Qatar","QAT","QAT",136,109,"0","-","0","0","0"
