"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","returned_refugees","idps","returned_idps","stateless","ooc","oip","hst"
1,"ZKa2L5",1,1,1977,38,"Chile","CHL","CHL",158,"Romania","ROM","ROU",1000,"0","0","0","0","0","0","-","0"
1,"ZKa2L5",1,2,1978,38,"Chile","CHL","CHL",158,"Romania","ROM","ROU",1000,"0","0","0","0","0","0","-","0"
1,"ZKa2L5",1,3,1979,38,"Chile","CHL","CHL",158,"Romania","ROM","ROU",1000,"0","0","0","0","0","0","-","0"
1,"ZKa2L5",1,4,1980,38,"Chile","CHL","CHL",158,"Romania","ROM","ROU",1000,"0","0","0","0","0","0","-","0"
1,"ZKa2L5",1,5,1981,38,"Chile","CHL","CHL",158,"Romania","ROM","ROU",1000,"0","0","0","0","0","0","-","0"
1,"ZKa2L5",1,6,1982,38,"Chile","CHL","CHL",158,"Romania","ROM","ROU",1000,"0","0","0","0","0","0","-","0"
1,"ZKa2L5",1,7,1983,38,"Chile","CHL","CHL",158,"Romania","ROM","ROU",1000,"0","0","0","0","0","0","-","0"
1,"ZKa2L5",1,8,1984,38,"Chile","CHL","CHL",158,"Romania","ROM","ROU",1000,"0","0","0","0","0","0","-","0"
1,"ZKa2L5",1,9,1991,3,"Albania","ALB","ALB",158,"Romania","ROM","ROU",250,"0","0","0","0","0","0","-","0"
1,"ZKa2L5",1,10,1991,172,"Somalia","SOM","SOM",158,"Romania","ROM","ROU",280,"0","0","0","0","0","0","-","0"
1,"ZKa2L5",1,11,1991,262,"Unknown ","UKN","UNK",158,"Romania","ROM","ROU",121,"0","0","0","0","0","0","-","0"
1,"ZKa2L5",1,12,1992,3,"Albania","ALB","ALB",158,"Romania","ROM","ROU",90,"0",230,"0","0","0","0","-","0"
1,"ZKa2L5",1,13,1992,92,"Iraq","IRQ","IRQ",158,"Romania","ROM","ROU",120,"0","0","0","0","0","0","-","0"
1,"ZKa2L5",1,14,1992,172,"Somalia","SOM","SOM",158,"Romania","ROM","ROU",230,"0",80,"0","0","0","0","-","0"
1,"ZKa2L5",1,15,1992,262,"Unknown ","UKN","UNK",158,"Romania","ROM","ROU",80,"0","0","0","0","0","0","-","0"
1,"ZKa2L5",1,16,1993,20,"Bangladesh","BGD","BGD",158,"Romania","ROM","ROU",382,"0","0","0","0","0","0","-","0"
1,"ZKa2L5",1,17,1993,88,"India","IND","IND",158,"Romania","ROM","ROU",68,"0","0","0","0","0","0","-","0"
