"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","idps","oip","stateless","hst","ooc"
1,"4mXF1s",1,1,1996,2,"Afghanistan","AFG","AFG",160,"Russian Federation","RUS","RUS",121,"0","0","-","0","0","0"
1,"4mXF1s",1,2,1997,2,"Afghanistan","AFG","AFG",160,"Russian Federation","RUS","RUS",234,"0","0","-","0","0","0"
1,"4mXF1s",1,3,1998,2,"Afghanistan","AFG","AFG",160,"Russian Federation","RUS","RUS",376,"0","0","-","0","0","0"
1,"4mXF1s",1,4,1999,2,"Afghanistan","AFG","AFG",160,"Russian Federation","RUS","RUS",513,"0","0","-","0","0",100000
1,"4mXF1s",1,5,2000,2,"Afghanistan","AFG","AFG",160,"Russian Federation","RUS","RUS",521,620,"0","-","0","0",100000
1,"4mXF1s",1,6,2001,2,"Afghanistan","AFG","AFG",160,"Russian Federation","RUS","RUS",491,669,"0","-","0","0",100000
1,"4mXF1s",1,7,2002,2,"Afghanistan","AFG","AFG",160,"Russian Federation","RUS","RUS",1493,541,"0","-","0","0",100000
1,"4mXF1s",1,8,2003,2,"Afghanistan","AFG","AFG",160,"Russian Federation","RUS","RUS",1541,234,"0","-","0","0",100000
1,"4mXF1s",1,9,2004,2,"Afghanistan","AFG","AFG",160,"Russian Federation","RUS","RUS",1488,253,"0","-","0","0",100000
1,"4mXF1s",1,10,2005,2,"Afghanistan","AFG","AFG",160,"Russian Federation","RUS","RUS",1294,225,"0","-","0","0",100000
1,"4mXF1s",1,11,2006,2,"Afghanistan","AFG","AFG",160,"Russian Federation","RUS","RUS",1202,230,"0","-","0","0",100000
1,"4mXF1s",1,12,2007,2,"Afghanistan","AFG","AFG",160,"Russian Federation","RUS","RUS",1315,2072,"0","-","0","0","0"
1,"4mXF1s",1,13,2008,2,"Afghanistan","AFG","AFG",160,"Russian Federation","RUS","RUS",2365,841,"0","-","0","0","0"
1,"4mXF1s",1,14,2009,2,"Afghanistan","AFG","AFG",160,"Russian Federation","RUS","RUS",2079,646,"0","-","0","0","0"
1,"4mXF1s",1,15,2010,2,"Afghanistan","AFG","AFG",160,"Russian Federation","RUS","RUS",1953,597,"0","-","0","0","0"
1,"4mXF1s",1,16,2011,2,"Afghanistan","AFG","AFG",160,"Russian Federation","RUS","RUS",1687,397,"0","-","0","0","0"
1,"4mXF1s",1,17,2012,2,"Afghanistan","AFG","AFG",160,"Russian Federation","RUS","RUS",1300,348,"0","-","0","0",1092
1,"4mXF1s",1,18,2013,2,"Afghanistan","AFG","AFG",160,"Russian Federation","RUS","RUS",1117,209,"0","-","0","0",247
1,"4mXF1s",1,19,2014,2,"Afghanistan","AFG","AFG",160,"Russian Federation","RUS","RUS",1104,195,"0","-","0","0","0"
1,"4mXF1s",1,20,2015,2,"Afghanistan","AFG","AFG",160,"Russian Federation","RUS","RUS",945,291,"0","-","0","0","0"
1,"4mXF1s",1,21,2016,2,"Afghanistan","AFG","AFG",160,"Russian Federation","RUS","RUS",709,226,"0","-","0","0","0"
1,"4mXF1s",1,22,2017,2,"Afghanistan","AFG","AFG",160,"Russian Federation","RUS","RUS",661,167,"0","-","0","0","0"
1,"4mXF1s",1,23,2018,2,"Afghanistan","AFG","AFG",160,"Russian Federation","RUS","RUS",789,226,"0","-","0","0","0"
1,"4mXF1s",1,24,2019,2,"Afghanistan","AFG","AFG",160,"Russian Federation","RUS","RUS",795,268,"0","-","0","0","0"
1,"4mXF1s",1,25,2020,2,"Afghanistan","AFG","AFG",160,"Russian Federation","RUS","RUS",770,174,"0","-","0","0","0"
