"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","returned_refugees","idps","returned_idps","stateless","ooc","oip","hst"
1,"B7Yso1",1,1,2014,2,"Afghanistan","AFG","AFG",161,"Rwanda","RWA","RWA",6,"0","0","0","0","0","0","-","0"
1,"B7Yso1",1,2,2023,2,"Afghanistan","AFG","AFG",161,"Rwanda","RWA","RWA",14,"0","0","0","0","0","0","-","0"
1,"B7Yso1",1,3,2024,2,"Afghanistan","AFG","AFG",161,"Rwanda","RWA","RWA",61,"0","0","0","0","0","0","-","0"
1,"B7Yso1",1,4,2025,2,"Afghanistan","AFG","AFG",161,"Rwanda","RWA","RWA",81,"0",5,"0","0","0","0","-","0"
1,"B7Yso1",1,5,1997,6,"Angola","ANG","AGO",161,"Rwanda","RWA","RWA",18,"0","0","0","0","0","0","-","0"
1,"B7Yso1",1,6,1998,6,"Angola","ANG","AGO",161,"Rwanda","RWA","RWA",9,"0","0","0","0","0","0","-","0"
1,"B7Yso1",1,7,1999,6,"Angola","ANG","AGO",161,"Rwanda","RWA","RWA",14,"0","0","0","0","0","0","-","0"
1,"B7Yso1",1,8,2000,6,"Angola","ANG","AGO",161,"Rwanda","RWA","RWA","0",14,"0","0","0","0","0","-","0"
1,"B7Yso1",1,9,2001,6,"Angola","ANG","AGO",161,"Rwanda","RWA","RWA",5,"0",11,"0","0","0","0","-","0"
1,"B7Yso1",1,10,2002,6,"Angola","ANG","AGO",161,"Rwanda","RWA","RWA","0",5,"0","0","0","0","0","-","0"
1,"B7Yso1",1,11,2003,6,"Angola","ANG","AGO",161,"Rwanda","RWA","RWA","0",7,"0","0","0","0","0","-","0"
1,"B7Yso1",1,12,2004,6,"Angola","ANG","AGO",161,"Rwanda","RWA","RWA","0",7,"0","0","0","0","0","-","0"
1,"B7Yso1",1,13,2008,6,"Angola","ANG","AGO",161,"Rwanda","RWA","RWA",5,"0","0","0","0","0","0","-","0"
1,"B7Yso1",1,14,2009,6,"Angola","ANG","AGO",161,"Rwanda","RWA","RWA",5,"0","0","0","0","0","0","-","0"
1,"B7Yso1",1,15,2010,6,"Angola","ANG","AGO",161,"Rwanda","RWA","RWA",5,"0","0","0","0","0","0","-","0"
1,"B7Yso1",1,16,2011,6,"Angola","ANG","AGO",161,"Rwanda","RWA","RWA",5,"0","0","0","0","0","0","-","0"
1,"B7Yso1",1,17,2012,6,"Angola","ANG","AGO",161,"Rwanda","RWA","RWA",5,"0","0","0","0","0","0","-","0"
1,"B7Yso1",1,18,2013,6,"Angola","ANG","AGO",161,"Rwanda","RWA","RWA",5,"0","0","0","0","0","0","-","0"
1,"B7Yso1",1,19,2014,6,"Angola","ANG","AGO",161,"Rwanda","RWA","RWA",6,"0","0","0","0","0","0","-","0"
1,"B7Yso1",1,20,2015,6,"Angola","ANG","AGO",161,"Rwanda","RWA","RWA",5,"0","0","0","0","0","0","-","0"
1,"B7Yso1",1,21,2016,6,"Angola","ANG","AGO",161,"Rwanda","RWA","RWA",5,"0","0","0","0","0","0","-","0"
1,"B7Yso1",1,22,2017,6,"Angola","ANG","AGO",161,"Rwanda","RWA","RWA",5,"0","0","0","0","0","0","-","0"
1,"B7Yso1",1,23,2018,6,"Angola","ANG","AGO",161,"Rwanda","RWA","RWA",8,"0","0","0","0","0","0","-","0"
1,"B7Yso1",1,24,2019,6,"Angola","ANG","AGO",161,"Rwanda","RWA","RWA",8,"0","0","0","0","0","0","-","0"
1,"B7Yso1",1,25,2020,6,"Angola","ANG","AGO",161,"Rwanda","RWA","RWA",9,"0","0","0","0","0","0","-","0"
1,"B7Yso1",1,26,2021,6,"Angola","ANG","AGO",161,"Rwanda","RWA","RWA",9,"0","0","0","0","0","0","-","0"
1,"B7Yso1",1,27,2022,6,"Angola","ANG","AGO",161,"Rwanda","RWA","RWA",9,"0","0","0","0","0","0","-","0"
1,"B7Yso1",1,28,1965,16,"Burundi","BDI","BDI",161,"Rwanda","RWA","RWA",3000,"0",1000,"0","0","0","0","-","0"
1,"B7Yso1",1,29,1966,16,"Burundi","BDI","BDI",161,"Rwanda","RWA","RWA",250,"0","0","0","0","0","0","-","0"
1,"B7Yso1",1,30,1972,16,"Burundi","BDI","BDI",161,"Rwanda","RWA","RWA",4000,"0","0","0","0","0","0","-","0"
1,"B7Yso1",1,31,1973,16,"Burundi","BDI","BDI",161,"Rwanda","RWA","RWA",6500,"0","0","0","0","0","0","-","0"
1,"B7Yso1",1,32,1974,16,"Burundi","BDI","BDI",161,"Rwanda","RWA","RWA",6000,"0","0","0","0","0","0","-","0"
1,"B7Yso1",1,33,1975,16,"Burundi","BDI","BDI",161,"Rwanda","RWA","RWA",7400,"0","0","0","0","0","0","-","0"
1,"B7Yso1",1,34,1976,16,"Burundi","BDI","BDI",161,"Rwanda","RWA","RWA",7500,"0","0","0","0","0","0","-","0"
1,"B7Yso1",1,35,1977,16,"Burundi","BDI","BDI",161,"Rwanda","RWA","RWA",7500,"0","0","0","0","0","0","-","0"
1,"B7Yso1",1,36,1978,16,"Burundi","BDI","BDI",161,"Rwanda","RWA","RWA",7600,"0",70,"0","0","0","0","-","0"
1,"B7Yso1",1,37,1979,16,"Burundi","BDI","BDI",161,"Rwanda","RWA","RWA",7800,"0","0","0","0","0","0","-","0"
1,"B7Yso1",1,38,1980,16,"Burundi","BDI","BDI",161,"Rwanda","RWA","RWA",10150,"0",310,"0","0","0","0","-","0"
1,"B7Yso1",1,39,1981,16,"Burundi","BDI","BDI",161,"Rwanda","RWA","RWA",17950,"0",50,"0","0","0","0","-","0"
