"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","idps","oip","stateless","hst","ooc"
1,"hbaeM9",1,1,1982,2,"Afghanistan","AFG","AFG",163,"Saudi Arabia","SAU","SAU",2000,"0","0","-","0","0","0"
1,"hbaeM9",1,2,1983,2,"Afghanistan","AFG","AFG",163,"Saudi Arabia","SAU","SAU",2000,"0","0","-","0","0","0"
1,"hbaeM9",1,3,1984,2,"Afghanistan","AFG","AFG",163,"Saudi Arabia","SAU","SAU",5000,"0","0","-","0","0","0"
1,"hbaeM9",1,4,1985,2,"Afghanistan","AFG","AFG",163,"Saudi Arabia","SAU","SAU",9000,"0","0","-","0","0","0"
1,"hbaeM9",1,5,1986,2,"Afghanistan","AFG","AFG",163,"Saudi Arabia","SAU","SAU",20000,"0","0","-","0","0","0"
1,"hbaeM9",1,6,1991,2,"Afghanistan","AFG","AFG",163,"Saudi Arabia","SAU","SAU",170,"0","0","-","0","0","0"
1,"hbaeM9",1,7,1995,2,"Afghanistan","AFG","AFG",163,"Saudi Arabia","SAU","SAU",149,"0","0","-","0","0","0"
1,"hbaeM9",1,8,1996,2,"Afghanistan","AFG","AFG",163,"Saudi Arabia","SAU","SAU",151,"0","0","-","0","0","0"
1,"hbaeM9",1,9,1997,2,"Afghanistan","AFG","AFG",163,"Saudi Arabia","SAU","SAU",151,"0","0","-","0","0","0"
1,"hbaeM9",1,10,1998,2,"Afghanistan","AFG","AFG",163,"Saudi Arabia","SAU","SAU",157,"0","0","-","0","0","0"
1,"hbaeM9",1,11,1999,2,"Afghanistan","AFG","AFG",163,"Saudi Arabia","SAU","SAU",161,"0","0","-","0","0","0"
1,"hbaeM9",1,12,2000,2,"Afghanistan","AFG","AFG",163,"Saudi Arabia","SAU","SAU",107,"0","0","-","0","0","0"
1,"hbaeM9",1,13,2001,2,"Afghanistan","AFG","AFG",163,"Saudi Arabia","SAU","SAU",149,43,"0","-","0","0","0"
1,"hbaeM9",1,14,2002,2,"Afghanistan","AFG","AFG",163,"Saudi Arabia","SAU","SAU",149,26,"0","-","0","0","0"
1,"hbaeM9",1,15,2003,2,"Afghanistan","AFG","AFG",163,"Saudi Arabia","SAU","SAU",107,15,"0","-","0","0","0"
1,"hbaeM9",1,16,2004,2,"Afghanistan","AFG","AFG",163,"Saudi Arabia","SAU","SAU","0",8,"0","-","0","0","0"
1,"hbaeM9",1,17,2005,2,"Afghanistan","AFG","AFG",163,"Saudi Arabia","SAU","SAU","0",6,"0","-","0","0","0"
1,"hbaeM9",1,18,2006,2,"Afghanistan","AFG","AFG",163,"Saudi Arabia","SAU","SAU","0",10,"0","-","0","0","0"
1,"hbaeM9",1,19,2007,2,"Afghanistan","AFG","AFG",163,"Saudi Arabia","SAU","SAU","0",9,"0","-","0","0","0"
1,"hbaeM9",1,20,2008,2,"Afghanistan","AFG","AFG",163,"Saudi Arabia","SAU","SAU","0",5,"0","-","0","0","0"
1,"hbaeM9",1,21,2011,2,"Afghanistan","AFG","AFG",163,"Saudi Arabia","SAU","SAU","0",7,"0","-","0","0","0"
1,"hbaeM9",1,22,2012,2,"Afghanistan","AFG","AFG",163,"Saudi Arabia","SAU","SAU","0",7,"0","-","0","0","0"
1,"hbaeM9",1,23,2013,2,"Afghanistan","AFG","AFG",163,"Saudi Arabia","SAU","SAU","0",7,"0","-","0","0","0"
1,"hbaeM9",1,24,2014,2,"Afghanistan","AFG","AFG",163,"Saudi Arabia","SAU","SAU","0",7,"0","-","0","0","0"
1,"hbaeM9",1,25,2020,2,"Afghanistan","AFG","AFG",163,"Saudi Arabia","SAU","SAU","0",61,"0","-","0","0","0"
1,"hbaeM9",1,26,2021,2,"Afghanistan","AFG","AFG",163,"Saudi Arabia","SAU","SAU","0",231,"0","-","0","0","0"
1,"hbaeM9",1,27,2010,8,"Egypt","ARE","EGY",163,"Saudi Arabia","SAU","SAU","0",5,"0","-","0","0","0"
1,"hbaeM9",1,28,2020,8,"Egypt","ARE","EGY",163,"Saudi Arabia","SAU","SAU","0",16,"0","-","0","0","0"
1,"hbaeM9",1,29,2021,8,"Egypt","ARE","EGY",163,"Saudi Arabia","SAU","SAU","0",20,"0","-","0","0","0"
1,"hbaeM9",1,30,2020,23,"Burkina Faso","BKF","BFA",163,"Saudi Arabia","SAU","SAU","0",11,"0","-","0","0","0"
1,"hbaeM9",1,31,2021,23,"Burkina Faso","BKF","BFA",163,"Saudi Arabia","SAU","SAU","0",11,"0","-","0","0","0"
1,"hbaeM9",1,32,2008,36,"Chad","CHD","TCD",163,"Saudi Arabia","SAU","SAU","0",5,"0","-","0","0","0"
1,"hbaeM9",1,33,2016,36,"Chad","CHD","TCD",163,"Saudi Arabia","SAU","SAU","0",8,"0","-","0","0","0"
1,"hbaeM9",1,34,2017,36,"Chad","CHD","TCD",163,"Saudi Arabia","SAU","SAU",9,"0","0","-","0","0","0"
1,"hbaeM9",1,35,2018,36,"Chad","CHD","TCD",163,"Saudi Arabia","SAU","SAU",9,"0","0","-","0","0","0"
1,"hbaeM9",1,36,2019,36,"Chad","CHD","TCD",163,"Saudi Arabia","SAU","SAU",9,"0","0","-","0","0","0"
1,"hbaeM9",1,37,2020,36,"Chad","CHD","TCD",163,"Saudi Arabia","SAU","SAU",9,70,"0","-","0","0","0"
1,"hbaeM9",1,38,2021,36,"Chad","CHD","TCD",163,"Saudi Arabia","SAU","SAU",9,87,"0","-","0","0","0"
1,"hbaeM9",1,39,2022,36,"Chad","CHD","TCD",163,"Saudi Arabia","SAU","SAU",9,"0","0","-","0","0","0"
1,"hbaeM9",1,40,2005,37,"China","CHI","CHN",163,"Saudi Arabia","SAU","SAU",5,5,"0","-","0","0","0"
1,"hbaeM9",1,41,2006,37,"China","CHI","CHN",163,"Saudi Arabia","SAU","SAU",9,6,"0","-","0","0","0"
1,"hbaeM9",1,42,2007,37,"China","CHI","CHN",163,"Saudi Arabia","SAU","SAU",10,6,"0","-","0","0","0"
1,"hbaeM9",1,43,2008,37,"China","CHI","CHN",163,"Saudi Arabia","SAU","SAU",10,6,"0","-","0","0","0"
1,"hbaeM9",1,44,2009,37,"China","CHI","CHN",163,"Saudi Arabia","SAU","SAU",19,5,"0","-","0","0","0"
1,"hbaeM9",1,45,2010,37,"China","CHI","CHN",163,"Saudi Arabia","SAU","SAU",14,5,"0","-","0","0","0"
1,"hbaeM9",1,46,2011,37,"China","CHI","CHN",163,"Saudi Arabia","SAU","SAU",14,5,"0","-","0","0","0"
1,"hbaeM9",1,47,2012,37,"China","CHI","CHN",163,"Saudi Arabia","SAU","SAU",14,5,"0","-","0","0","0"
1,"hbaeM9",1,48,2013,37,"China","CHI","CHN",163,"Saudi Arabia","SAU","SAU",14,5,"0","-","0","0","0"
1,"hbaeM9",1,49,2014,37,"China","CHI","CHN",163,"Saudi Arabia","SAU","SAU",14,5,"0","-","0","0","0"
1,"hbaeM9",1,50,2015,37,"China","CHI","CHN",163,"Saudi Arabia","SAU","SAU",14,5,"0","-","0","0","0"
1,"hbaeM9",1,51,2016,37,"China","CHI","CHN",163,"Saudi Arabia","SAU","SAU",14,5,"0","-","0","0","0"
1,"hbaeM9",1,52,2017,37,"China","CHI","CHN",163,"Saudi Arabia","SAU","SAU",14,5,"0","-","0","0","0"
