"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","idps","oip","stateless","hst","ooc"
1,"A7wWs6",1,1,2007,37,"China","CHI","CHN",168,"Singapore","SIN","SGP","0",5,"0","-","0","0","0"
1,"A7wWs6",1,2,1994,112,"Sri Lanka","LKA","LKA",168,"Singapore","SIN","SGP",5,"0","0","-","0","0","0"
1,"A7wWs6",1,3,1995,112,"Sri Lanka","LKA","LKA",168,"Singapore","SIN","SGP",7,"0","0","-","0","0","0"
1,"A7wWs6",1,4,1996,112,"Sri Lanka","LKA","LKA",168,"Singapore","SIN","SGP",5,"0","0","-","0","0","0"
1,"A7wWs6",1,5,2006,112,"Sri Lanka","LKA","LKA",168,"Singapore","SIN","SGP","0",5,"0","-","0","0","0"
1,"A7wWs6",1,6,2007,112,"Sri Lanka","LKA","LKA",168,"Singapore","SIN","SGP","0",5,"0","-","0","0","0"
1,"A7wWs6",1,7,1993,135,"Myanmar","MYA","MMR",168,"Singapore","SIN","SGP",5,"0","0","-","0","0","0"
1,"A7wWs6",1,8,2007,135,"Myanmar","MYA","MMR",168,"Singapore","SIN","SGP",7,6,"0","-","0","0","0"
1,"A7wWs6",1,9,2008,135,"Myanmar","MYA","MMR",168,"Singapore","SIN","SGP",7,"0","0","-","0","0","0"
1,"A7wWs6",1,10,2009,135,"Myanmar","MYA","MMR",168,"Singapore","SIN","SGP",5,"0","0","-","0","0","0"
1,"A7wWs6",1,11,2010,135,"Myanmar","MYA","MMR",168,"Singapore","SIN","SGP",5,"0","0","-","0","0","0"
1,"A7wWs6",1,12,2014,135,"Myanmar","MYA","MMR",168,"Singapore","SIN","SGP",5,"0","0","-","0","0","0"
1,"A7wWs6",1,13,2006,147,"Pakistan","PAK","PAK",168,"Singapore","SIN","SGP","0",5,"0","-","0","0","0"
1,"A7wWs6",1,14,2007,147,"Pakistan","PAK","PAK",168,"Singapore","SIN","SGP","0",5,"0","-","0","0","0"
1,"A7wWs6",1,15,1994,172,"Somalia","SOM","SOM",168,"Singapore","SIN","SGP",5,"0","0","-","0","0","0"
1,"A7wWs6",1,16,1978,174,"Viet Nam","SRV","VNM",168,"Singapore","SIN","SGP",730,"0","0","-","0","0","0"
1,"A7wWs6",1,17,1982,174,"Viet Nam","SRV","VNM",168,"Singapore","SIN","SGP",480,"0","0","-","0","0","0"
1,"A7wWs6",1,18,1983,174,"Viet Nam","SRV","VNM",168,"Singapore","SIN","SGP",290,"0","0","-","0","0","0"
1,"A7wWs6",1,19,1986,174,"Viet Nam","SRV","VNM",168,"Singapore","SIN","SGP",60,"0","0","-","0","0","0"
1,"A7wWs6",1,20,1987,174,"Viet Nam","SRV","VNM",168,"Singapore","SIN","SGP",320,"0","0","-","0","0","0"
1,"A7wWs6",1,21,1988,174,"Viet Nam","SRV","VNM",168,"Singapore","SIN","SGP",320,"0","0","-","0","0","0"
1,"A7wWs6",1,22,1989,174,"Viet Nam","SRV","VNM",168,"Singapore","SIN","SGP",480,"0","0","-","0","0","0"
1,"A7wWs6",1,23,1995,174,"Viet Nam","SRV","VNM",168,"Singapore","SIN","SGP",102,"0","0","-","0","0","0"
1,"A7wWs6",1,24,1996,174,"Viet Nam","SRV","VNM",168,"Singapore","SIN","SGP",5,"0","0","-","0","0","0"
1,"A7wWs6",1,25,1997,174,"Viet Nam","SRV","VNM",168,"Singapore","SIN","SGP",5,"0","0","-","0","0","0"
1,"A7wWs6",1,26,1998,174,"Viet Nam","SRV","VNM",168,"Singapore","SIN","SGP",5,"0","0","-","0","0","0"
1,"A7wWs6",1,27,2018,216,"Stateless","STA","XXA",168,"Singapore","SIN","SGP","0","0","0","-",1303,"0","0"
1,"A7wWs6",1,28,2019,216,"Stateless","STA","XXA",168,"Singapore","SIN","SGP","0","0","0","-",1303,"0","0"
1,"A7wWs6",1,29,2020,216,"Stateless","STA","XXA",168,"Singapore","SIN","SGP","0","0","0","-",1109,"0","0"
1,"A7wWs6",1,30,2021,216,"Stateless","STA","XXA",168,"Singapore","SIN","SGP","0","0","0","-",1109,"0","0"
1,"A7wWs6",1,31,2022,216,"Stateless","STA","XXA",168,"Singapore","SIN","SGP","0","0","0","-",1109,"0","0"
1,"A7wWs6",1,32,2023,216,"Stateless","STA","XXA",168,"Singapore","SIN","SGP","0","0","0","-",1109,"0","0"
1,"A7wWs6",1,33,2024,216,"Stateless","STA","XXA",168,"Singapore","SIN","SGP","0","0","0","-",1109,"0","0"
1,"A7wWs6",1,34,2025,216,"Stateless","STA","XXA",168,"Singapore","SIN","SGP","0","0","0","-",1109,"0","0"
1,"A7wWs6",1,35,1979,262,"Unknown ","UKN","UNK",168,"Singapore","SIN","SGP",900,"0","0","-","0","0","0"
1,"A7wWs6",1,36,1990,262,"Unknown ","UKN","UNK",168,"Singapore","SIN","SGP",146,"0","0","-","0","0","0"
1,"A7wWs6",1,37,1991,262,"Unknown ","UKN","UNK",168,"Singapore","SIN","SGP",166,"0","0","-","0","0","0"
1,"A7wWs6",1,38,1992,262,"Unknown ","UKN","UNK",168,"Singapore","SIN","SGP",115,"0","0","-","0","0","0"
