"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","idps","oip","stateless","hst","ooc"
1,"yPD0v6",1,1,1995,36,"Chad","CHD","TCD",169,"Sierra Leone","SLE","SLE",5,"0","0","-","0","0","0"
1,"yPD0v6",1,2,1996,36,"Chad","CHD","TCD",169,"Sierra Leone","SLE","SLE",5,"0","0","-","0","0","0"
1,"yPD0v6",1,3,1997,36,"Chad","CHD","TCD",169,"Sierra Leone","SLE","SLE",5,"0","0","-","0","0","0"
1,"yPD0v6",1,4,2005,41,"Dem. Rep. of the Congo","COD","COD",169,"Sierra Leone","SLE","SLE","0",8,"0","-","0","0","0"
1,"yPD0v6",1,5,2005,55,"Equatorial Guinea","EGU","GNQ",169,"Sierra Leone","SLE","SLE",5,"0","0","-","0","0","0"
1,"yPD0v6",1,6,2006,55,"Equatorial Guinea","EGU","GNQ",169,"Sierra Leone","SLE","SLE",5,"0","0","-","0","0","0"
1,"yPD0v6",1,7,2007,55,"Equatorial Guinea","EGU","GNQ",169,"Sierra Leone","SLE","SLE",5,"0","0","-","0","0","0"
1,"yPD0v6",1,8,2008,55,"Equatorial Guinea","EGU","GNQ",169,"Sierra Leone","SLE","SLE",5,"0","0","-","0","0","0"
1,"yPD0v6",1,9,2009,55,"Equatorial Guinea","EGU","GNQ",169,"Sierra Leone","SLE","SLE",5,"0","0","-","0","0","0"
1,"yPD0v6",1,10,2010,55,"Equatorial Guinea","EGU","GNQ",169,"Sierra Leone","SLE","SLE",5,"0","0","-","0","0","0"
1,"yPD0v6",1,11,2011,55,"Equatorial Guinea","EGU","GNQ",169,"Sierra Leone","SLE","SLE",5,"0","0","-","0","0","0"
1,"yPD0v6",1,12,2012,56,"Eritrea","ERT","ERI",169,"Sierra Leone","SLE","SLE","0",5,"0","-","0","0","0"
1,"yPD0v6",1,13,2013,56,"Eritrea","ERT","ERI",169,"Sierra Leone","SLE","SLE","0",5,"0","-","0","0","0"
1,"yPD0v6",1,14,1993,58,"Ethiopia","ETH","ETH",169,"Sierra Leone","SLE","SLE",5,"0","0","-","0","0","0"
1,"yPD0v6",1,15,2008,79,"Guinea","GUI","GIN",169,"Sierra Leone","SLE","SLE","0",5,"0","-","0","0","0"
1,"yPD0v6",1,16,2009,79,"Guinea","GUI","GIN",169,"Sierra Leone","SLE","SLE","0",5,"0","-","0","0","0"
1,"yPD0v6",1,17,2013,79,"Guinea","GUI","GIN",169,"Sierra Leone","SLE","SLE","0",8,"0","-","0","0","0"
1,"yPD0v6",1,18,2002,87,"Cote d'Ivoire","ICO","CIV",169,"Sierra Leone","SLE","SLE","0",5,"0","-","0","0","0"
1,"yPD0v6",1,19,2003,87,"Cote d'Ivoire","ICO","CIV",169,"Sierra Leone","SLE","SLE","0",5,"0","-","0","0","0"
1,"yPD0v6",1,20,2004,87,"Cote d'Ivoire","ICO","CIV",169,"Sierra Leone","SLE","SLE","0",5,"0","-","0","0","0"
1,"yPD0v6",1,21,2005,87,"Cote d'Ivoire","ICO","CIV",169,"Sierra Leone","SLE","SLE","0",35,"0","-","0","0","0"
1,"yPD0v6",1,22,2006,87,"Cote d'Ivoire","ICO","CIV",169,"Sierra Leone","SLE","SLE",43,23,"0","-","0","0","0"
1,"yPD0v6",1,23,2007,87,"Cote d'Ivoire","ICO","CIV",169,"Sierra Leone","SLE","SLE",46,21,"0","-","0","0","0"
1,"yPD0v6",1,24,2008,87,"Cote d'Ivoire","ICO","CIV",169,"Sierra Leone","SLE","SLE",42,"0","0","-","0","0","0"
1,"yPD0v6",1,25,2009,87,"Cote d'Ivoire","ICO","CIV",169,"Sierra Leone","SLE","SLE",8,45,"0","-","0","0","0"
1,"yPD0v6",1,26,2010,87,"Cote d'Ivoire","ICO","CIV",169,"Sierra Leone","SLE","SLE",16,45,"0","-","0","0","0"
1,"yPD0v6",1,27,2011,87,"Cote d'Ivoire","ICO","CIV",169,"Sierra Leone","SLE","SLE",33,50,"0","-","0","0","0"
1,"yPD0v6",1,28,2012,87,"Cote d'Ivoire","ICO","CIV",169,"Sierra Leone","SLE","SLE",33,48,"0","-","0","0","0"
1,"yPD0v6",1,29,2013,87,"Cote d'Ivoire","ICO","CIV",169,"Sierra Leone","SLE","SLE",33,10,"0","-","0","0","0"
1,"yPD0v6",1,30,2014,87,"Cote d'Ivoire","ICO","CIV",169,"Sierra Leone","SLE","SLE",38,"0","0","-","0","0","0"
1,"yPD0v6",1,31,2015,87,"Cote d'Ivoire","ICO","CIV",169,"Sierra Leone","SLE","SLE",22,"0","0","-","0","0","0"
1,"yPD0v6",1,32,2016,87,"Cote d'Ivoire","ICO","CIV",169,"Sierra Leone","SLE","SLE",21,"0","0","-","0","0","0"
1,"yPD0v6",1,33,2017,87,"Cote d'Ivoire","ICO","CIV",169,"Sierra Leone","SLE","SLE",17,"0","0","-","0","0","0"
1,"yPD0v6",1,34,2018,87,"Cote d'Ivoire","ICO","CIV",169,"Sierra Leone","SLE","SLE",17,"0","0","-","0","0","0"
1,"yPD0v6",1,35,2019,87,"Cote d'Ivoire","ICO","CIV",169,"Sierra Leone","SLE","SLE",16,"0","0","-","0","0","0"
1,"yPD0v6",1,36,2020,87,"Cote d'Ivoire","ICO","CIV",169,"Sierra Leone","SLE","SLE",10,"0","0","-","0","0","0"
1,"yPD0v6",1,37,2021,87,"Cote d'Ivoire","ICO","CIV",169,"Sierra Leone","SLE","SLE",10,"0","0","-","0","0","0"
1,"yPD0v6",1,38,2022,87,"Cote d'Ivoire","ICO","CIV",169,"Sierra Leone","SLE","SLE","0","0","0","-","0","0",10
1,"yPD0v6",1,39,2023,87,"Cote d'Ivoire","ICO","CIV",169,"Sierra Leone","SLE","SLE","0","0","0","-","0","0",10
1,"yPD0v6",1,40,2024,87,"Cote d'Ivoire","ICO","CIV",169,"Sierra Leone","SLE","SLE","0","0","0","-","0","0",10
1,"yPD0v6",1,41,2025,87,"Cote d'Ivoire","ICO","CIV",169,"Sierra Leone","SLE","SLE","0","0","0","-","0","0",10
1,"yPD0v6",1,42,1990,106,"Liberia","LBR","LBR",169,"Sierra Leone","SLE","SLE",125830,"0","0","-","0","0","0"
1,"yPD0v6",1,43,1991,106,"Liberia","LBR","LBR",169,"Sierra Leone","SLE","SLE",28020,"0","0","-","0","0","0"
1,"yPD0v6",1,44,1992,106,"Liberia","LBR","LBR",169,"Sierra Leone","SLE","SLE",5850,"0","0","-","0","0","0"
1,"yPD0v6",1,45,1993,106,"Liberia","LBR","LBR",169,"Sierra Leone","SLE","SLE",16264,"0","0","-","0","0","0"
1,"yPD0v6",1,46,1994,106,"Liberia","LBR","LBR",169,"Sierra Leone","SLE","SLE",15861,"0","0","-","0","0","0"
1,"yPD0v6",1,47,1995,106,"Liberia","LBR","LBR",169,"Sierra Leone","SLE","SLE",4667,"0","0","-","0","0","0"
1,"yPD0v6",1,48,1996,106,"Liberia","LBR","LBR",169,"Sierra Leone","SLE","SLE",13521,"0","0","-","0","0","0"
1,"yPD0v6",1,49,1997,106,"Liberia","LBR","LBR",169,"Sierra Leone","SLE","SLE",13000,"0","0","-","0","0","0"
1,"yPD0v6",1,50,1998,106,"Liberia","LBR","LBR",169,"Sierra Leone","SLE","SLE",9862,"0","0","-","0","0","0"
1,"yPD0v6",1,51,1999,106,"Liberia","LBR","LBR",169,"Sierra Leone","SLE","SLE",6566,"0","0","-","0","0","0"
1,"yPD0v6",1,52,2000,106,"Liberia","LBR","LBR",169,"Sierra Leone","SLE","SLE",6543,458,"0","-","0","0","0"
1,"yPD0v6",1,53,2001,106,"Liberia","LBR","LBR",169,"Sierra Leone","SLE","SLE",10498,273,"0","-","0","0","0"
1,"yPD0v6",1,54,2002,106,"Liberia","LBR","LBR",169,"Sierra Leone","SLE","SLE",63491,273,"0","-","0","0","0"
1,"yPD0v6",1,55,2003,106,"Liberia","LBR","LBR",169,"Sierra Leone","SLE","SLE",61192,131,"0","-","0","0","0"
1,"yPD0v6",1,56,2004,106,"Liberia","LBR","LBR",169,"Sierra Leone","SLE","SLE",65433,131,"0","-","0","0","0"
1,"yPD0v6",1,57,2005,106,"Liberia","LBR","LBR",169,"Sierra Leone","SLE","SLE",59952,131,"0","-","0","0","0"
1,"yPD0v6",1,58,2006,106,"Liberia","LBR","LBR",169,"Sierra Leone","SLE","SLE",27311,"0","0","-","0","0","0"
1,"yPD0v6",1,59,2007,106,"Liberia","LBR","LBR",169,"Sierra Leone","SLE","SLE",8738,"0","0","-","0","0","0"
1,"yPD0v6",1,60,2008,106,"Liberia","LBR","LBR",169,"Sierra Leone","SLE","SLE",7778,160,"0","-","0","0","0"
1,"yPD0v6",1,61,2009,106,"Liberia","LBR","LBR",169,"Sierra Leone","SLE","SLE",9037,"0","0","-","0","0","0"
1,"yPD0v6",1,62,2010,106,"Liberia","LBR","LBR",169,"Sierra Leone","SLE","SLE",8341,"0","0","-","0","0","0"
1,"yPD0v6",1,63,2011,106,"Liberia","LBR","LBR",169,"Sierra Leone","SLE","SLE",8046,"0","0","-","0","0","0"
1,"yPD0v6",1,64,2012,106,"Liberia","LBR","LBR",169,"Sierra Leone","SLE","SLE",4163,"0","0","-","0","0","0"
1,"yPD0v6",1,65,2013,106,"Liberia","LBR","LBR",169,"Sierra Leone","SLE","SLE",2776,"0","0","-","0","0","0"
1,"yPD0v6",1,66,2014,106,"Liberia","LBR","LBR",169,"Sierra Leone","SLE","SLE",1326,"0","0","-","0","0","0"
1,"yPD0v6",1,67,2015,106,"Liberia","LBR","LBR",169,"Sierra Leone","SLE","SLE",730,"0","0","-","0","0","0"
1,"yPD0v6",1,68,2016,106,"Liberia","LBR","LBR",169,"Sierra Leone","SLE","SLE",654,"0","0","-","0","0","0"
1,"yPD0v6",1,69,2017,106,"Liberia","LBR","LBR",169,"Sierra Leone","SLE","SLE",653,"0","0","-","0","0","0"
1,"yPD0v6",1,70,2018,106,"Liberia","LBR","LBR",169,"Sierra Leone","SLE","SLE",565,"0","0","-","0","0","0"
1,"yPD0v6",1,71,2019,106,"Liberia","LBR","LBR",169,"Sierra Leone","SLE","SLE",425,"0","0","-","0","0","0"
1,"yPD0v6",1,72,2020,106,"Liberia","LBR","LBR",169,"Sierra Leone","SLE","SLE",332,"0","0","-","0","0","0"
1,"yPD0v6",1,73,2021,106,"Liberia","LBR","LBR",169,"Sierra Leone","SLE","SLE",335,"0","0","-","0","0","0"
