"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","idps","oip","stateless","hst","ooc"
1,"9pxprB",1,1,2012,60,"Fiji","FIJ","FJI",171,"Solomon Islands","SOL","SLB","0",5,"0","-","0","0","0"
1,"9pxprB",1,2,2013,60,"Fiji","FIJ","FJI",171,"Solomon Islands","SOL","SLB","0",5,"0","-","0","0","0"
1,"9pxprB",1,3,2014,60,"Fiji","FIJ","FJI",171,"Solomon Islands","SOL","SLB",5,"0","0","-","0","0","0"
1,"9pxprB",1,4,2015,60,"Fiji","FIJ","FJI",171,"Solomon Islands","SOL","SLB",5,"0","0","-","0","0","0"
1,"9pxprB",1,5,2018,89,"Indonesia","INS","IDN",171,"Solomon Islands","SOL","SLB","0",5,"0","-","0","0","0"
1,"9pxprB",1,6,1995,153,"Papua New Guinea","PNG","PNG",171,"Solomon Islands","SOL","SLB",2000,"0","0","-","0","0","0"
1,"9pxprB",1,7,1996,153,"Papua New Guinea","PNG","PNG",171,"Solomon Islands","SOL","SLB",2000,"0","0","-","0","0","0"
1,"9pxprB",1,8,1997,153,"Papua New Guinea","PNG","PNG",171,"Solomon Islands","SOL","SLB",800,"0","0","-","0","0","0"
1,"9pxprB",1,9,1998,153,"Papua New Guinea","PNG","PNG",171,"Solomon Islands","SOL","SLB",210,"0","0","-","0","0","0"
1,"9pxprB",1,10,2021,171,"Solomon Islands","SOL","SLB",171,"Solomon Islands","SOL","SLB","0","0",1000,"-","0","0","0"
1,"9pxprB",1,11,2022,171,"Solomon Islands","SOL","SLB",171,"Solomon Islands","SOL","SLB","0","0",1000,"-","0","0","0"
1,"9pxprB",1,12,2023,171,"Solomon Islands","SOL","SLB",171,"Solomon Islands","SOL","SLB","0","0",1000,"-","0","0","0"
1,"9pxprB",1,13,2024,171,"Solomon Islands","SOL","SLB",171,"Solomon Islands","SOL","SLB","0","0",11,"-","0","0","0"
1,"9pxprB",1,14,2025,171,"Solomon Islands","SOL","SLB",171,"Solomon Islands","SOL","SLB","0","0",11,"-","0","0","0"
