"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","idps","oip","stateless","hst","ooc"
1,"deA47I",1,1,2017,8,"Egypt","ARE","EGY",172,"Somalia","SOM","SOM","0",16,"0","-","0","0","0"
1,"deA47I",1,2,2018,8,"Egypt","ARE","EGY",172,"Somalia","SOM","SOM","0",24,"0","-","0","0","0"
1,"deA47I",1,3,2019,8,"Egypt","ARE","EGY",172,"Somalia","SOM","SOM","0",26,"0","-","0","0","0"
1,"deA47I",1,4,2021,8,"Egypt","ARE","EGY",172,"Somalia","SOM","SOM","0",5,"0","-","0","0","0"
1,"deA47I",1,5,2022,8,"Egypt","ARE","EGY",172,"Somalia","SOM","SOM","0",5,"0","-","0","0","0"
1,"deA47I",1,6,2023,8,"Egypt","ARE","EGY",172,"Somalia","SOM","SOM","0",5,"0","-","0","0","0"
1,"deA47I",1,7,2024,8,"Egypt","ARE","EGY",172,"Somalia","SOM","SOM","0",6,"0","-","0","0","0"
1,"deA47I",1,8,2025,8,"Egypt","ARE","EGY",172,"Somalia","SOM","SOM","0",7,"0","-","0","0","0"
1,"deA47I",1,9,2001,16,"Burundi","BDI","BDI",172,"Somalia","SOM","SOM",5,"0","0","-","0","0","0"
1,"deA47I",1,10,2007,20,"Bangladesh","BGD","BGD",172,"Somalia","SOM","SOM","0",5,"0","-","0","0","0"
1,"deA47I",1,11,2008,20,"Bangladesh","BGD","BGD",172,"Somalia","SOM","SOM",5,"0","0","-","0","0","0"
1,"deA47I",1,12,2009,20,"Bangladesh","BGD","BGD",172,"Somalia","SOM","SOM",5,"0","0","-","0","0","0"
1,"deA47I",1,13,2010,20,"Bangladesh","BGD","BGD",172,"Somalia","SOM","SOM",5,"0","0","-","0","0","0"
1,"deA47I",1,14,2011,20,"Bangladesh","BGD","BGD",172,"Somalia","SOM","SOM",5,"0","0","-","0","0","0"
1,"deA47I",1,15,2012,20,"Bangladesh","BGD","BGD",172,"Somalia","SOM","SOM",5,"0","0","-","0","0","0"
1,"deA47I",1,16,2013,20,"Bangladesh","BGD","BGD",172,"Somalia","SOM","SOM",5,"0","0","-","0","0","0"
1,"deA47I",1,17,2014,20,"Bangladesh","BGD","BGD",172,"Somalia","SOM","SOM",5,"0","0","-","0","0","0"
1,"deA47I",1,18,2015,20,"Bangladesh","BGD","BGD",172,"Somalia","SOM","SOM",5,"0","0","-","0","0","0"
1,"deA47I",1,19,2016,20,"Bangladesh","BGD","BGD",172,"Somalia","SOM","SOM",6,"0","0","-","0","0","0"
1,"deA47I",1,20,2017,20,"Bangladesh","BGD","BGD",172,"Somalia","SOM","SOM",6,"0","0","-","0","0","0"
1,"deA47I",1,21,2018,20,"Bangladesh","BGD","BGD",172,"Somalia","SOM","SOM",6,"0","0","-","0","0","0"
1,"deA47I",1,22,2019,20,"Bangladesh","BGD","BGD",172,"Somalia","SOM","SOM",6,"0","0","-","0","0","0"
1,"deA47I",1,23,2020,20,"Bangladesh","BGD","BGD",172,"Somalia","SOM","SOM",6,"0","0","-","0","0","0"
1,"deA47I",1,24,2021,20,"Bangladesh","BGD","BGD",172,"Somalia","SOM","SOM",6,"0","0","-","0","0","0"
1,"deA47I",1,25,2022,20,"Bangladesh","BGD","BGD",172,"Somalia","SOM","SOM",6,"0","0","-","0","0","0"
1,"deA47I",1,26,2023,20,"Bangladesh","BGD","BGD",172,"Somalia","SOM","SOM",6,"0","0","-","0","0","0"
1,"deA47I",1,27,2024,20,"Bangladesh","BGD","BGD",172,"Somalia","SOM","SOM",6,"0","0","-","0","0","0"
1,"deA47I",1,28,2025,20,"Bangladesh","BGD","BGD",172,"Somalia","SOM","SOM",6,"0","0","-","0","0","0"
1,"deA47I",1,29,1995,28,"Brunei Darussalam","BRU","BRN",172,"Somalia","SOM","SOM",5,"0","0","-","0","0","0"
1,"deA47I",1,30,2003,36,"Chad","CHD","TCD",172,"Somalia","SOM","SOM",5,"0","0","-","0","0","0"
1,"deA47I",1,31,2004,36,"Chad","CHD","TCD",172,"Somalia","SOM","SOM",5,"0","0","-","0","0","0"
1,"deA47I",1,32,2005,36,"Chad","CHD","TCD",172,"Somalia","SOM","SOM",5,"0","0","-","0","0","0"
1,"deA47I",1,33,2006,36,"Chad","CHD","TCD",172,"Somalia","SOM","SOM",5,"0","0","-","0","0","0"
