"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","idps","oip","stateless","hst","ooc"
1,"hzbV1I",1,1,1994,2,"Afghanistan","AFG","AFG",164,"Serbia and Kosovo: S/RES/1244 (1999)","SRB","SRB",11,"0","0","-","0","0","0"
1,"hzbV1I",1,2,1995,2,"Afghanistan","AFG","AFG",164,"Serbia and Kosovo: S/RES/1244 (1999)","SRB","SRB",11,"0","0","-","0","0","0"
1,"hzbV1I",1,3,1996,2,"Afghanistan","AFG","AFG",164,"Serbia and Kosovo: S/RES/1244 (1999)","SRB","SRB",5,"0","0","-","0","0","0"
1,"hzbV1I",1,4,1997,2,"Afghanistan","AFG","AFG",164,"Serbia and Kosovo: S/RES/1244 (1999)","SRB","SRB",5,"0","0","-","0","0","0"
1,"hzbV1I",1,5,2001,2,"Afghanistan","AFG","AFG",164,"Serbia and Kosovo: S/RES/1244 (1999)","SRB","SRB",13,26,"0","-","0","0","0"
1,"hzbV1I",1,6,2002,2,"Afghanistan","AFG","AFG",164,"Serbia and Kosovo: S/RES/1244 (1999)","SRB","SRB",7,13,"0","-","0","0","0"
1,"hzbV1I",1,7,2003,2,"Afghanistan","AFG","AFG",164,"Serbia and Kosovo: S/RES/1244 (1999)","SRB","SRB","0",7,"0","-","0","0","0"
1,"hzbV1I",1,8,2009,2,"Afghanistan","AFG","AFG",164,"Serbia and Kosovo: S/RES/1244 (1999)","SRB","SRB","0",15,"0","-","0","0","0"
1,"hzbV1I",1,9,2010,2,"Afghanistan","AFG","AFG",164,"Serbia and Kosovo: S/RES/1244 (1999)","SRB","SRB","0",100,"0","-","0","0","0"
1,"hzbV1I",1,10,2011,2,"Afghanistan","AFG","AFG",164,"Serbia and Kosovo: S/RES/1244 (1999)","SRB","SRB","0",174,"0","-","0","0","0"
1,"hzbV1I",1,11,2012,2,"Afghanistan","AFG","AFG",164,"Serbia and Kosovo: S/RES/1244 (1999)","SRB","SRB","0",81,"0","-","0","0","0"
1,"hzbV1I",1,12,2013,2,"Afghanistan","AFG","AFG",164,"Serbia and Kosovo: S/RES/1244 (1999)","SRB","SRB","0",21,"0","-","0","0","0"
1,"hzbV1I",1,13,2014,2,"Afghanistan","AFG","AFG",164,"Serbia and Kosovo: S/RES/1244 (1999)","SRB","SRB","0",58,"0","-","0","0","0"
1,"hzbV1I",1,14,2015,2,"Afghanistan","AFG","AFG",164,"Serbia and Kosovo: S/RES/1244 (1999)","SRB","SRB","0",35,"0","-","0","0","0"
1,"hzbV1I",1,15,2016,2,"Afghanistan","AFG","AFG",164,"Serbia and Kosovo: S/RES/1244 (1999)","SRB","SRB",3449,70,"0","-","0","0","0"
1,"hzbV1I",1,16,2017,2,"Afghanistan","AFG","AFG",164,"Serbia and Kosovo: S/RES/1244 (1999)","SRB","SRB",2182,49,"0","-","0","0","0"
1,"hzbV1I",1,17,2018,2,"Afghanistan","AFG","AFG",164,"Serbia and Kosovo: S/RES/1244 (1999)","SRB","SRB",1726,18,"0","-","0","0","0"
1,"hzbV1I",1,18,2019,2,"Afghanistan","AFG","AFG",164,"Serbia and Kosovo: S/RES/1244 (1999)","SRB","SRB",19,10,"0","-","0","0",2662
1,"hzbV1I",1,19,2020,2,"Afghanistan","AFG","AFG",164,"Serbia and Kosovo: S/RES/1244 (1999)","SRB","SRB",27,5,"0","-","0","0",2929
1,"hzbV1I",1,20,2021,2,"Afghanistan","AFG","AFG",164,"Serbia and Kosovo: S/RES/1244 (1999)","SRB","SRB",27,15,"0","-","0","0",1533
1,"hzbV1I",1,21,2022,2,"Afghanistan","AFG","AFG",164,"Serbia and Kosovo: S/RES/1244 (1999)","SRB","SRB",33,"0","0","-","0","0",733
1,"hzbV1I",1,22,2023,2,"Afghanistan","AFG","AFG",164,"Serbia and Kosovo: S/RES/1244 (1999)","SRB","SRB",38,"0","0","-","0","0",235
1,"hzbV1I",1,23,2024,2,"Afghanistan","AFG","AFG",164,"Serbia and Kosovo: S/RES/1244 (1999)","SRB","SRB",101,8,"0","-","0","0",118
1,"hzbV1I",1,24,2025,2,"Afghanistan","AFG","AFG",164,"Serbia and Kosovo: S/RES/1244 (1999)","SRB","SRB",73,5,"0","-","0","0",54
1,"hzbV1I",1,25,1965,3,"Albania","ALB","ALB",164,"Serbia and Kosovo: S/RES/1244 (1999)","SRB","SRB",4860,"0","0","-","0","0","0"
1,"hzbV1I",1,26,1966,3,"Albania","ALB","ALB",164,"Serbia and Kosovo: S/RES/1244 (1999)","SRB","SRB",4860,"0","0","-","0","0","0"
1,"hzbV1I",1,27,1967,3,"Albania","ALB","ALB",164,"Serbia and Kosovo: S/RES/1244 (1999)","SRB","SRB",4260,"0","0","-","0","0","0"
1,"hzbV1I",1,28,1968,3,"Albania","ALB","ALB",164,"Serbia and Kosovo: S/RES/1244 (1999)","SRB","SRB",4120,"0","0","-","0","0","0"
1,"hzbV1I",1,29,1969,3,"Albania","ALB","ALB",164,"Serbia and Kosovo: S/RES/1244 (1999)","SRB","SRB",3920,"0","0","-","0","0","0"
1,"hzbV1I",1,30,1970,3,"Albania","ALB","ALB",164,"Serbia and Kosovo: S/RES/1244 (1999)","SRB","SRB",3920,"0","0","-","0","0","0"
1,"hzbV1I",1,31,1972,3,"Albania","ALB","ALB",164,"Serbia and Kosovo: S/RES/1244 (1999)","SRB","SRB",1910,"0","0","-","0","0","0"
1,"hzbV1I",1,32,1973,3,"Albania","ALB","ALB",164,"Serbia and Kosovo: S/RES/1244 (1999)","SRB","SRB",1700,"0","0","-","0","0","0"
1,"hzbV1I",1,33,1977,3,"Albania","ALB","ALB",164,"Serbia and Kosovo: S/RES/1244 (1999)","SRB","SRB",2000,"0","0","-","0","0","0"
1,"hzbV1I",1,34,1978,3,"Albania","ALB","ALB",164,"Serbia and Kosovo: S/RES/1244 (1999)","SRB","SRB",1610,"0","0","-","0","0","0"
1,"hzbV1I",1,35,1979,3,"Albania","ALB","ALB",164,"Serbia and Kosovo: S/RES/1244 (1999)","SRB","SRB",1610,"0","0","-","0","0","0"
1,"hzbV1I",1,36,1980,3,"Albania","ALB","ALB",164,"Serbia and Kosovo: S/RES/1244 (1999)","SRB","SRB",1610,"0","0","-","0","0","0"
1,"hzbV1I",1,37,1981,3,"Albania","ALB","ALB",164,"Serbia and Kosovo: S/RES/1244 (1999)","SRB","SRB",1610,"0","0","-","0","0","0"
1,"hzbV1I",1,38,1982,3,"Albania","ALB","ALB",164,"Serbia and Kosovo: S/RES/1244 (1999)","SRB","SRB",1570,"0","0","-","0","0","0"
1,"hzbV1I",1,39,1983,3,"Albania","ALB","ALB",164,"Serbia and Kosovo: S/RES/1244 (1999)","SRB","SRB",1520,"0","0","-","0","0","0"
1,"hzbV1I",1,40,1984,3,"Albania","ALB","ALB",164,"Serbia and Kosovo: S/RES/1244 (1999)","SRB","SRB",1470,"0","0","-","0","0","0"
1,"hzbV1I",1,41,1985,3,"Albania","ALB","ALB",164,"Serbia and Kosovo: S/RES/1244 (1999)","SRB","SRB",1480,"0","0","-","0","0","0"
1,"hzbV1I",1,42,1987,3,"Albania","ALB","ALB",164,"Serbia and Kosovo: S/RES/1244 (1999)","SRB","SRB",60,"0","0","-","0","0","0"
1,"hzbV1I",1,43,1990,3,"Albania","ALB","ALB",164,"Serbia and Kosovo: S/RES/1244 (1999)","SRB","SRB",680,"0","0","-","0","0","0"
