"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","returned_refugees","idps","returned_idps","stateless","ooc","oip","hst"
1,"xxBC7k",1,1,1971,32,"Cambodia","CAM","KHM",174,"Viet Nam","SRV","VNM",57000,"0","0","0","0","0","0","-","0"
1,"xxBC7k",1,2,1972,32,"Cambodia","CAM","KHM",174,"Viet Nam","SRV","VNM",55000,"0","0","0","0","0","0","-","0"
1,"xxBC7k",1,3,1973,32,"Cambodia","CAM","KHM",174,"Viet Nam","SRV","VNM",35000,"0","0","0","0","0","0","-","0"
1,"xxBC7k",1,4,1977,32,"Cambodia","CAM","KHM",174,"Viet Nam","SRV","VNM",60000,"0","0","0","0","0","0","-","0"
1,"xxBC7k",1,5,1978,32,"Cambodia","CAM","KHM",174,"Viet Nam","SRV","VNM",150000,"0","0","0","0","0","0","-","0"
1,"xxBC7k",1,6,1979,32,"Cambodia","CAM","KHM",174,"Viet Nam","SRV","VNM",35000,"0",120000,"0","0","0","0","-","0"
1,"xxBC7k",1,7,1980,32,"Cambodia","CAM","KHM",174,"Viet Nam","SRV","VNM",33000,"0","0","0","0","0","0","-","0"
1,"xxBC7k",1,8,1981,32,"Cambodia","CAM","KHM",174,"Viet Nam","SRV","VNM",30000,"0",3600,"0","0","0","0","-","0"
1,"xxBC7k",1,9,1982,32,"Cambodia","CAM","KHM",174,"Viet Nam","SRV","VNM",25960,"0","0","0","0","0","0","-","0"
1,"xxBC7k",1,10,1983,32,"Cambodia","CAM","KHM",174,"Viet Nam","SRV","VNM",21070,"0","0","0","0","0","0","-","0"
1,"xxBC7k",1,11,1984,32,"Cambodia","CAM","KHM",174,"Viet Nam","SRV","VNM",21000,"0","0","0","0","0","0","-","0"
1,"xxBC7k",1,12,1985,32,"Cambodia","CAM","KHM",174,"Viet Nam","SRV","VNM",25000,"0","0","0","0","0","0","-","0"
1,"xxBC7k",1,13,1986,32,"Cambodia","CAM","KHM",174,"Viet Nam","SRV","VNM",27000,"0","0","0","0","0","0","-","0"
1,"xxBC7k",1,14,1987,32,"Cambodia","CAM","KHM",174,"Viet Nam","SRV","VNM",25000,"0","0","0","0","0","0","-","0"
1,"xxBC7k",1,15,1988,32,"Cambodia","CAM","KHM",174,"Viet Nam","SRV","VNM",27000,"0","0","0","0","0","0","-","0"
1,"xxBC7k",1,16,1989,32,"Cambodia","CAM","KHM",174,"Viet Nam","SRV","VNM",23060,"0","0","0","0","0","0","-","0"
1,"xxBC7k",1,17,1990,32,"Cambodia","CAM","KHM",174,"Viet Nam","SRV","VNM",21150,"0","0","0","0","0","0","-","0"
