"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","idps","oip","stateless","hst","ooc"
1,"50uoSK",1,1,2023,39,"Cameroon","CMR","CMR",175,"Saint Kitts and Nevis","STK","KNA",14,"0","0","-","0","0","0"
1,"50uoSK",1,2,2017,46,"Cuba","CUB","CUB",175,"Saint Kitts and Nevis","STK","KNA","0",5,"0","-","0","0","0"
1,"50uoSK",1,3,2018,46,"Cuba","CUB","CUB",175,"Saint Kitts and Nevis","STK","KNA",5,"0","0","-","0","0","0"
1,"50uoSK",1,4,2019,46,"Cuba","CUB","CUB",175,"Saint Kitts and Nevis","STK","KNA",5,"0","0","-","0","0","0"
1,"50uoSK",1,5,2023,46,"Cuba","CUB","CUB",175,"Saint Kitts and Nevis","STK","KNA",5,"0","0","-","0","0","0"
1,"50uoSK",1,6,2024,46,"Cuba","CUB","CUB",175,"Saint Kitts and Nevis","STK","KNA",5,"0","0","-","0","0","0"
1,"50uoSK",1,7,2025,46,"Cuba","CUB","CUB",175,"Saint Kitts and Nevis","STK","KNA",5,"0","0","-","0","0","0"
1,"50uoSK",1,8,2020,207,"Venezuela (Bolivarian Republic of)","VEN","VEN",175,"Saint Kitts and Nevis","STK","KNA","0","0","0",19,"0","0","0"
1,"50uoSK",1,9,2021,207,"Venezuela (Bolivarian Republic of)","VEN","VEN",175,"Saint Kitts and Nevis","STK","KNA","0","0","0",60,"0","0","0"
1,"50uoSK",1,10,2022,207,"Venezuela (Bolivarian Republic of)","VEN","VEN",175,"Saint Kitts and Nevis","STK","KNA","0","0","0","-","0","0",60
