"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","returned_refugees","idps","returned_idps","stateless","ooc","oip","hst"
1,"i17mTC",1,1,1992,81,"Haiti","HAI","HTI",178,"Suriname","SUR","SUR",52,"0","0","0","0","0","0",null,"0"
1,"i17mTC",1,2,1993,81,"Haiti","HAI","HTI",178,"Suriname","SUR","SUR",50,"0","0","0","0","0","0",null,"0"
1,"i17mTC",1,3,1994,81,"Haiti","HAI","HTI",178,"Suriname","SUR","SUR",39,"0",11,"0","0","0","0",null,"0"
1,"i17mTC",1,4,1997,81,"Haiti","HAI","HTI",178,"Suriname","SUR","SUR",11,"0","0","0","0","0","0",null,"0"
1,"i17mTC",1,5,2016,46,"Cuba","CUB","CUB",178,"Suriname","SUR","SUR","0",38,"0","0","0","0","0",null,"0"
1,"i17mTC",1,6,2016,106,"Liberia","LBR","LBR",178,"Suriname","SUR","SUR","0",5,"0","0","0","0","0",null,"0"
1,"i17mTC",1,7,2017,46,"Cuba","CUB","CUB",178,"Suriname","SUR","SUR",29,62,"0","0","0","0","0",null,"0"
1,"i17mTC",1,8,2017,53,"Dominican Rep.","DOM","DOM",178,"Suriname","SUR","SUR","0",5,"0","0","0","0","0",null,"0"
1,"i17mTC",1,9,2017,95,"Jamaica","JAM","JAM",178,"Suriname","SUR","SUR",5,"0","0","0","0","0","0",null,"0"
1,"i17mTC",1,10,2018,46,"Cuba","CUB","CUB",178,"Suriname","SUR","SUR",30,158,"0","0","0","0","0",null,"0"
1,"i17mTC",1,11,2018,53,"Dominican Rep.","DOM","DOM",178,"Suriname","SUR","SUR","0",14,"0","0","0","0","0",null,"0"
1,"i17mTC",1,12,2018,95,"Jamaica","JAM","JAM",178,"Suriname","SUR","SUR",5,"0","0","0","0","0","0",null,"0"
1,"i17mTC",1,13,2018,207,"Venezuela (Bolivarian Republic of)","VEN","VEN",178,"Suriname","SUR","SUR",6,34,"0","0","0","0","0",null,"0"
1,"i17mTC",1,14,2019,44,"Colombia","COL","COL",178,"Suriname","SUR","SUR","0",5,"0","0","0","0","0",null,"0"
1,"i17mTC",1,15,2019,46,"Cuba","CUB","CUB",178,"Suriname","SUR","SUR",36,1187,"0","0","0","0","0",null,"0"
1,"i17mTC",1,16,2019,53,"Dominican Rep.","DOM","DOM",178,"Suriname","SUR","SUR","0",14,"0","0","0","0","0",null,"0"
1,"i17mTC",1,17,2019,141,"Nigeria","NIG","NGA",178,"Suriname","SUR","SUR","0",5,"0","0","0","0","0",null,"0"
1,"i17mTC",1,18,2019,207,"Venezuela (Bolivarian Republic of)","VEN","VEN",178,"Suriname","SUR","SUR",8,215,"0","0","0","0","0",null,"0"
1,"i17mTC",1,19,2020,44,"Colombia","COL","COL",178,"Suriname","SUR","SUR","0",5,"0","0","0","0","0",null,"0"
1,"i17mTC",1,20,2020,46,"Cuba","CUB","CUB",178,"Suriname","SUR","SUR",7,1703,10,"0","0","0","0",null,"0"
1,"i17mTC",1,21,2020,53,"Dominican Rep.","DOM","DOM",178,"Suriname","SUR","SUR","0",8,"0","0","0","0","0",null,"0"
1,"i17mTC",1,22,2020,141,"Nigeria","NIG","NGA",178,"Suriname","SUR","SUR","0",5,"0","0","0","0","0",null,"0"
1,"i17mTC",1,23,2020,207,"Venezuela (Bolivarian Republic of)","VEN","VEN",178,"Suriname","SUR","SUR",12,267,"0","0","0","0","0",null,"0"
1,"i17mTC",1,24,2021,44,"Colombia","COL","COL",178,"Suriname","SUR","SUR","0",6,"0","0","0","0","0",null,"0"
1,"i17mTC",1,25,2021,46,"Cuba","CUB","CUB",178,"Suriname","SUR","SUR",17,1777,"0","0","0","0","0",null,"0"
1,"i17mTC",1,26,2021,53,"Dominican Rep.","DOM","DOM",178,"Suriname","SUR","SUR","0",9,"0","0","0","0","0",null,"0"
1,"i17mTC",1,27,2021,80,"Guyana","GUY","GUY",178,"Suriname","SUR","SUR","0",5,"0","0","0","0","0",null,"0"
1,"i17mTC",1,28,2021,141,"Nigeria","NIG","NGA",178,"Suriname","SUR","SUR","0",5,"0","0","0","0","0",null,"0"
1,"i17mTC",1,29,2021,207,"Venezuela (Bolivarian Republic of)","VEN","VEN",178,"Suriname","SUR","SUR",12,331,"0","0","0","0","0",null,"0"
1,"i17mTC",1,30,2022,44,"Colombia","COL","COL",178,"Suriname","SUR","SUR","0",10,"0","0","0","0","0",null,"0"
1,"i17mTC",1,31,2022,46,"Cuba","CUB","CUB",178,"Suriname","SUR","SUR",17,2017,"0","0","0","0","0",null,"0"
1,"i17mTC",1,32,2022,53,"Dominican Rep.","DOM","DOM",178,"Suriname","SUR","SUR","0",6,"0","0","0","0","0",null,"0"
1,"i17mTC",1,33,2022,81,"Haiti","HAI","HTI",178,"Suriname","SUR","SUR","0",5,"0","0","0","0","0",null,"0"
1,"i17mTC",1,34,2022,141,"Nigeria","NIG","NGA",178,"Suriname","SUR","SUR","0",5,"0","0","0","0","0",null,"0"
1,"i17mTC",1,35,2022,207,"Venezuela (Bolivarian Republic of)","VEN","VEN",178,"Suriname","SUR","SUR",13,413,"0","0","0","0","0",null,"0"
