"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","returned_refugees","idps","returned_idps","stateless","ooc","oip","hst"
1,"eH59P7",1,1,1992,29,"Bosnia and Herzegovina","BSN","BIH",181,"Slovenia","SVN","SVN",72440,"0",10300,"0","0","0","0","-","0"
1,"eH59P7",1,2,1992,84,"Croatia","HRV","HRV",181,"Slovenia","SVN","SVN",1660,"0",29360,"0","0","0","0","-","0"
1,"eH59P7",1,3,1993,29,"Bosnia and Herzegovina","BSN","BIH",181,"Slovenia","SVN","SVN",44321,"0","0","0","0","0","0","-","0"
1,"eH59P7",1,4,1993,84,"Croatia","HRV","HRV",181,"Slovenia","SVN","SVN",679,"0","0","0","0","0","0","-","0"
1,"eH59P7",1,5,1994,29,"Bosnia and Herzegovina","BSN","BIH",181,"Slovenia","SVN","SVN",29156,"0","0","0","0","0","0","-","0"
1,"eH59P7",1,6,1995,29,"Bosnia and Herzegovina","BSN","BIH",181,"Slovenia","SVN","SVN",18804,"0",8,"0","0","0","0","-","0"
1,"eH59P7",1,7,1995,262,"Unknown ","UKN","UNK",181,"Slovenia","SVN","SVN",3510,"0","0","0","0","0","0","-","0"
1,"eH59P7",1,8,1996,29,"Bosnia and Herzegovina","BSN","BIH",181,"Slovenia","SVN","SVN",8337,"0",1674,"0","0","0","0","-","0"
1,"eH59P7",1,9,1996,262,"Unknown ","UKN","UNK",181,"Slovenia","SVN","SVN",1677,"0",1323,"0","0","0","0","-","0"
1,"eH59P7",1,10,1997,29,"Bosnia and Herzegovina","BSN","BIH",181,"Slovenia","SVN","SVN",4636,"0",2100,"0","0","0","0","-","0"
1,"eH59P7",1,11,1997,164,"Serbia and Kosovo: S/RES/1244 (1999)","SRB","SRB",181,"Slovenia","SVN","SVN",497,"0",700,"0","0","0","0","-","0"
1,"eH59P7",1,12,1998,29,"Bosnia and Herzegovina","BSN","BIH",181,"Slovenia","SVN","SVN",3462,"0",550,"0","0","0","0","-","0"
1,"eH59P7",1,13,1998,164,"Serbia and Kosovo: S/RES/1244 (1999)","SRB","SRB",181,"Slovenia","SVN","SVN","0","0","0","0","0","0",2000,"-","0"
1,"eH59P7",1,14,1998,216,"Stateless","STA","XXA",181,"Slovenia","SVN","SVN","0","0","0","0","0","0",10000,"-","0"
1,"eH59P7",1,15,1998,262,"Unknown ","UKN","UNK",181,"Slovenia","SVN","SVN","0","0","0","0","0","0",131,"-","0"
1,"eH59P7",1,16,1999,29,"Bosnia and Herzegovina","BSN","BIH",181,"Slovenia","SVN","SVN",3122,"0",150,"0","0","0","0","-","0"
1,"eH59P7",1,17,1999,164,"Serbia and Kosovo: S/RES/1244 (1999)","SRB","SRB",181,"Slovenia","SVN","SVN",1258,"0",2843,"0","0","0","0","-","0"
1,"eH59P7",1,18,1999,216,"Stateless","STA","XXA",181,"Slovenia","SVN","SVN","0","0","0","0","0","0",11334,"-","0"
1,"eH59P7",1,19,2000,2,"Afghanistan","AFG","AFG",181,"Slovenia","SVN","SVN","0",238,"0","0","0","0","0","-","0"
1,"eH59P7",1,20,2000,4,"Algeria","ALG","DZA",181,"Slovenia","SVN","SVN","0",165,"0","0","0","0","0","-","0"
1,"eH59P7",1,21,2000,10,"Armenia","ARM","ARM",181,"Slovenia","SVN","SVN","0",37,"0","0","0","0","0","-","0"
1,"eH59P7",1,22,2000,13,"Azerbaijan","AZE","AZE",181,"Slovenia","SVN","SVN","0",5,"0","0","0","0","0","-","0"
1,"eH59P7",1,23,2000,20,"Bangladesh","BGD","BGD",181,"Slovenia","SVN","SVN","0",234,"0","0","0","0","0","-","0"
1,"eH59P7",1,24,2000,29,"Bosnia and Herzegovina","BSN","BIH",181,"Slovenia","SVN","SVN",2804,44,116,"0","0","0","0","-","0"
1,"eH59P7",1,25,2000,37,"China","CHI","CHN",181,"Slovenia","SVN","SVN","0",40,"0","0","0","0","0","-","0"
1,"eH59P7",1,26,2000,39,"Cameroon","CMR","CMR",181,"Slovenia","SVN","SVN","0",5,"0","0","0","0","0","-","0"
1,"eH59P7",1,27,2000,69,"Palestinian","GAZ","PSE",181,"Slovenia","SVN","SVN","0",5,"0","0","0","0","0","-","0"
1,"eH59P7",1,28,2000,73,"Ghana","GHA","GHA",181,"Slovenia","SVN","SVN","0",14,"0","0","0","0","0","-","0"
1,"eH59P7",1,29,2000,84,"Croatia","HRV","HRV",181,"Slovenia","SVN","SVN","0",5,"0","0","0","0","0","-","0"
1,"eH59P7",1,30,2000,88,"India","IND","IND",181,"Slovenia","SVN","SVN","0",68,"0","0","0","0","0","-","0"
1,"eH59P7",1,31,2000,91,"Iran (Islamic Rep. of)","IRN","IRN",181,"Slovenia","SVN","SVN","0",5687,"0","0","0","0","0","-","0"
