"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","idps","oip","stateless","hst","ooc"
1,"763kLc",1,1,2024,25,"Bolivia (Plurinational State of)","BOL","BOL",255,"Sint Maarten (Dutch part)","SXM","SXM","0",5,"0","-","0","0","0"
1,"763kLc",1,2,2025,25,"Bolivia (Plurinational State of)","BOL","BOL",255,"Sint Maarten (Dutch part)","SXM","SXM","0",5,"0","-","0","0","0"
1,"763kLc",1,3,2023,44,"Colombia","COL","COL",255,"Sint Maarten (Dutch part)","SXM","SXM",5,13,"0","-","0","0","0"
1,"763kLc",1,4,2024,44,"Colombia","COL","COL",255,"Sint Maarten (Dutch part)","SXM","SXM",7,15,"0","-","0","0","0"
1,"763kLc",1,5,2025,44,"Colombia","COL","COL",255,"Sint Maarten (Dutch part)","SXM","SXM",7,15,"0","-","0","0","0"
1,"763kLc",1,6,2012,46,"Cuba","CUB","CUB",255,"Sint Maarten (Dutch part)","SXM","SXM","0",5,"0","-","0","0","0"
1,"763kLc",1,7,2014,46,"Cuba","CUB","CUB",255,"Sint Maarten (Dutch part)","SXM","SXM","0",5,"0","-","0","0","0"
1,"763kLc",1,8,2015,46,"Cuba","CUB","CUB",255,"Sint Maarten (Dutch part)","SXM","SXM","0",5,"0","-","0","0","0"
1,"763kLc",1,9,2016,46,"Cuba","CUB","CUB",255,"Sint Maarten (Dutch part)","SXM","SXM","0",5,"0","-","0","0","0"
1,"763kLc",1,10,2019,46,"Cuba","CUB","CUB",255,"Sint Maarten (Dutch part)","SXM","SXM","0",5,"0","-","0","0","0"
1,"763kLc",1,11,2024,81,"Haiti","HAI","HTI",255,"Sint Maarten (Dutch part)","SXM","SXM",5,"0","0","-","0","0","0"
1,"763kLc",1,12,2025,81,"Haiti","HAI","HTI",255,"Sint Maarten (Dutch part)","SXM","SXM",5,"0","0","-","0","0","0"
1,"763kLc",1,13,2010,91,"Iran (Islamic Rep. of)","IRN","IRN",255,"Sint Maarten (Dutch part)","SXM","SXM","0",5,"0","-","0","0","0"
1,"763kLc",1,14,2011,91,"Iran (Islamic Rep. of)","IRN","IRN",255,"Sint Maarten (Dutch part)","SXM","SXM",5,"0","0","-","0","0","0"
1,"763kLc",1,15,2012,91,"Iran (Islamic Rep. of)","IRN","IRN",255,"Sint Maarten (Dutch part)","SXM","SXM",5,"0","0","-","0","0","0"
1,"763kLc",1,16,2013,91,"Iran (Islamic Rep. of)","IRN","IRN",255,"Sint Maarten (Dutch part)","SXM","SXM",5,"0","0","-","0","0","0"
1,"763kLc",1,17,2014,91,"Iran (Islamic Rep. of)","IRN","IRN",255,"Sint Maarten (Dutch part)","SXM","SXM",5,"0","0","-","0","0","0"
1,"763kLc",1,18,2015,91,"Iran (Islamic Rep. of)","IRN","IRN",255,"Sint Maarten (Dutch part)","SXM","SXM",5,"0","0","-","0","0","0"
1,"763kLc",1,19,2016,91,"Iran (Islamic Rep. of)","IRN","IRN",255,"Sint Maarten (Dutch part)","SXM","SXM",5,"0","0","-","0","0","0"
1,"763kLc",1,20,2017,91,"Iran (Islamic Rep. of)","IRN","IRN",255,"Sint Maarten (Dutch part)","SXM","SXM",5,"0","0","-","0","0","0"
1,"763kLc",1,21,2018,91,"Iran (Islamic Rep. of)","IRN","IRN",255,"Sint Maarten (Dutch part)","SXM","SXM",5,"0","0","-","0","0","0"
1,"763kLc",1,22,2019,91,"Iran (Islamic Rep. of)","IRN","IRN",255,"Sint Maarten (Dutch part)","SXM","SXM",5,"0","0","-","0","0","0"
1,"763kLc",1,23,2015,185,"Syrian Arab Rep.","SYR","SYR",255,"Sint Maarten (Dutch part)","SXM","SXM","0",5,"0","-","0","0","0"
1,"763kLc",1,24,2020,207,"Venezuela (Bolivarian Republic of)","VEN","VEN",255,"Sint Maarten (Dutch part)","SXM","SXM","0",8,"0","-","0","0","0"
1,"763kLc",1,25,2021,207,"Venezuela (Bolivarian Republic of)","VEN","VEN",255,"Sint Maarten (Dutch part)","SXM","SXM","0",41,"0","-","0","0","0"
1,"763kLc",1,26,2022,207,"Venezuela (Bolivarian Republic of)","VEN","VEN",255,"Sint Maarten (Dutch part)","SXM","SXM","0",122,"0","-","0","0","0"
1,"763kLc",1,27,2023,207,"Venezuela (Bolivarian Republic of)","VEN","VEN",255,"Sint Maarten (Dutch part)","SXM","SXM","0",115,"0","-","0","0",10
1,"763kLc",1,28,2024,207,"Venezuela (Bolivarian Republic of)","VEN","VEN",255,"Sint Maarten (Dutch part)","SXM","SXM","0",124,"0","-","0","0",12
1,"763kLc",1,29,2025,207,"Venezuela (Bolivarian Republic of)","VEN","VEN",255,"Sint Maarten (Dutch part)","SXM","SXM",5,122,"0","-","0","0",12
