"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","idps","oip","stateless","hst","ooc"
1,"P4Ry7H",1,1,2024,2,"Afghanistan","AFG","AFG",186,"United Rep. of Tanzania","TAN","TZA","0",7,"0","-","0","0","0"
1,"P4Ry7H",1,2,2025,2,"Afghanistan","AFG","AFG",186,"United Rep. of Tanzania","TAN","TZA","0",9,"0","-","0","0","0"
1,"P4Ry7H",1,3,2012,6,"Angola","ANG","AGO",186,"United Rep. of Tanzania","TAN","TZA","0",5,"0","-","0","0","0"
1,"P4Ry7H",1,4,2024,8,"Egypt","ARE","EGY",186,"United Rep. of Tanzania","TAN","TZA","0",6,"0","-","0","0","0"
1,"P4Ry7H",1,5,2025,8,"Egypt","ARE","EGY",186,"United Rep. of Tanzania","TAN","TZA","0",6,"0","-","0","0","0"
1,"P4Ry7H",1,6,1972,16,"Burundi","BDI","BDI",186,"United Rep. of Tanzania","TAN","TZA",90000,"0","0","-","0","0","0"
1,"P4Ry7H",1,7,1973,16,"Burundi","BDI","BDI",186,"United Rep. of Tanzania","TAN","TZA",90230,"0","0","-","0","0","0"
1,"P4Ry7H",1,8,1974,16,"Burundi","BDI","BDI",186,"United Rep. of Tanzania","TAN","TZA",90880,"0","0","-","0","0","0"
1,"P4Ry7H",1,9,1975,16,"Burundi","BDI","BDI",186,"United Rep. of Tanzania","TAN","TZA",110540,"0","0","-","0","0","0"
1,"P4Ry7H",1,10,1976,16,"Burundi","BDI","BDI",186,"United Rep. of Tanzania","TAN","TZA",126600,"0","0","-","0","0","0"
1,"P4Ry7H",1,11,1977,16,"Burundi","BDI","BDI",186,"United Rep. of Tanzania","TAN","TZA",134750,"0","0","-","0","0","0"
1,"P4Ry7H",1,12,1978,16,"Burundi","BDI","BDI",186,"United Rep. of Tanzania","TAN","TZA",129580,"0","0","-","0","0","0"
1,"P4Ry7H",1,13,1979,16,"Burundi","BDI","BDI",186,"United Rep. of Tanzania","TAN","TZA",132880,"0","0","-","0","0","0"
1,"P4Ry7H",1,14,1980,16,"Burundi","BDI","BDI",186,"United Rep. of Tanzania","TAN","TZA",148620,"0","0","-","0","0","0"
1,"P4Ry7H",1,15,1981,16,"Burundi","BDI","BDI",186,"United Rep. of Tanzania","TAN","TZA",153700,"0","0","-","0","0","0"
1,"P4Ry7H",1,16,1982,16,"Burundi","BDI","BDI",186,"United Rep. of Tanzania","TAN","TZA",148270,"0","0","-","0","0","0"
1,"P4Ry7H",1,17,1983,16,"Burundi","BDI","BDI",186,"United Rep. of Tanzania","TAN","TZA",148050,"0","0","-","0","0","0"
1,"P4Ry7H",1,18,1984,16,"Burundi","BDI","BDI",186,"United Rep. of Tanzania","TAN","TZA",154240,"0","0","-","0","0","0"
