"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","returned_refugees","idps","returned_idps","stateless","ooc","oip","hst"
1,"2t9SF1",1,1,2012,46,"Cuba","CUB","CUB",187,"Turks and Caicos Islands","TCI","TCA","0",21,"0","0","0","0","0","-","-"
1,"2t9SF1",1,2,2013,46,"Cuba","CUB","CUB",187,"Turks and Caicos Islands","TCI","TCA",5,5,"0","0","0","0","0","-","-"
1,"2t9SF1",1,3,2014,46,"Cuba","CUB","CUB",187,"Turks and Caicos Islands","TCI","TCA",5,5,"0","0","0","0","0","-","-"
1,"2t9SF1",1,4,2015,46,"Cuba","CUB","CUB",187,"Turks and Caicos Islands","TCI","TCA",5,"0","0","0","0","0","0","-","-"
1,"2t9SF1",1,5,2016,46,"Cuba","CUB","CUB",187,"Turks and Caicos Islands","TCI","TCA",5,"0","0","0","0","0","0","-","-"
1,"2t9SF1",1,6,2017,46,"Cuba","CUB","CUB",187,"Turks and Caicos Islands","TCI","TCA",5,"0","0","0","0","0","0","-","-"
1,"2t9SF1",1,7,2018,46,"Cuba","CUB","CUB",187,"Turks and Caicos Islands","TCI","TCA",5,"0","0","0","0","0","0","-","-"
1,"2t9SF1",1,8,2019,46,"Cuba","CUB","CUB",187,"Turks and Caicos Islands","TCI","TCA",5,"0","0","0","0","0","0","-","-"
1,"2t9SF1",1,9,2020,112,"Sri Lanka","LKA","LKA",187,"Turks and Caicos Islands","TCI","TCA",8,"0","0","0","0","0","0","-","-"
1,"2t9SF1",1,10,2021,112,"Sri Lanka","LKA","LKA",187,"Turks and Caicos Islands","TCI","TCA",7,"0","0","0","0","0","0","-","-"
1,"2t9SF1",1,11,2022,112,"Sri Lanka","LKA","LKA",187,"Turks and Caicos Islands","TCI","TCA",7,"0","0","0","0","0","0","-","0"
1,"2t9SF1",1,12,2023,112,"Sri Lanka","LKA","LKA",187,"Turks and Caicos Islands","TCI","TCA",7,"0","0","0","0","0","0","-","0"
