"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","idps","oip","stateless","hst","ooc"
1,"HmP35d",1,1,1993,2,"Afghanistan","AFG","AFG",188,"Thailand","THA","THA",32,"0","0","-","0","0","0"
1,"HmP35d",1,2,1994,2,"Afghanistan","AFG","AFG",188,"Thailand","THA","THA",25,"0","0","-","0","0","0"
1,"HmP35d",1,3,1995,2,"Afghanistan","AFG","AFG",188,"Thailand","THA","THA",21,"0","0","-","0","0","0"
1,"HmP35d",1,4,1996,2,"Afghanistan","AFG","AFG",188,"Thailand","THA","THA",26,"0","0","-","0","0","0"
1,"HmP35d",1,5,1997,2,"Afghanistan","AFG","AFG",188,"Thailand","THA","THA",28,"0","0","-","0","0","0"
1,"HmP35d",1,6,1998,2,"Afghanistan","AFG","AFG",188,"Thailand","THA","THA",27,"0","0","-","0","0","0"
1,"HmP35d",1,7,1999,2,"Afghanistan","AFG","AFG",188,"Thailand","THA","THA",22,"0","0","-","0","0","0"
1,"HmP35d",1,8,2000,2,"Afghanistan","AFG","AFG",188,"Thailand","THA","THA",20,9,"0","-","0","0","0"
1,"HmP35d",1,9,2001,2,"Afghanistan","AFG","AFG",188,"Thailand","THA","THA",19,5,"0","-","0","0","0"
1,"HmP35d",1,10,2002,2,"Afghanistan","AFG","AFG",188,"Thailand","THA","THA",14,5,"0","-","0","0","0"
1,"HmP35d",1,11,2003,2,"Afghanistan","AFG","AFG",188,"Thailand","THA","THA",12,"0","0","-","0","0","0"
1,"HmP35d",1,12,2004,2,"Afghanistan","AFG","AFG",188,"Thailand","THA","THA",5,"0","0","-","0","0","0"
1,"HmP35d",1,13,2005,2,"Afghanistan","AFG","AFG",188,"Thailand","THA","THA",5,"0","0","-","0","0","0"
1,"HmP35d",1,14,2007,2,"Afghanistan","AFG","AFG",188,"Thailand","THA","THA",5,"0","0","-","0","0","0"
1,"HmP35d",1,15,2012,2,"Afghanistan","AFG","AFG",188,"Thailand","THA","THA","0",8,"0","-","0","0","0"
1,"HmP35d",1,16,2013,2,"Afghanistan","AFG","AFG",188,"Thailand","THA","THA",8,10,"0","-","0","0","0"
1,"HmP35d",1,17,2014,2,"Afghanistan","AFG","AFG",188,"Thailand","THA","THA",8,45,"0","-","0","0","0"
1,"HmP35d",1,18,2015,2,"Afghanistan","AFG","AFG",188,"Thailand","THA","THA",16,48,"0","-","0","0","0"
1,"HmP35d",1,19,2016,2,"Afghanistan","AFG","AFG",188,"Thailand","THA","THA",54,17,"0","-","0","0","0"
1,"HmP35d",1,20,2017,2,"Afghanistan","AFG","AFG",188,"Thailand","THA","THA",88,5,"0","-","0","0","0"
1,"HmP35d",1,21,2018,2,"Afghanistan","AFG","AFG",188,"Thailand","THA","THA",136,11,"0","-","0","0","0"
1,"HmP35d",1,22,2019,2,"Afghanistan","AFG","AFG",188,"Thailand","THA","THA",134,18,"0","-","0","0","0"
1,"HmP35d",1,23,2020,2,"Afghanistan","AFG","AFG",188,"Thailand","THA","THA",160,18,"0","-","0","0","0"
1,"HmP35d",1,24,2021,2,"Afghanistan","AFG","AFG",188,"Thailand","THA","THA",168,5,"0","-","0","0","0"
1,"HmP35d",1,25,2022,2,"Afghanistan","AFG","AFG",188,"Thailand","THA","THA",128,18,"0","-","0","0","0"
1,"HmP35d",1,26,2023,2,"Afghanistan","AFG","AFG",188,"Thailand","THA","THA",119,23,"0","-","0","0","0"
