"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","returned_refugees","idps","returned_idps","stateless","ooc","oip","hst"
1,"vYG4V4",1,1,1992,2,"Afghanistan","AFG","AFG",189,"Tajikistan","TJK","TJK",3000,"0","0","0","0","0","0","-","-"
1,"vYG4V4",1,2,1993,2,"Afghanistan","AFG","AFG",189,"Tajikistan","TJK","TJK",300,"0","0","0","0","0","0","-","-"
1,"vYG4V4",1,3,1994,2,"Afghanistan","AFG","AFG",189,"Tajikistan","TJK","TJK",695,"0","0","0","0","0","0","-","-"
1,"vYG4V4",1,4,1995,2,"Afghanistan","AFG","AFG",189,"Tajikistan","TJK","TJK",620,"0",50,"0","0","0","0","-","-"
1,"vYG4V4",1,5,1996,2,"Afghanistan","AFG","AFG",189,"Tajikistan","TJK","TJK",1161,"0",5,"0","0","0","0","-","-"
1,"vYG4V4",1,6,1997,2,"Afghanistan","AFG","AFG",189,"Tajikistan","TJK","TJK",2164,"0","0","0","0","0","0","-","-"
1,"vYG4V4",1,7,1998,2,"Afghanistan","AFG","AFG",189,"Tajikistan","TJK","TJK",3622,"0","0","0","0","0","0","-","-"
1,"vYG4V4",1,8,1999,2,"Afghanistan","AFG","AFG",189,"Tajikistan","TJK","TJK",4531,"0","0","0","0","0","0","-","-"
1,"vYG4V4",1,9,2000,2,"Afghanistan","AFG","AFG",189,"Tajikistan","TJK","TJK",15354,233,"0","0","0","0","0","-","-"
1,"vYG4V4",1,10,2001,2,"Afghanistan","AFG","AFG",189,"Tajikistan","TJK","TJK",15336,376,"0","0","0","0","0","-","-"
1,"vYG4V4",1,11,2002,2,"Afghanistan","AFG","AFG",189,"Tajikistan","TJK","TJK",3427,355,11820,"0","0","0","0","-","-"
1,"vYG4V4",1,12,2003,2,"Afghanistan","AFG","AFG",189,"Tajikistan","TJK","TJK",3304,433,144,"0","0","0","0","-","-"
1,"vYG4V4",1,13,2004,2,"Afghanistan","AFG","AFG",189,"Tajikistan","TJK","TJK",1816,"0",65,"0","0","0","0","-","-"
1,"vYG4V4",1,14,2005,2,"Afghanistan","AFG","AFG",189,"Tajikistan","TJK","TJK",1006,22,25,"0","0","0","0","-","-"
1,"vYG4V4",1,15,2006,2,"Afghanistan","AFG","AFG",189,"Tajikistan","TJK","TJK",917,238,51,"0","0","0","0","-","-"
1,"vYG4V4",1,16,2007,2,"Afghanistan","AFG","AFG",189,"Tajikistan","TJK","TJK",1126,142,27,"0","0","0","0","-","-"
1,"vYG4V4",1,17,2008,2,"Afghanistan","AFG","AFG",189,"Tajikistan","TJK","TJK",1790,41,15,"0","0","0","0","-","-"
1,"vYG4V4",1,18,2009,2,"Afghanistan","AFG","AFG",189,"Tajikistan","TJK","TJK",2673,1510,20,"0","0","0","0","-","-"
1,"vYG4V4",1,19,2010,2,"Afghanistan","AFG","AFG",189,"Tajikistan","TJK","TJK",3126,1607,38,"0","0","0","0","-","-"
1,"vYG4V4",1,20,2011,2,"Afghanistan","AFG","AFG",189,"Tajikistan","TJK","TJK",3270,2011,52,"0","0","0","0","-","-"
1,"vYG4V4",1,21,2012,2,"Afghanistan","AFG","AFG",189,"Tajikistan","TJK","TJK",2196,2122,6,"0","0","0","0","-","-"
1,"vYG4V4",1,22,2013,2,"Afghanistan","AFG","AFG",189,"Tajikistan","TJK","TJK",2004,2253,41,"0","0","0","0","-","-"
1,"vYG4V4",1,23,2014,2,"Afghanistan","AFG","AFG",189,"Tajikistan","TJK","TJK",1975,123,53,"0","0","0",77,"-","-"
1,"vYG4V4",1,24,2015,2,"Afghanistan","AFG","AFG",189,"Tajikistan","TJK","TJK",1950,286,102,"0","0","0",52,"-","-"
1,"vYG4V4",1,25,2016,2,"Afghanistan","AFG","AFG",189,"Tajikistan","TJK","TJK",2711,431,119,"0","0","0","0","-","-"
1,"vYG4V4",1,26,2017,2,"Afghanistan","AFG","AFG",189,"Tajikistan","TJK","TJK",2516,440,102,"0","0","0","0","-","-"
1,"vYG4V4",1,27,2018,2,"Afghanistan","AFG","AFG",189,"Tajikistan","TJK","TJK",2649,315,74,"0","0","0","0","-","-"
1,"vYG4V4",1,28,2019,2,"Afghanistan","AFG","AFG",189,"Tajikistan","TJK","TJK",3783,1413,76,"0","0","0","0","-","-"
1,"vYG4V4",1,29,2020,2,"Afghanistan","AFG","AFG",189,"Tajikistan","TJK","TJK",5573,408,39,"0","0","0","0","-","-"
1,"vYG4V4",1,30,2021,2,"Afghanistan","AFG","AFG",189,"Tajikistan","TJK","TJK",10719,3046,5,"0","0","0","0","-","-"
1,"vYG4V4",1,31,2022,2,"Afghanistan","AFG","AFG",189,"Tajikistan","TJK","TJK",8601,1113,15,"0","0","0","0","-","0"
1,"vYG4V4",1,32,2023,2,"Afghanistan","AFG","AFG",189,"Tajikistan","TJK","TJK",8164,1056,40,"0","0","0","0","-","0"
1,"vYG4V4",1,33,1997,91,"Iran (Islamic Rep. of)","IRN","IRN",189,"Tajikistan","TJK","TJK",5,"0","0","0","0","0","0","-","-"
1,"vYG4V4",1,34,1998,91,"Iran (Islamic Rep. of)","IRN","IRN",189,"Tajikistan","TJK","TJK",5,"0","0","0","0","0","0","-","-"
