"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","returned_refugees","idps","returned_idps","stateless","ooc","oip","hst"
1,"3Nljol",1,1,1993,2,"Afghanistan","AFG","AFG",190,"Turkmenistan","TKM","TKM",400,"0","0","0","0","0","0","-","0"
1,"3Nljol",1,2,1993,189,"Tajikistan","TJK","TJK",190,"Turkmenistan","TKM","TKM",15000,"0","0","0","0","0","0","-","0"
1,"3Nljol",1,3,1994,2,"Afghanistan","AFG","AFG",190,"Turkmenistan","TKM","TKM",400,"0","0","0","0","0","0","-","0"
1,"3Nljol",1,4,1994,189,"Tajikistan","TJK","TJK",190,"Turkmenistan","TKM","TKM",15000,"0","0","0","0","0","0","-","0"
1,"3Nljol",1,5,1995,2,"Afghanistan","AFG","AFG",190,"Turkmenistan","TKM","TKM",3000,"0","0","0","0","0","0","-","0"
1,"3Nljol",1,6,1995,13,"Azerbaijan","AZE","AZE",190,"Turkmenistan","TKM","TKM",300,"0","0","0","0","0","0","-","0"
1,"3Nljol",1,7,1995,91,"Iran (Islamic Rep. of)","IRN","IRN",190,"Turkmenistan","TKM","TKM",14,"0","0","0","0","0","0","-","0"
1,"3Nljol",1,8,1995,160,"Russian Federation","RUS","RUS",190,"Turkmenistan","TKM","TKM",5,"0","0","0","0","0","0","-","0"
1,"3Nljol",1,9,1995,189,"Tajikistan","TJK","TJK",190,"Turkmenistan","TKM","TKM",20000,"0","0","0","0","0","0","-","0"
1,"3Nljol",1,10,1995,262,"Unknown ","UKN","UNK",190,"Turkmenistan","TKM","TKM",5,"0","0","0","0","0","0","-","0"
1,"3Nljol",1,11,1996,2,"Afghanistan","AFG","AFG",190,"Turkmenistan","TKM","TKM",3100,"0",1750,"0","0","0","0","-","0"
1,"3Nljol",1,12,1996,13,"Azerbaijan","AZE","AZE",190,"Turkmenistan","TKM","TKM",290,"0",10,"0","0","0","0","-","0"
1,"3Nljol",1,13,1996,91,"Iran (Islamic Rep. of)","IRN","IRN",190,"Turkmenistan","TKM","TKM",17,"0","0","0","0","0","0","-","0"
1,"3Nljol",1,14,1996,92,"Iraq","IRQ","IRQ",190,"Turkmenistan","TKM","TKM",5,"0","0","0","0","0","0","-","0"
1,"3Nljol",1,15,1996,160,"Russian Federation","RUS","RUS",190,"Turkmenistan","TKM","TKM","0","0",5,"0","0","0","0","-","0"
1,"3Nljol",1,16,1996,189,"Tajikistan","TJK","TJK",190,"Turkmenistan","TKM","TKM",12170,"0",5330,"0","0","0","0","-","0"
1,"3Nljol",1,17,1997,2,"Afghanistan","AFG","AFG",190,"Turkmenistan","TKM","TKM",5450,"0","0","0","0","0","0","-","0"
1,"3Nljol",1,18,1997,13,"Azerbaijan","AZE","AZE",190,"Turkmenistan","TKM","TKM",300,"0","0","0","0","0","0","-","0"
1,"3Nljol",1,19,1997,91,"Iran (Islamic Rep. of)","IRN","IRN",190,"Turkmenistan","TKM","TKM",18,"0","0","0","0","0","0","-","0"
1,"3Nljol",1,20,1997,92,"Iraq","IRQ","IRQ",190,"Turkmenistan","TKM","TKM",14,"0","0","0","0","0","0","-","0"
1,"3Nljol",1,21,1997,160,"Russian Federation","RUS","RUS",190,"Turkmenistan","TKM","TKM",5,"0","0","0","0","0","0","-","0"
