"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","idps","oip","stateless","hst","ooc"
1,"32Hhx9",1,1,2003,89,"Indonesia","INS","IDN",191,"Timor-Leste","TMP","TLS","0",7,"0","-","0","0","0"
1,"32Hhx9",1,2,2004,89,"Indonesia","INS","IDN",191,"Timor-Leste","TMP","TLS","0",8,"0","-","0","0","0"
1,"32Hhx9",1,3,2005,89,"Indonesia","INS","IDN",191,"Timor-Leste","TMP","TLS","0",8,"0","-","0","0","0"
1,"32Hhx9",1,4,2002,112,"Sri Lanka","LKA","LKA",191,"Timor-Leste","TMP","TLS","0",5,"0","-","0","0","0"
1,"32Hhx9",1,5,2003,112,"Sri Lanka","LKA","LKA",191,"Timor-Leste","TMP","TLS","0",5,"0","-","0","0","0"
1,"32Hhx9",1,6,2008,112,"Sri Lanka","LKA","LKA",191,"Timor-Leste","TMP","TLS","0",12,"0","-","0","0","0"
1,"32Hhx9",1,7,2009,112,"Sri Lanka","LKA","LKA",191,"Timor-Leste","TMP","TLS","0",5,"0","-","0","0","0"
1,"32Hhx9",1,8,2014,135,"Myanmar","MYA","MMR",191,"Timor-Leste","TMP","TLS","0","0","0","-","0","0",5
1,"32Hhx9",1,9,2015,135,"Myanmar","MYA","MMR",191,"Timor-Leste","TMP","TLS","0","0","0","-","0","0",5
1,"32Hhx9",1,10,2001,160,"Russian Federation","RUS","RUS",191,"Timor-Leste","TMP","TLS","0",6,"0","-","0","0","0"
1,"32Hhx9",1,11,2003,191,"Timor-Leste","TMP","TLS",191,"Timor-Leste","TMP","TLS","0","0","0","-","0","0",452
1,"32Hhx9",1,12,2006,191,"Timor-Leste","TMP","TLS",191,"Timor-Leste","TMP","TLS","0","0",155231,"-","0","0","0"
1,"32Hhx9",1,13,2007,191,"Timor-Leste","TMP","TLS",191,"Timor-Leste","TMP","TLS","0","0",62625,"-","0","0","0"
1,"32Hhx9",1,14,2008,191,"Timor-Leste","TMP","TLS",191,"Timor-Leste","TMP","TLS","0","0",15860,"-","0","0","0"
