"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","returned_refugees","idps","returned_idps","stateless","ooc","oip","hst"
1,"vCarR5",1,1,2022,2,"Afghanistan","AFG","AFG",195,"Tunisia","TUN","TUN","0",5,"0","0","0","0","0","-","0"
1,"vCarR5",1,2,2023,2,"Afghanistan","AFG","AFG",195,"Tunisia","TUN","TUN",5,"0","0","0","0","0","0","-","0"
1,"vCarR5",1,3,1994,4,"Algeria","ALG","DZA",195,"Tunisia","TUN","TUN",5,"0","0","0","0","0","0","-","0"
1,"vCarR5",1,4,1995,4,"Algeria","ALG","DZA",195,"Tunisia","TUN","TUN",16,"0","0","0","0","0","0","-","0"
1,"vCarR5",1,5,1996,4,"Algeria","ALG","DZA",195,"Tunisia","TUN","TUN",31,"0",19,"0","0","0","0","-","0"
1,"vCarR5",1,6,1997,4,"Algeria","ALG","DZA",195,"Tunisia","TUN","TUN",88,"0","0","0","0","0","0","-","0"
1,"vCarR5",1,7,1998,4,"Algeria","ALG","DZA",195,"Tunisia","TUN","TUN",114,"0","0","0","0","0","0","-","0"
1,"vCarR5",1,8,1999,4,"Algeria","ALG","DZA",195,"Tunisia","TUN","TUN",63,"0","0","0","0","0","0","-","0"
1,"vCarR5",1,9,2000,4,"Algeria","ALG","DZA",195,"Tunisia","TUN","TUN",60,5,"0","0","0","0","0","-","0"
1,"vCarR5",1,10,2001,4,"Algeria","ALG","DZA",195,"Tunisia","TUN","TUN",38,12,"0","0","0","0","0","-","0"
1,"vCarR5",1,11,2002,4,"Algeria","ALG","DZA",195,"Tunisia","TUN","TUN",47,5,"0","0","0","0","0","-","0"
1,"vCarR5",1,12,2003,4,"Algeria","ALG","DZA",195,"Tunisia","TUN","TUN",39,6,"0","0","0","0","0","-","0"
1,"vCarR5",1,13,2004,4,"Algeria","ALG","DZA",195,"Tunisia","TUN","TUN",37,5,"0","0","0","0","0","-","0"
1,"vCarR5",1,14,2005,4,"Algeria","ALG","DZA",195,"Tunisia","TUN","TUN",37,"0","0","0","0","0","0","-","0"
1,"vCarR5",1,15,2006,4,"Algeria","ALG","DZA",195,"Tunisia","TUN","TUN",33,"0","0","0","0","0","0","-","0"
1,"vCarR5",1,16,2007,4,"Algeria","ALG","DZA",195,"Tunisia","TUN","TUN",29,"0","0","0","0","0","0","-","0"
1,"vCarR5",1,17,2008,4,"Algeria","ALG","DZA",195,"Tunisia","TUN","TUN",29,"0","0","0","0","0","0","-","0"
1,"vCarR5",1,18,2009,4,"Algeria","ALG","DZA",195,"Tunisia","TUN","TUN",25,"0","0","0","0","0","0","-","0"
1,"vCarR5",1,19,2010,4,"Algeria","ALG","DZA",195,"Tunisia","TUN","TUN",21,"0",5,"0","0","0","0","-","0"
1,"vCarR5",1,20,2011,4,"Algeria","ALG","DZA",195,"Tunisia","TUN","TUN",22,"0","0","0","0","0","0","-","0"
1,"vCarR5",1,21,2012,4,"Algeria","ALG","DZA",195,"Tunisia","TUN","TUN",20,"0","0","0","0","0","0","-","0"
1,"vCarR5",1,22,2013,4,"Algeria","ALG","DZA",195,"Tunisia","TUN","TUN",20,"0","0","0","0","0","0","-","0"
1,"vCarR5",1,23,2014,4,"Algeria","ALG","DZA",195,"Tunisia","TUN","TUN",15,"0","0","0","0","0","0","-","0"
