"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","returned_refugees","idps","returned_idps","stateless","ooc","oip","hst"
1,"TwL138",1,1,1980,2,"Afghanistan","AFG","AFG",196,"Türkiye","TUR","TUR",5000,"0","0","0","0","0","0","-","-"
1,"TwL138",1,2,1982,2,"Afghanistan","AFG","AFG",196,"Türkiye","TUR","TUR",320,"0","0","0","0","0","0","-","-"
1,"TwL138",1,3,1983,2,"Afghanistan","AFG","AFG",196,"Türkiye","TUR","TUR",340,"0","0","0","0","0","0","-","-"
1,"TwL138",1,4,1995,2,"Afghanistan","AFG","AFG",196,"Türkiye","TUR","TUR",1550,"0","0","0","0","0","0","-","-"
1,"TwL138",1,5,1996,2,"Afghanistan","AFG","AFG",196,"Türkiye","TUR","TUR",1448,"0","0","0","0","0","0","-","-"
1,"TwL138",1,6,1997,2,"Afghanistan","AFG","AFG",196,"Türkiye","TUR","TUR",15,"0","0","0","0","0","0","-","-"
1,"TwL138",1,7,1998,2,"Afghanistan","AFG","AFG",196,"Türkiye","TUR","TUR",21,"0","0","0","0","0","0","-","-"
1,"TwL138",1,8,1999,2,"Afghanistan","AFG","AFG",196,"Türkiye","TUR","TUR",26,"0","0","0","0","0","0","-","-"
1,"TwL138",1,9,2000,2,"Afghanistan","AFG","AFG",196,"Türkiye","TUR","TUR",44,46,6,"0","0","0","0","-","-"
1,"TwL138",1,10,2001,2,"Afghanistan","AFG","AFG",196,"Türkiye","TUR","TUR",106,307,"0","0","0","0","0","-","-"
1,"TwL138",1,11,2002,2,"Afghanistan","AFG","AFG",196,"Türkiye","TUR","TUR",103,80,"0","0","0","0","0","-","-"
1,"TwL138",1,12,2003,2,"Afghanistan","AFG","AFG",196,"Türkiye","TUR","TUR",83,44,"0","0","0","0","0","-","-"
1,"TwL138",1,13,2004,2,"Afghanistan","AFG","AFG",196,"Türkiye","TUR","TUR",64,330,"0","0","0","0","0","-","-"
1,"TwL138",1,14,2005,2,"Afghanistan","AFG","AFG",196,"Türkiye","TUR","TUR",76,256,"0","0","0","0","0","-","-"
1,"TwL138",1,15,2006,2,"Afghanistan","AFG","AFG",196,"Türkiye","TUR","TUR",75,338,10,"0","0","0","0","-","-"
1,"TwL138",1,16,2007,2,"Afghanistan","AFG","AFG",196,"Türkiye","TUR","TUR",212,701,"0","0","0","0","0","-","-"
1,"TwL138",1,17,2008,2,"Afghanistan","AFG","AFG",196,"Türkiye","TUR","TUR",347,2816,"0","0","0","0","0","-","-"
