"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","returned_refugees","idps","returned_idps","stateless","ooc","oip","hst"
1,"my4Y8T",1,1,1980,2,"Afghanistan","AFG","AFG",198,"United Arab Emirates","UAE","ARE",1500,"0","0","0","0","0","0","-","0"
1,"my4Y8T",1,2,1981,2,"Afghanistan","AFG","AFG",198,"United Arab Emirates","UAE","ARE",1500,"0","0","0","0","0","0","-","0"
1,"my4Y8T",1,3,1982,2,"Afghanistan","AFG","AFG",198,"United Arab Emirates","UAE","ARE",1500,"0","0","0","0","0","0","-","0"
1,"my4Y8T",1,4,1983,2,"Afghanistan","AFG","AFG",198,"United Arab Emirates","UAE","ARE",1500,"0","0","0","0","0","0","-","0"
1,"my4Y8T",1,5,1984,2,"Afghanistan","AFG","AFG",198,"United Arab Emirates","UAE","ARE",2500,"0","0","0","0","0","0","-","0"
1,"my4Y8T",1,6,1985,2,"Afghanistan","AFG","AFG",198,"United Arab Emirates","UAE","ARE",3200,"0","0","0","0","0","0","-","0"
1,"my4Y8T",1,7,1997,2,"Afghanistan","AFG","AFG",198,"United Arab Emirates","UAE","ARE",5,"0","0","0","0","0","0","-","0"
1,"my4Y8T",1,8,2000,2,"Afghanistan","AFG","AFG",198,"United Arab Emirates","UAE","ARE",6,12,"0","0","0","0","0","-","0"
1,"my4Y8T",1,9,2001,2,"Afghanistan","AFG","AFG",198,"United Arab Emirates","UAE","ARE",6,16,"0","0","0","0","0","-","0"
1,"my4Y8T",1,10,2002,2,"Afghanistan","AFG","AFG",198,"United Arab Emirates","UAE","ARE",6,16,"0","0","0","0","0","-","0"
1,"my4Y8T",1,11,2003,2,"Afghanistan","AFG","AFG",198,"United Arab Emirates","UAE","ARE",6,"0","0","0","0","0","0","-","0"
1,"my4Y8T",1,12,2006,2,"Afghanistan","AFG","AFG",198,"United Arab Emirates","UAE","ARE",5,"0","0","0","0","0","0","-","0"
1,"my4Y8T",1,13,2007,2,"Afghanistan","AFG","AFG",198,"United Arab Emirates","UAE","ARE",5,"0","0","0","0","0","0","-","0"
1,"my4Y8T",1,14,2009,2,"Afghanistan","AFG","AFG",198,"United Arab Emirates","UAE","ARE",5,"0","0","0","0","0","0","-","0"
1,"my4Y8T",1,15,2010,2,"Afghanistan","AFG","AFG",198,"United Arab Emirates","UAE","ARE",5,16,"0","0","0","0","0","-","0"
1,"my4Y8T",1,16,2011,2,"Afghanistan","AFG","AFG",198,"United Arab Emirates","UAE","ARE","0",6,"0","0","0","0","0","-","0"
1,"my4Y8T",1,17,2012,2,"Afghanistan","AFG","AFG",198,"United Arab Emirates","UAE","ARE","0",6,"0","0","0","0","0","-","0"
1,"my4Y8T",1,18,2014,2,"Afghanistan","AFG","AFG",198,"United Arab Emirates","UAE","ARE",5,"0","0","0","0","0","0","-","0"
1,"my4Y8T",1,19,2016,2,"Afghanistan","AFG","AFG",198,"United Arab Emirates","UAE","ARE","0",18,"0","0","0","0","0","-","0"
1,"my4Y8T",1,20,2017,2,"Afghanistan","AFG","AFG",198,"United Arab Emirates","UAE","ARE",5,14,"0","0","0","0","0","-","0"
1,"my4Y8T",1,21,2018,2,"Afghanistan","AFG","AFG",198,"United Arab Emirates","UAE","ARE",5,20,"0","0","0","0","0","-","0"
1,"my4Y8T",1,22,2019,2,"Afghanistan","AFG","AFG",198,"United Arab Emirates","UAE","ARE",5,25,"0","0","0","0","0","-","0"
1,"my4Y8T",1,23,2020,2,"Afghanistan","AFG","AFG",198,"United Arab Emirates","UAE","ARE",5,25,"0","0","0","0","0","-","0"
1,"my4Y8T",1,24,2021,2,"Afghanistan","AFG","AFG",198,"United Arab Emirates","UAE","ARE",5,30,"0","0","0","0","0","-","0"
1,"my4Y8T",1,25,2022,2,"Afghanistan","AFG","AFG",198,"United Arab Emirates","UAE","ARE",10,24,"0","0","0","0","0","-","0"
1,"my4Y8T",1,26,2023,2,"Afghanistan","AFG","AFG",198,"United Arab Emirates","UAE","ARE",6,24,"0","0","0","0","0","-","0"
1,"my4Y8T",1,27,2024,2,"Afghanistan","AFG","AFG",198,"United Arab Emirates","UAE","ARE",5,11,"0","0","0","0","0","-","0"
1,"my4Y8T",1,28,2025,2,"Afghanistan","AFG","AFG",198,"United Arab Emirates","UAE","ARE",5,13,"0","0","0","0","0","-","0"
1,"my4Y8T",1,29,1998,4,"Algeria","ALG","DZA",198,"United Arab Emirates","UAE","ARE",5,"0","0","0","0","0","0","-","0"
1,"my4Y8T",1,30,2019,4,"Algeria","ALG","DZA",198,"United Arab Emirates","UAE","ARE","0","0","0","0","0","0",5,"-","0"
1,"my4Y8T",1,31,2020,4,"Algeria","ALG","DZA",198,"United Arab Emirates","UAE","ARE","0","0","0","0","0","0",5,"-","0"
1,"my4Y8T",1,32,2021,4,"Algeria","ALG","DZA",198,"United Arab Emirates","UAE","ARE","0","0","0","0","0","0",5,"-","0"
1,"my4Y8T",1,33,2022,4,"Algeria","ALG","DZA",198,"United Arab Emirates","UAE","ARE","0","0","0","0","0","0",5,"-","0"
1,"my4Y8T",1,34,2023,4,"Algeria","ALG","DZA",198,"United Arab Emirates","UAE","ARE","0","0","0","0","0","0",5,"-","0"
1,"my4Y8T",1,35,2024,4,"Algeria","ALG","DZA",198,"United Arab Emirates","UAE","ARE","0","0","0","0","0","0",5,"-","0"
1,"my4Y8T",1,36,2025,4,"Algeria","ALG","DZA",198,"United Arab Emirates","UAE","ARE","0","0","0","0","0","0",5,"-","0"
1,"my4Y8T",1,37,2018,8,"Egypt","ARE","EGY",198,"United Arab Emirates","UAE","ARE","0","0","0","0","0","0",6,"-","0"
1,"my4Y8T",1,38,2019,8,"Egypt","ARE","EGY",198,"United Arab Emirates","UAE","ARE",8,6,"0","0","0","0",10,"-","0"
1,"my4Y8T",1,39,2020,8,"Egypt","ARE","EGY",198,"United Arab Emirates","UAE","ARE",5,8,"0","0","0","0",10,"-","0"
1,"my4Y8T",1,40,2021,8,"Egypt","ARE","EGY",198,"United Arab Emirates","UAE","ARE",5,8,"0","0","0","0",10,"-","0"
1,"my4Y8T",1,41,2022,8,"Egypt","ARE","EGY",198,"United Arab Emirates","UAE","ARE",5,6,"0","0","0","0",10,"-","0"
1,"my4Y8T",1,42,2023,8,"Egypt","ARE","EGY",198,"United Arab Emirates","UAE","ARE",5,6,"0","0","0","0",8,"-","0"
1,"my4Y8T",1,43,2024,8,"Egypt","ARE","EGY",198,"United Arab Emirates","UAE","ARE",5,5,"0","0","0","0",6,"-","0"
1,"my4Y8T",1,44,2025,8,"Egypt","ARE","EGY",198,"United Arab Emirates","UAE","ARE",5,5,"0","0","0","0",6,"-","0"
1,"my4Y8T",1,45,1993,29,"Bosnia and Herzegovina","BSN","BIH",198,"United Arab Emirates","UAE","ARE",5,"0","0","0","0","0","0","-","0"
1,"my4Y8T",1,46,1994,29,"Bosnia and Herzegovina","BSN","BIH",198,"United Arab Emirates","UAE","ARE",6,"0","0","0","0","0","0","-","0"
1,"my4Y8T",1,47,1995,29,"Bosnia and Herzegovina","BSN","BIH",198,"United Arab Emirates","UAE","ARE",5,"0","0","0","0","0","0","-","0"
1,"my4Y8T",1,48,1996,29,"Bosnia and Herzegovina","BSN","BIH",198,"United Arab Emirates","UAE","ARE","0","0",5,"0","0","0","0","-","0"
1,"my4Y8T",1,49,2019,36,"Chad","CHD","TCD",198,"United Arab Emirates","UAE","ARE",6,"0","0","0","0","0","0","-","0"
1,"my4Y8T",1,50,2020,36,"Chad","CHD","TCD",198,"United Arab Emirates","UAE","ARE",6,"0","0","0","0","0","0","-","0"
1,"my4Y8T",1,51,2021,36,"Chad","CHD","TCD",198,"United Arab Emirates","UAE","ARE",7,"0","0","0","0","0","0","-","0"
1,"my4Y8T",1,52,2003,37,"China","CHI","CHN",198,"United Arab Emirates","UAE","ARE","0",5,"0","0","0","0","0","-","0"
1,"my4Y8T",1,53,2004,37,"China","CHI","CHN",198,"United Arab Emirates","UAE","ARE","0",5,"0","0","0","0","0","-","0"
1,"my4Y8T",1,54,1997,56,"Eritrea","ERT","ERI",198,"United Arab Emirates","UAE","ARE",7,"0","0","0","0","0","0","-","0"
1,"my4Y8T",1,55,1998,56,"Eritrea","ERT","ERI",198,"United Arab Emirates","UAE","ARE",7,"0","0","0","0","0","0","-","0"
1,"my4Y8T",1,56,1999,56,"Eritrea","ERT","ERI",198,"United Arab Emirates","UAE","ARE",6,"0","0","0","0","0","0","-","0"
1,"my4Y8T",1,57,2000,56,"Eritrea","ERT","ERI",198,"United Arab Emirates","UAE","ARE",6,"0","0","0","0","0","0","-","0"
1,"my4Y8T",1,58,2001,56,"Eritrea","ERT","ERI",198,"United Arab Emirates","UAE","ARE",6,"0","0","0","0","0","0","-","0"
1,"my4Y8T",1,59,2002,56,"Eritrea","ERT","ERI",198,"United Arab Emirates","UAE","ARE",6,"0","0","0","0","0","0","-","0"
1,"my4Y8T",1,60,2003,56,"Eritrea","ERT","ERI",198,"United Arab Emirates","UAE","ARE",6,"0","0","0","0","0","0","-","0"
1,"my4Y8T",1,61,2004,56,"Eritrea","ERT","ERI",198,"United Arab Emirates","UAE","ARE",6,"0","0","0","0","0","0","-","0"
1,"my4Y8T",1,62,2005,56,"Eritrea","ERT","ERI",198,"United Arab Emirates","UAE","ARE",6,"0","0","0","0","0","0","-","0"
1,"my4Y8T",1,63,2006,56,"Eritrea","ERT","ERI",198,"United Arab Emirates","UAE","ARE",7,"0","0","0","0","0","0","-","0"
1,"my4Y8T",1,64,2007,56,"Eritrea","ERT","ERI",198,"United Arab Emirates","UAE","ARE",6,"0","0","0","0","0","0","-","0"
1,"my4Y8T",1,65,2008,56,"Eritrea","ERT","ERI",198,"United Arab Emirates","UAE","ARE",7,"0","0","0","0","0","0","-","0"
1,"my4Y8T",1,66,2009,56,"Eritrea","ERT","ERI",198,"United Arab Emirates","UAE","ARE",6,"0","0","0","0","0","0","-","0"
1,"my4Y8T",1,67,2010,56,"Eritrea","ERT","ERI",198,"United Arab Emirates","UAE","ARE",8,"0","0","0","0","0","0","-","0"
1,"my4Y8T",1,68,2011,56,"Eritrea","ERT","ERI",198,"United Arab Emirates","UAE","ARE",8,"0","0","0","0","0","0","-","0"
1,"my4Y8T",1,69,2018,56,"Eritrea","ERT","ERI",198,"United Arab Emirates","UAE","ARE",5,6,"0","0","0","0","0","-","0"
1,"my4Y8T",1,70,2019,56,"Eritrea","ERT","ERI",198,"United Arab Emirates","UAE","ARE","0",7,"0","0","0","0","0","-","0"
1,"my4Y8T",1,71,2020,56,"Eritrea","ERT","ERI",198,"United Arab Emirates","UAE","ARE","0",7,"0","0","0","0","0","-","0"
1,"my4Y8T",1,72,2021,56,"Eritrea","ERT","ERI",198,"United Arab Emirates","UAE","ARE","0",7,"0","0","0","0","0","-","0"
1,"my4Y8T",1,73,2022,56,"Eritrea","ERT","ERI",198,"United Arab Emirates","UAE","ARE","0",7,"0","0","0","0","0","-","0"
1,"my4Y8T",1,74,2023,56,"Eritrea","ERT","ERI",198,"United Arab Emirates","UAE","ARE","0",7,"0","0","0","0","0","-","0"
1,"my4Y8T",1,75,1980,58,"Ethiopia","ETH","ETH",198,"United Arab Emirates","UAE","ARE",600,"0","0","0","0","0","0","-","0"
1,"my4Y8T",1,76,1981,58,"Ethiopia","ETH","ETH",198,"United Arab Emirates","UAE","ARE",1500,"0","0","0","0","0","0","-","0"
