"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","idps","oip","stateless","hst","ooc"
1,"fGO7fD",1,1,2022,2,"Afghanistan","AFG","AFG",199,"Uganda","UGA","UGA",33,"0","0","-","0","0","0"
1,"fGO7fD",1,2,2023,2,"Afghanistan","AFG","AFG",199,"Uganda","UGA","UGA",112,56,"0","-","0","0","0"
1,"fGO7fD",1,3,2024,2,"Afghanistan","AFG","AFG",199,"Uganda","UGA","UGA",234,81,"0","-","0","0","0"
1,"fGO7fD",1,4,2025,2,"Afghanistan","AFG","AFG",199,"Uganda","UGA","UGA",296,73,"0","-","0","0","0"
1,"fGO7fD",1,5,2011,8,"Egypt","ARE","EGY",199,"Uganda","UGA","UGA","0",5,"0","-","0","0","0"
1,"fGO7fD",1,6,2012,8,"Egypt","ARE","EGY",199,"Uganda","UGA","UGA",6,5,"0","-","0","0","0"
1,"fGO7fD",1,7,2013,8,"Egypt","ARE","EGY",199,"Uganda","UGA","UGA",5,5,"0","-","0","0","0"
1,"fGO7fD",1,8,2014,8,"Egypt","ARE","EGY",199,"Uganda","UGA","UGA",5,5,"0","-","0","0","0"
1,"fGO7fD",1,9,2018,8,"Egypt","ARE","EGY",199,"Uganda","UGA","UGA","0",5,"0","-","0","0","0"
1,"fGO7fD",1,10,2019,8,"Egypt","ARE","EGY",199,"Uganda","UGA","UGA","0",8,"0","-","0","0","0"
1,"fGO7fD",1,11,2020,8,"Egypt","ARE","EGY",199,"Uganda","UGA","UGA",7,5,"0","-","0","0","0"
1,"fGO7fD",1,12,2021,8,"Egypt","ARE","EGY",199,"Uganda","UGA","UGA",8,"0","0","-","0","0","0"
1,"fGO7fD",1,13,2022,8,"Egypt","ARE","EGY",199,"Uganda","UGA","UGA",8,"0","0","-","0","0","0"
1,"fGO7fD",1,14,2023,8,"Egypt","ARE","EGY",199,"Uganda","UGA","UGA",8,"0","0","-","0","0","0"
1,"fGO7fD",1,15,2024,8,"Egypt","ARE","EGY",199,"Uganda","UGA","UGA",9,"0","0","-","0","0","0"
1,"fGO7fD",1,16,2025,8,"Egypt","ARE","EGY",199,"Uganda","UGA","UGA",8,"0","0","-","0","0","0"
1,"fGO7fD",1,17,1996,16,"Burundi","BDI","BDI",199,"Uganda","UGA","UGA",5,"0","0","-","0","0","0"
1,"fGO7fD",1,18,1997,16,"Burundi","BDI","BDI",199,"Uganda","UGA","UGA",13,"0","0","-","0","0","0"
1,"fGO7fD",1,19,1998,16,"Burundi","BDI","BDI",199,"Uganda","UGA","UGA",10,"0","0","-","0","0","0"
1,"fGO7fD",1,20,1999,16,"Burundi","BDI","BDI",199,"Uganda","UGA","UGA",81,"0","0","-","0","0","0"
1,"fGO7fD",1,21,2000,16,"Burundi","BDI","BDI",199,"Uganda","UGA","UGA",118,48,"0","-","0","0","0"
1,"fGO7fD",1,22,2001,16,"Burundi","BDI","BDI",199,"Uganda","UGA","UGA",94,54,"0","-","0","0","0"
