"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","returned_refugees","idps","returned_idps","stateless","ooc","oip","hst"
1,"KU5Ks7",1,1,1994,2,"Afghanistan","AFG","AFG",200,"Ukraine","UKR","UKR",2770,"0","0","0","0","0","0","-","0"
1,"KU5Ks7",1,2,1994,6,"Angola","ANG","AGO",200,"Ukraine","UKR","UKR",836,"0",15,"0","0","0","0","-","0"
1,"KU5Ks7",1,3,1994,92,"Iraq","IRQ","IRQ",200,"Ukraine","UKR","UKR",678,"0","0","0","0","0","0","-","0"
1,"KU5Ks7",1,4,1994,112,"Sri Lanka","LKA","LKA",200,"Ukraine","UKR","UKR",393,"0",20,"0","0","0","0","-","0"
1,"KU5Ks7",1,5,1994,172,"Somalia","SOM","SOM",200,"Ukraine","UKR","UKR",334,"0","0","0","0","0","0","-","0"
1,"KU5Ks7",1,6,1994,262,"Unknown ","UKN","UNK",200,"Ukraine","UKR","UKR",182,"0","0","0","0","0","0","-","0"
1,"KU5Ks7",1,7,1995,262,"Unknown ","UKN","UNK",200,"Ukraine","UKR","UKR",5193,"0","0","0","0","0","0","-","0"
1,"KU5Ks7",1,8,1996,2,"Afghanistan","AFG","AFG",200,"Ukraine","UKR","UKR",2500,"0","0","0","0","0","0","-","0"
1,"KU5Ks7",1,9,1996,4,"Algeria","ALG","DZA",200,"Ukraine","UKR","UKR",5,"0","0","0","0","0","0","-","0"
1,"KU5Ks7",1,10,1996,6,"Angola","ANG","AGO",200,"Ukraine","UKR","UKR",231,"0","0","0","0","0","0","-","0"
1,"KU5Ks7",1,11,1996,16,"Burundi","BDI","BDI",200,"Ukraine","UKR","UKR",20,"0","0","0","0","0","0","-","0"
1,"KU5Ks7",1,12,1996,20,"Bangladesh","BGD","BGD",200,"Ukraine","UKR","UKR",5,"0","0","0","0","0","0","-","0"
1,"KU5Ks7",1,13,1996,36,"Chad","CHD","TCD",200,"Ukraine","UKR","UKR",8,"0","0","0","0","0","0","-","0"
1,"KU5Ks7",1,14,1996,39,"Cameroon","CMR","CMR",200,"Ukraine","UKR","UKR",7,"0","0","0","0","0","0","-","0"
1,"KU5Ks7",1,15,1996,40,"Congo","COB","COG",200,"Ukraine","UKR","UKR",23,"0","0","0","0","0","0","-","0"
1,"KU5Ks7",1,16,1996,41,"Dem. Rep. of the Congo","COD","COD",200,"Ukraine","UKR","UKR",30,"0","0","0","0","0","0","-","0"
1,"KU5Ks7",1,17,1996,58,"Ethiopia","ETH","ETH",200,"Ukraine","UKR","UKR",107,"0","0","0","0","0","0","-","0"
1,"KU5Ks7",1,18,1996,69,"Palestinian","GAZ","PSE",200,"Ukraine","UKR","UKR",24,"0","0","0","0","0","0","-","0"
1,"KU5Ks7",1,19,1996,88,"India","IND","IND",200,"Ukraine","UKR","UKR",18,"0","0","0","0","0","0","-","0"
1,"KU5Ks7",1,20,1996,91,"Iran (Islamic Rep. of)","IRN","IRN",200,"Ukraine","UKR","UKR",140,"0","0","0","0","0","0","-","0"
1,"KU5Ks7",1,21,1996,92,"Iraq","IRQ","IRQ",200,"Ukraine","UKR","UKR",211,"0","0","0","0","0","0","-","0"
1,"KU5Ks7",1,22,1996,106,"Liberia","LBR","LBR",200,"Ukraine","UKR","UKR",8,"0","0","0","0","0","0","-","0"
1,"KU5Ks7",1,23,1996,109,"Lebanon","LEB","LBN",200,"Ukraine","UKR","UKR",17,"0","0","0","0","0","0","-","0"
1,"KU5Ks7",1,24,1996,112,"Sri Lanka","LKA","LKA",200,"Ukraine","UKR","UKR",28,"0","0","0","0","0","0","-","0"
1,"KU5Ks7",1,25,1996,141,"Nigeria","NIG","NGA",200,"Ukraine","UKR","UKR",5,"0","0","0","0","0","0","-","0"
1,"KU5Ks7",1,26,1996,161,"Rwanda","RWA","RWA",200,"Ukraine","UKR","UKR",53,"0","0","0","0","0","0","-","0"
1,"KU5Ks7",1,27,1996,172,"Somalia","SOM","SOM",200,"Ukraine","UKR","UKR",120,"0","0","0","0","0","0","-","0"
1,"KU5Ks7",1,28,1996,177,"Sudan","SUD","SDN",200,"Ukraine","UKR","UKR",25,"0","0","0","0","0","0","-","0"
1,"KU5Ks7",1,29,1997,2,"Afghanistan","AFG","AFG",200,"Ukraine","UKR","UKR",3030,"0","0","0","0","0","0","-","0"
1,"KU5Ks7",1,30,1997,4,"Algeria","ALG","DZA",200,"Ukraine","UKR","UKR",8,"0","0","0","0","0","0","-","0"
1,"KU5Ks7",1,31,1997,6,"Angola","ANG","AGO",200,"Ukraine","UKR","UKR",238,"0","0","0","0","0","0","-","0"
1,"KU5Ks7",1,32,1997,10,"Armenia","ARM","ARM",200,"Ukraine","UKR","UKR",6,"0","0","0","0","0","0","-","0"
1,"KU5Ks7",1,33,1997,13,"Azerbaijan","AZE","AZE",200,"Ukraine","UKR","UKR",13,"0","0","0","0","0","0","-","0"
1,"KU5Ks7",1,34,1997,16,"Burundi","BDI","BDI",200,"Ukraine","UKR","UKR",18,"0","0","0","0","0","0","-","0"
1,"KU5Ks7",1,35,1997,20,"Bangladesh","BGD","BGD",200,"Ukraine","UKR","UKR",7,"0","0","0","0","0","0","-","0"
1,"KU5Ks7",1,36,1997,36,"Chad","CHD","TCD",200,"Ukraine","UKR","UKR",8,"0","0","0","0","0","0","-","0"
1,"KU5Ks7",1,37,1997,39,"Cameroon","CMR","CMR",200,"Ukraine","UKR","UKR",13,"0","0","0","0","0","0","-","0"
1,"KU5Ks7",1,38,1997,40,"Congo","COB","COG",200,"Ukraine","UKR","UKR",108,"0","0","0","0","0","0","-","0"
1,"KU5Ks7",1,39,1997,41,"Dem. Rep. of the Congo","COD","COD",200,"Ukraine","UKR","UKR",45,"0","0","0","0","0","0","-","0"
