"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","returned_refugees","idps","returned_idps","stateless","ooc","oip","hst"
1,"a7CNoG",1,1,1993,2,"Afghanistan","AFG","AFG",203,"Uzbekistan","UZB","UZB",8000,"0","0","0","0","0","0","-","-"
1,"a7CNoG",1,2,1994,2,"Afghanistan","AFG","AFG",203,"Uzbekistan","UZB","UZB",8000,"0","0","0","0","0","0","-","-"
1,"a7CNoG",1,3,1995,2,"Afghanistan","AFG","AFG",203,"Uzbekistan","UZB","UZB",2597,"0",58,"0","0","0","0","-","-"
1,"a7CNoG",1,4,1996,2,"Afghanistan","AFG","AFG",203,"Uzbekistan","UZB","UZB",2823,"0",58,"0","0","0","0","-","-"
1,"a7CNoG",1,5,1997,2,"Afghanistan","AFG","AFG",203,"Uzbekistan","UZB","UZB",3075,"0","0","0","0","0","0","-","-"
1,"a7CNoG",1,6,1998,2,"Afghanistan","AFG","AFG",203,"Uzbekistan","UZB","UZB",1061,"0","0","0","0","0","0","-","-"
1,"a7CNoG",1,7,1999,2,"Afghanistan","AFG","AFG",203,"Uzbekistan","UZB","UZB",1002,"0","0","0","0","0","0","-","-"
1,"a7CNoG",1,8,2000,2,"Afghanistan","AFG","AFG",203,"Uzbekistan","UZB","UZB",8348,1235,"0","0","0","0","0","-","-"
1,"a7CNoG",1,9,2001,2,"Afghanistan","AFG","AFG",203,"Uzbekistan","UZB","UZB",9569,1316,"0","0","0","0","0","-","-"
1,"a7CNoG",1,10,2002,2,"Afghanistan","AFG","AFG",203,"Uzbekistan","UZB","UZB",5716,1060,93,"0","0","0","0","-","-"
1,"a7CNoG",1,11,2003,2,"Afghanistan","AFG","AFG",203,"Uzbekistan","UZB","UZB",5470,928,117,"0","0","0","0","-","-"
1,"a7CNoG",1,12,2004,2,"Afghanistan","AFG","AFG",203,"Uzbekistan","UZB","UZB",5238,426,69,"0","0","0","0","-","-"
1,"a7CNoG",1,13,2005,2,"Afghanistan","AFG","AFG",203,"Uzbekistan","UZB","UZB",4740,534,"0","0","0","0","0","-","-"
1,"a7CNoG",1,14,2006,2,"Afghanistan","AFG","AFG",203,"Uzbekistan","UZB","UZB",1415,"0","0","0","0","0","0","-","-"
1,"a7CNoG",1,15,2007,2,"Afghanistan","AFG","AFG",203,"Uzbekistan","UZB","UZB",1047,"0","0","0","0","0","0","-","-"
1,"a7CNoG",1,16,2008,2,"Afghanistan","AFG","AFG",203,"Uzbekistan","UZB","UZB",809,"0",21,"0","0","0","0","-","-"
1,"a7CNoG",1,17,2009,2,"Afghanistan","AFG","AFG",203,"Uzbekistan","UZB","UZB",546,"0","0","0","0","0","0","-","-"
1,"a7CNoG",1,18,2010,2,"Afghanistan","AFG","AFG",203,"Uzbekistan","UZB","UZB",304,"0","0","0","0","0","0","-","-"
1,"a7CNoG",1,19,2011,2,"Afghanistan","AFG","AFG",203,"Uzbekistan","UZB","UZB",211,"0","0","0","0","0","0","-","-"
