"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","returned_refugees","idps","returned_idps","stateless","ooc","oip","hst"
1,"6mX9kD",1,1,1969,46,"Cuba","CUB","CUB",207,"Venezuela (Bolivarian Republic of)","VEN","VEN",14500,"0","0","0","0","0","0","-","0"
1,"6mX9kD",1,2,1969,262,"Unknown ","UKN","UNK",207,"Venezuela (Bolivarian Republic of)","VEN","VEN",500,"0","0","0","0","0","0","-","0"
1,"6mX9kD",1,3,1970,46,"Cuba","CUB","CUB",207,"Venezuela (Bolivarian Republic of)","VEN","VEN",14500,"0","0","0","0","0","0","-","0"
1,"6mX9kD",1,4,1970,262,"Unknown ","UKN","UNK",207,"Venezuela (Bolivarian Republic of)","VEN","VEN",500,"0","0","0","0","0","0","-","0"
1,"6mX9kD",1,5,1971,46,"Cuba","CUB","CUB",207,"Venezuela (Bolivarian Republic of)","VEN","VEN",14500,"0","0","0","0","0","0","-","0"
1,"6mX9kD",1,6,1971,262,"Unknown ","UKN","UNK",207,"Venezuela (Bolivarian Republic of)","VEN","VEN",500,"0","0","0","0","0","0","-","0"
1,"6mX9kD",1,7,1972,46,"Cuba","CUB","CUB",207,"Venezuela (Bolivarian Republic of)","VEN","VEN",14000,"0","0","0","0","0","0","-","0"
1,"6mX9kD",1,8,1972,262,"Unknown ","UKN","UNK",207,"Venezuela (Bolivarian Republic of)","VEN","VEN",700,"0","0","0","0","0","0","-","0"
1,"6mX9kD",1,9,1973,262,"Unknown ","UKN","UNK",207,"Venezuela (Bolivarian Republic of)","VEN","VEN",15400,"0","0","0","0","0","0","-","0"
1,"6mX9kD",1,10,1974,25,"Bolivia (Plurinational State of)","BOL","BOL",207,"Venezuela (Bolivarian Republic of)","VEN","VEN",150,"0","0","0","0","0","0","-","0"
1,"6mX9kD",1,11,1974,38,"Chile","CHL","CHL",207,"Venezuela (Bolivarian Republic of)","VEN","VEN",50,"0","0","0","0","0","0","-","0"
1,"6mX9kD",1,12,1974,46,"Cuba","CUB","CUB",207,"Venezuela (Bolivarian Republic of)","VEN","VEN",600,"0","0","0","0","0","0","-","0"
1,"6mX9kD",1,13,1974,262,"Unknown ","UKN","UNK",207,"Venezuela (Bolivarian Republic of)","VEN","VEN",13550,"0","0","0","0","0","0","-","0"
1,"6mX9kD",1,14,1977,262,"Unknown ","UKN","UNK",207,"Venezuela (Bolivarian Republic of)","VEN","VEN",16000,"0","0","0","0","0","0","-","0"
1,"6mX9kD",1,15,1978,262,"Unknown ","UKN","UNK",207,"Venezuela (Bolivarian Republic of)","VEN","VEN",16000,"0","0","0","0","0","0","-","0"
