"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","idps","oip","stateless","hst","ooc"
1,"PF5wc0",1,1,1997,4,"Algeria","ALG","DZA",211,"Yemen","YEM","YEM",15,"0","0","-","0","0","0"
1,"PF5wc0",1,2,1998,4,"Algeria","ALG","DZA",211,"Yemen","YEM","YEM",15,"0","0","-","0","0","0"
1,"PF5wc0",1,3,1999,4,"Algeria","ALG","DZA",211,"Yemen","YEM","YEM",15,"0","0","-","0","0","0"
1,"PF5wc0",1,4,2000,4,"Algeria","ALG","DZA",211,"Yemen","YEM","YEM",5,"0","0","-","0","0","0"
1,"PF5wc0",1,5,2001,4,"Algeria","ALG","DZA",211,"Yemen","YEM","YEM",5,"0","0","-","0","0","0"
1,"PF5wc0",1,6,2002,4,"Algeria","ALG","DZA",211,"Yemen","YEM","YEM",5,"0","0","-","0","0","0"
1,"PF5wc0",1,7,2003,4,"Algeria","ALG","DZA",211,"Yemen","YEM","YEM",5,"0","0","-","0","0","0"
1,"PF5wc0",1,8,2004,4,"Algeria","ALG","DZA",211,"Yemen","YEM","YEM",5,"0","0","-","0","0","0"
1,"PF5wc0",1,9,2005,4,"Algeria","ALG","DZA",211,"Yemen","YEM","YEM",5,"0","0","-","0","0","0"
1,"PF5wc0",1,10,2006,4,"Algeria","ALG","DZA",211,"Yemen","YEM","YEM",5,5,"0","-","0","0","0"
1,"PF5wc0",1,11,2007,4,"Algeria","ALG","DZA",211,"Yemen","YEM","YEM",5,5,"0","-","0","0","0"
1,"PF5wc0",1,12,2008,4,"Algeria","ALG","DZA",211,"Yemen","YEM","YEM",5,5,"0","-","0","0","0"
1,"PF5wc0",1,13,2009,4,"Algeria","ALG","DZA",211,"Yemen","YEM","YEM",5,5,"0","-","0","0","0"
1,"PF5wc0",1,14,2010,4,"Algeria","ALG","DZA",211,"Yemen","YEM","YEM",5,5,"0","-","0","0","0"
1,"PF5wc0",1,15,2018,4,"Algeria","ALG","DZA",211,"Yemen","YEM","YEM","0",5,"0","-","0","0","0"
1,"PF5wc0",1,16,2000,8,"Egypt","ARE","EGY",211,"Yemen","YEM","YEM","0",14,"0","-","0","0","0"
1,"PF5wc0",1,17,2001,8,"Egypt","ARE","EGY",211,"Yemen","YEM","YEM","0",14,"0","-","0","0","0"
1,"PF5wc0",1,18,2003,8,"Egypt","ARE","EGY",211,"Yemen","YEM","YEM","0",19,"0","-","0","0","0"
1,"PF5wc0",1,19,2009,8,"Egypt","ARE","EGY",211,"Yemen","YEM","YEM","0",10,"0","-","0","0","0"
1,"PF5wc0",1,20,2010,8,"Egypt","ARE","EGY",211,"Yemen","YEM","YEM",14,14,"0","-","0","0","0"
1,"PF5wc0",1,21,2011,8,"Egypt","ARE","EGY",211,"Yemen","YEM","YEM",14,11,"0","-","0","0","0"
1,"PF5wc0",1,22,2012,8,"Egypt","ARE","EGY",211,"Yemen","YEM","YEM",14,11,"0","-","0","0","0"
1,"PF5wc0",1,23,2013,8,"Egypt","ARE","EGY",211,"Yemen","YEM","YEM",14,13,"0","-","0","0","0"
1,"PF5wc0",1,24,2014,8,"Egypt","ARE","EGY",211,"Yemen","YEM","YEM",15,11,"0","-","0","0","0"
1,"PF5wc0",1,25,2015,8,"Egypt","ARE","EGY",211,"Yemen","YEM","YEM",15,13,"0","-","0","0","0"
1,"PF5wc0",1,26,2016,8,"Egypt","ARE","EGY",211,"Yemen","YEM","YEM",16,5,"0","-","0","0","0"
1,"PF5wc0",1,27,2017,8,"Egypt","ARE","EGY",211,"Yemen","YEM","YEM",16,5,"0","-","0","0","0"
1,"PF5wc0",1,28,2018,8,"Egypt","ARE","EGY",211,"Yemen","YEM","YEM",16,5,"0","-","0","0","0"
1,"PF5wc0",1,29,2019,8,"Egypt","ARE","EGY",211,"Yemen","YEM","YEM",16,9,"0","-","0","0","0"
1,"PF5wc0",1,30,2020,8,"Egypt","ARE","EGY",211,"Yemen","YEM","YEM",16,10,"0","-","0","0","0"
1,"PF5wc0",1,31,2021,8,"Egypt","ARE","EGY",211,"Yemen","YEM","YEM",16,10,"0","-","0","0","0"
1,"PF5wc0",1,32,2022,8,"Egypt","ARE","EGY",211,"Yemen","YEM","YEM",17,8,"0","-","0","0","0"
1,"PF5wc0",1,33,2023,8,"Egypt","ARE","EGY",211,"Yemen","YEM","YEM",5,7,"0","-","0","0","0"
1,"PF5wc0",1,34,2024,8,"Egypt","ARE","EGY",211,"Yemen","YEM","YEM",5,11,"0","-","0","0","0"
1,"PF5wc0",1,35,2025,8,"Egypt","ARE","EGY",211,"Yemen","YEM","YEM",5,11,"0","-","0","0","0"
1,"PF5wc0",1,36,2003,16,"Burundi","BDI","BDI",211,"Yemen","YEM","YEM",5,"0","0","-","0","0","0"
1,"PF5wc0",1,37,2004,16,"Burundi","BDI","BDI",211,"Yemen","YEM","YEM",5,"0","0","-","0","0","0"
1,"PF5wc0",1,38,2005,16,"Burundi","BDI","BDI",211,"Yemen","YEM","YEM",5,"0","0","-","0","0","0"
1,"PF5wc0",1,39,2006,16,"Burundi","BDI","BDI",211,"Yemen","YEM","YEM",5,"0","0","-","0","0","0"
1,"PF5wc0",1,40,2007,16,"Burundi","BDI","BDI",211,"Yemen","YEM","YEM",5,"0","0","-","0","0","0"
1,"PF5wc0",1,41,2008,16,"Burundi","BDI","BDI",211,"Yemen","YEM","YEM",5,"0","0","-","0","0","0"
1,"PF5wc0",1,42,2005,37,"China","CHI","CHN",211,"Yemen","YEM","YEM","0",6,"0","-","0","0","0"
1,"PF5wc0",1,43,2006,37,"China","CHI","CHN",211,"Yemen","YEM","YEM",5,"0","0","-","0","0","0"
1,"PF5wc0",1,44,2019,39,"Cameroon","CMR","CMR",211,"Yemen","YEM","YEM","0",5,"0","-","0","0","0"
1,"PF5wc0",1,45,2020,39,"Cameroon","CMR","CMR",211,"Yemen","YEM","YEM","0",5,"0","-","0","0","0"
1,"PF5wc0",1,46,2021,39,"Cameroon","CMR","CMR",211,"Yemen","YEM","YEM","0",5,"0","-","0","0","0"
1,"PF5wc0",1,47,2024,39,"Cameroon","CMR","CMR",211,"Yemen","YEM","YEM","0",5,"0","-","0","0","0"
1,"PF5wc0",1,48,2025,39,"Cameroon","CMR","CMR",211,"Yemen","YEM","YEM","0",5,"0","-","0","0","0"
1,"PF5wc0",1,49,2012,40,"Congo","COB","COG",211,"Yemen","YEM","YEM",5,"0","0","-","0","0","0"
1,"PF5wc0",1,50,2021,40,"Congo","COB","COG",211,"Yemen","YEM","YEM",5,5,"0","-","0","0","0"
1,"PF5wc0",1,51,1997,41,"Dem. Rep. of the Congo","COD","COD",211,"Yemen","YEM","YEM",5,"0","0","-","0","0","0"
1,"PF5wc0",1,52,1998,41,"Dem. Rep. of the Congo","COD","COD",211,"Yemen","YEM","YEM",5,"0","0","-","0","0","0"
1,"PF5wc0",1,53,1999,41,"Dem. Rep. of the Congo","COD","COD",211,"Yemen","YEM","YEM",5,"0","0","-","0","0","0"
1,"PF5wc0",1,54,2010,41,"Dem. Rep. of the Congo","COD","COD",211,"Yemen","YEM","YEM","0",5,"0","-","0","0","0"
1,"PF5wc0",1,55,2013,41,"Dem. Rep. of the Congo","COD","COD",211,"Yemen","YEM","YEM",5,"0","0","-","0","0","0"
1,"PF5wc0",1,56,2014,41,"Dem. Rep. of the Congo","COD","COD",211,"Yemen","YEM","YEM",5,"0","0","-","0","0","0"
1,"PF5wc0",1,57,2015,41,"Dem. Rep. of the Congo","COD","COD",211,"Yemen","YEM","YEM",5,"0","0","-","0","0","0"
1,"PF5wc0",1,58,2016,41,"Dem. Rep. of the Congo","COD","COD",211,"Yemen","YEM","YEM",5,"0","0","-","0","0","0"
1,"PF5wc0",1,59,2017,41,"Dem. Rep. of the Congo","COD","COD",211,"Yemen","YEM","YEM",5,"0","0","-","0","0","0"
