"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","idps","oip","stateless","hst","ooc"
1,"wvYJ0N",1,1,2022,2,"Afghanistan","AFG","AFG",213,"Zambia","ZAM","ZMB","0",6,"0","-","0","0","0"
1,"wvYJ0N",1,2,2023,2,"Afghanistan","AFG","AFG",213,"Zambia","ZAM","ZMB","0",7,"0","-","0","0","0"
1,"wvYJ0N",1,3,2024,2,"Afghanistan","AFG","AFG",213,"Zambia","ZAM","ZMB",17,7,"0","-","0","0","0"
1,"wvYJ0N",1,4,2025,2,"Afghanistan","AFG","AFG",213,"Zambia","ZAM","ZMB",17,7,"0","-","0","0","0"
1,"wvYJ0N",1,5,1966,6,"Angola","ANG","AGO",213,"Zambia","ZAM","ZMB",3800,"0","0","-","0","0","0"
1,"wvYJ0N",1,6,1967,6,"Angola","ANG","AGO",213,"Zambia","ZAM","ZMB",6200,"0","0","-","0","0","0"
1,"wvYJ0N",1,7,1968,6,"Angola","ANG","AGO",213,"Zambia","ZAM","ZMB",7900,"0","0","-","0","0","0"
1,"wvYJ0N",1,8,1969,6,"Angola","ANG","AGO",213,"Zambia","ZAM","ZMB",8190,"0","0","-","0","0","0"
1,"wvYJ0N",1,9,1970,6,"Angola","ANG","AGO",213,"Zambia","ZAM","ZMB",9910,"0","0","-","0","0","0"
1,"wvYJ0N",1,10,1971,6,"Angola","ANG","AGO",213,"Zambia","ZAM","ZMB",11000,"0","0","-","0","0","0"
1,"wvYJ0N",1,11,1972,6,"Angola","ANG","AGO",213,"Zambia","ZAM","ZMB",17200,"0","0","-","0","0","0"
1,"wvYJ0N",1,12,1973,6,"Angola","ANG","AGO",213,"Zambia","ZAM","ZMB",22250,"0","0","-","0","0","0"
1,"wvYJ0N",1,13,1974,6,"Angola","ANG","AGO",213,"Zambia","ZAM","ZMB",25180,"0","0","-","0","0","0"
1,"wvYJ0N",1,14,1975,6,"Angola","ANG","AGO",213,"Zambia","ZAM","ZMB",30040,"0","0","-","0","0","0"
1,"wvYJ0N",1,15,1976,6,"Angola","ANG","AGO",213,"Zambia","ZAM","ZMB",27730,"0","0","-","0","0","0"
1,"wvYJ0N",1,16,1977,6,"Angola","ANG","AGO",213,"Zambia","ZAM","ZMB",29700,"0","0","-","0","0","0"
1,"wvYJ0N",1,17,1978,6,"Angola","ANG","AGO",213,"Zambia","ZAM","ZMB",25750,"0","0","-","0","0","0"
