"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","idps","oip","stateless","hst","ooc"
1,"TaXHN7",1,1,1993,2,"Afghanistan","AFG","AFG",214,"Zimbabwe","ZIM","ZWE",5,"0","0","-","0","0","0"
1,"TaXHN7",1,2,1994,2,"Afghanistan","AFG","AFG",214,"Zimbabwe","ZIM","ZWE",10,"0","0","-","0","0","0"
1,"TaXHN7",1,3,1998,2,"Afghanistan","AFG","AFG",214,"Zimbabwe","ZIM","ZWE",23,"0","0","-","0","0","0"
1,"TaXHN7",1,4,1999,2,"Afghanistan","AFG","AFG",214,"Zimbabwe","ZIM","ZWE",23,"0","0","-","0","0","0"
1,"TaXHN7",1,5,2000,2,"Afghanistan","AFG","AFG",214,"Zimbabwe","ZIM","ZWE",82,"0","0","-","0","0","0"
1,"TaXHN7",1,6,2001,2,"Afghanistan","AFG","AFG",214,"Zimbabwe","ZIM","ZWE",82,"0","0","-","0","0","0"
1,"TaXHN7",1,7,2002,2,"Afghanistan","AFG","AFG",214,"Zimbabwe","ZIM","ZWE",82,"0","0","-","0","0","0"
1,"TaXHN7",1,8,2003,2,"Afghanistan","AFG","AFG",214,"Zimbabwe","ZIM","ZWE",82,"0","0","-","0","0","0"
1,"TaXHN7",1,9,2004,2,"Afghanistan","AFG","AFG",214,"Zimbabwe","ZIM","ZWE",22,"0","0","-","0","0","0"
1,"TaXHN7",1,10,1993,6,"Angola","ANG","AGO",214,"Zimbabwe","ZIM","ZWE",35,"0","0","-","0","0","0"
1,"TaXHN7",1,11,1994,6,"Angola","ANG","AGO",214,"Zimbabwe","ZIM","ZWE",87,"0","0","-","0","0","0"
1,"TaXHN7",1,12,1995,6,"Angola","ANG","AGO",214,"Zimbabwe","ZIM","ZWE",57,"0","0","-","0","0","0"
1,"TaXHN7",1,13,1996,6,"Angola","ANG","AGO",214,"Zimbabwe","ZIM","ZWE",51,"0","0","-","0","0","0"
1,"TaXHN7",1,14,1997,6,"Angola","ANG","AGO",214,"Zimbabwe","ZIM","ZWE",52,"0","0","-","0","0","0"
1,"TaXHN7",1,15,1998,6,"Angola","ANG","AGO",214,"Zimbabwe","ZIM","ZWE",135,"0","0","-","0","0","0"
1,"TaXHN7",1,16,1999,6,"Angola","ANG","AGO",214,"Zimbabwe","ZIM","ZWE",156,"0","0","-","0","0","0"
1,"TaXHN7",1,17,2000,6,"Angola","ANG","AGO",214,"Zimbabwe","ZIM","ZWE",74,"0","0","-","0","0","0"
1,"TaXHN7",1,18,2001,6,"Angola","ANG","AGO",214,"Zimbabwe","ZIM","ZWE",226,135,"0","-","0","0","0"
1,"TaXHN7",1,19,2002,6,"Angola","ANG","AGO",214,"Zimbabwe","ZIM","ZWE",230,135,"0","-","0","0","0"
1,"TaXHN7",1,20,2003,6,"Angola","ANG","AGO",214,"Zimbabwe","ZIM","ZWE",506,"0","0","-","0","0","0"
1,"TaXHN7",1,21,2004,6,"Angola","ANG","AGO",214,"Zimbabwe","ZIM","ZWE",212,"0","0","-","0","0","0"
1,"TaXHN7",1,22,2007,6,"Angola","ANG","AGO",214,"Zimbabwe","ZIM","ZWE",26,"0","0","-","0","0","0"
1,"TaXHN7",1,23,2008,6,"Angola","ANG","AGO",214,"Zimbabwe","ZIM","ZWE",15,5,"0","-","0","0","0"
1,"TaXHN7",1,24,2009,6,"Angola","ANG","AGO",214,"Zimbabwe","ZIM","ZWE",7,"0","0","-","0","0","0"
1,"TaXHN7",1,25,2010,6,"Angola","ANG","AGO",214,"Zimbabwe","ZIM","ZWE",5,"0","0","-","0","0","0"
